result_title,result_doi,result_authors,result_dataverse,search_title,search_doi,diff
Replication data for: Crafting Mass Partisanship - at the Grass Roots,doi:10.7910/DVN/23575,"c(""Samuels, David"", ""Zucco Jr., Cesar"")",Cesar Zucco Dataverse,Crafting mass partisanship at the grass roots,10.1017/s0007123413000549,0.058628841607565
"Replication Data for Party System Institutionalization, Accountability and Governmental Corruption",doi:10.7910/DVN/O9TFAQ,"Schleiter, Petra",British Journal of Political Science Dataverse,"Party system institutionalization, accountability and governmental corruption",10.1017/s0007123415000770,0.229437229437229
Replication Data for: The Changing Standard of Accountability and the Positive Relationship between Human Rights Treaty Ratification and Compliance,doi:10.7910/DVN/TI77ZP,"Fariss, Christopher",Christopher J. Fariss Dataverse,The changing standard of accountability and the positive relationship between human rights treaty ratification and compliance,10.1017/s000712341500054x,0
"Replication Data for: Thatcher’s Children, Blair’s Babies, political socialisation and trickle-down value-change: An age, period and cohort analysis",doi:10.7910/DVN/AQW8O3,"Grasso, Maria",British Journal of Political Science Dataverse,"Thatcher's children, blair's babies, political socialization and trickle-down value change: an age, period and cohort analysis",10.1017/s0007123416000375,0.0676121085957151
"Replication Data for: Beyond Opportunity Costs: Campaign Messages, Anger, and Turnout Among the Unemployed",doi:10.7910/DVN/USKUR2,"c(""Ayta�, S. Erdem"", ""Rau, Eli Gavin"", ""Stokes, Susan"")",British Journal of Political Science Dataverse,"Beyond opportunity costs: campaign messages, anger and turnout among the unemployed",10.1017/s0007123418000248,0.00396825396825395
Replication Data for: Does Counter-Attitudinal Information Cause Backlash? Results from Three Large Survey Experiments,doi:10.7910/DVN/J7WNTM,"c(""Guess, Andrew"", ""Coppock, Alexander"")",British Journal of Political Science Dataverse,Does counter-attitudinal information cause backlash? Results from three large survey experiments – corrigendum,10.1017/s0007123419000024,0.0424242424242425
Replication Data for: “Position Taking in European Parliament Speeches”,doi:10.7910/DVN/9FG6LP,"c(""Slapin, Jonathan"", ""Proksch, Sven-Oliver"")",Jonathan Slapin Dataverse,Position taking in european parliament speeches,10.1017/s0007123409990299,0.0136054421768708
Selection Function Dataverse,,NULL,,Selection effects in roll call votes,10.1017/s0007123409990160,0.249007936507937
Replication Data for: Ideological Signaling and Incumbency Advantage,doi:10.7910/DVN/TJMSMD,"Peskowitz, Zachary",British Journal of Political Science Dataverse,Ideological signaling and incumbency advantage,10.1017/s0007123416000557,0
Replication Code for: How do Economic Circumstances Determine Preferences? Evidence from Long-run Panel Data,doi:10.7910/DVN/IEX6BE,"O'Grady, Tom",British Journal of Political Science Dataverse,How do economic circumstances determine preferences? Evidence from long-run panel data,10.1017/s0007123417000242,0.21131208728108
Replication Data for: Beyond positive and negative: New perspectives on feedback effects in public opinion on the welfare state,doi:10.7910/DVN/SZODIL,"c(""Marius Busemeyer "", ""Aurelien Abrassart"", ""Nezi, Roula"")",Harvard Dataverse,Beyond positive and negative: new perspectives on feedback effects in public opinion on the welfare state,10.1017/s0007123418000534,0
Replication Data for: Does Media Coverage Drive Public Support for UKIP or Does Public Support for UKIP Drive Media Coverage?,doi:10.7910/DVN/JU8B9V,"c(""Murphy, Justin"", ""Devine, Daniel"")",British Journal of Political Science Dataverse,Does media coverage drive public support for ukip or does public support for ukip drive media coverage?,10.1017/s0007123418000145,0
Replication Data for: Risk and Self-Respect,doi:10.7910/DVN/AUX9W1,"c(""Baderin, Alice"", ""Barnes, Lucy"")",British Journal of Political Science Dataverse,Risk and self-respect,10.1017/s0007123418000212,0
Replication Data for: Does Counter-Attitudinal Information Cause Backlash? Results from Three Large Survey Experiments,doi:10.7910/DVN/J7WNTM,"c(""Guess, Andrew"", ""Coppock, Alexander"")",British Journal of Political Science Dataverse,Does counter-attitudinal information cause backlash? Results from three large survey experiments,10.1017/s0007123418000327,0
Replication Data for: The Informational Role of Party Leader Changes on Voter Perceptions of Party Positions,doi:10.7910/DVN/9GFJEA,"c(""Fernandez-Vazquez, Pablo"", ""Somer-Topcu, Zeynep"")",British Journal of Political Science Dataverse,The informational role of party leader changes on voter perceptions of party positions,10.1017/s0007123417000047,0
Replication Data for: How to Close the Gender Gap in Political Participation: Lessons from Matrilineal Societies in Africa,doi:10.7910/DVN/RIKYVD,"c(""Robinson, Amanda Lea"", ""Gottlieb, Jessica"")",British Journal of Political Science Dataverse,How to close the gender gap in political participation: lessons from matrilineal societies in africa,10.1017/s0007123418000650,0
Replication Data for: Principled or Pragmatic? Morality Politics in Direct Democracy,doi:10.7910/DVN/QICYLQ,"Colombo, Celine",British Journal of Political Science Dataverse,Principled or pragmatic? Morality politics in direct democracy,10.1017/s0007123419000218,0
Replication Data for: Escaping the Disengagement Dilemma: Two Field Experiments on Motivating Citizens to Report on Public Services,doi:10.7910/DVN/MPQGZP,"c(""Buntaine, Mark"", ""Nielson, Daniel"", ""Skaggs, Jacob"")",British Journal of Political Science Dataverse,Escaping the disengagement dilemma: two field experiments on motivating citizens to report on public services,10.1017/s0007123419000322,0
Replication Data for: Pitfalls in the Study of Democratization: Testing the Emancipatory Theory of Democratization,doi:10.7910/DVN/TSJXGH,"c(""Welzel, Christian "", ""Inglehart, Ronald"", ""Kruse, Stefan"")",British Journal of Political Science Dataverse,Pitfalls in the study of democratization: testing the emancipatory theory of democracy,10.1017/s0007123415000605,0.036737445230873
Replication Data for: Beliefs about Climate Beliefs: The Importance of  Second-Order Opinions for Climate Politics,doi:10.7910/DVN/MNQ1IU,"c(""Mildenberger, Matto"", ""Tingley, Dustin"")",Harvard Dataverse,Beliefs about climate beliefs: the importance of second-order opinions for climate politics,10.1017/s0007123417000321,0.0658942506768594
Replication Data for: A War of (Mis)Information: The Political Effects of Rumors and Rumor Rebuttals in an Authoritarian Country,doi:10.7910/DVN/ITPOOA,"Huang, Haifeng",British Journal of Political Science Dataverse,A war of (mis)information: the political effects of rumors and rumor rebuttals in an authoritarian country,10.1017/s0007123415000253,0
Replication Data for: A Categorization Theory of Spatial Voting: How the Center Divides the Political Space,doi:10.7910/DVN/NIBSUD,"c(""B�lstad, J�rgen"", ""Dinas, Elias"")",British Journal of Political Science Dataverse,A categorization theory of spatial voting: how the center divides the political space,10.1017/s0007123415000393,0
Replication Data for: The Electoral Implications of Coalition Policy-Making,doi:10.7910/DVN/BX8N8S,"Fortunato, David",British Journal of Political Science Dataverse,The electoral implications of coalition policy making,10.1017/s0007123416000430,0.0125786163522013
Replication Data for: Coalition bargaining duration in multiparty democracies,doi:10.7910/DVN/2XSNPC,"Ecker, Alejandro",British Journal of Political Science Dataverse,Coalition bargaining duration in multiparty democracies,10.1017/s0007123417000539,0
Replication Data for Systematic Measurement Error in Election Violence Data: Causes and Consequences,doi:10.7910/DVN/LFD20F,"c(""von Borzyskowski, Inken"", ""Wahman, Michael"")",British Journal of Political Science Dataverse,Systematic measurement error in election violence data: causes and consequences,10.1017/s0007123418000509,0.217679324894515
"Replication Data for: Surviving Elections: Election Violence, Incumbent Victory, and Post-Election Repercussions",doi:10.7910/DVN/N5LOQN,"c(""Jablonski, Ryan"", ""Hyde, Susan"", ""Hafner-Burton, Emilie"")",British Journal of Political Science Dataverse,"Surviving elections: election violence, incumbent victory and post-election repercussions",10.1017/s000712341600020x,0.00370370370370376
Replication Data for: Income Inequality Influences Perceptions of Legitimate Income Differences,doi:10.7910/DVN/MRBUP1,"Trump, Kris-Stella",British Journal of Political Science Dataverse,Income inequality influences perceptions of legitimate income differences,10.1017/s0007123416000326,0
"Replication Data for: Burden Sharing: Income, Inequality, and Willingness to Fight",doi:10.7910/DVN/EIZWXX,"c(""Anderson, Christopher J."", ""Getmansky, Anna"", ""Hirsch-Hoefler, Sivan"")",British Journal of Political Science Dataverse,"Burden sharing: income, inequality and willingness to fight",10.1017/s0007123417000679,0.00555555555555554
"""Replication Data for Global Racist Contagion Following Donald Trump's Election""",doi:10.7910/DVN/YPYMH8,"c(""Giani, M."", ""M�on, P-G."")",British Journal of Political Science Dataverse,Global racist contagion following donald trump's election,10.1017/s0007123419000449,0.247880116959064
"Replication data for: ""Are All 'Birthers' Conspiracy Theorists?: On the Relationship Between Conspiratorial Thinking and Political Orientations""",doi:10.7910/DVN/JVBAWN,"c(""Enders, Adam M."", ""Smallpage, Steven M."", ""Lupton, Robert N."")",British Journal of Political Science Dataverse,Are all 'birthers' conspiracy theorists? On the relationship between conspiratorial thinking and political orientations,10.1017/s0007123417000837,0.00819672131147553
Replication Data for: Does Threatening their Franchise Make Registered Voters More Likely to Participate? Evidence from an Aborted Voter Purge,doi:10.7910/DVN/LIWMYQ,"c(""Biggers, Daniel R."", ""Smith, Daniel A."")",British Journal of Political Science Dataverse,Does threatening their franchise make registered voters more likely to participate? Evidence from an aborted voter purge,10.1017/s0007123418000157,0
Replication Data for: Deliberative Abilities and Deliberative Influence in a Transnational Deliberative Poll (EuroPolis),doi:10.7910/DVN/XQTCHB,"c(""Gerber, Marl�ne"", ""B�chtiger, Andr�"", ""Shikano, Susumu"", ""Reber, Simon"", ""Rohr, Samuel"")",British Journal of Political Science Dataverse,Deliberative abilities and influence in a transnational deliberative poll (europolis),10.1017/s0007123416000144,0.140296118447379
"Replication Data for: Negativity Bias: The Impact of Framing of Immigration on Welfare State Support in Germany, Sweden and the UK",doi:10.7910/DVN/X0EC41,"c(""Avdagic, Sabina"", ""Savage, Lee"")",British Journal of Political Science Dataverse,"Negativity bias: the impact of framing of immigration on welfare state support in germany, sweden and the uk",10.1017/s0007123419000395,0
Replication Data for: Risky business? Welfare state reforms and government support in Britain and Denmark,doi:10.7910/DVN/FDY0ZN,"c(""Lee, Seonghui"", ""Carsten Jensen"", ""Christoph Arndt"", ""Georg Wenzelburger"")",British Journal of Political Science Dataverse,Risky business? Welfare state reforms and government support in britain and denmark,10.1017/s0007123417000382,0
Legislator dissent as a valence signal,doi:10.7910/DVN/3YCVOF,"c(""Campbell, Rosie"", ""Cowley, Philip"", ""Vivyan, Nick"", ""Wagner, Markus"")",British Journal of Political Science Dataverse,Legislator dissent as a valence signal,10.1017/s0007123416000223,0
Agenda Control and Electoral Success in the U.S. House,doi:10.7910/DVN/KTGFRE,"c(""Fortunato, David"", ""Nathan W. Monroe"")",British Journal of Political Science Dataverse,Agenda control and electoral success in the us house,10.1017/s0007123418000418,0.0123456790123457
"Replication Data for: ""Do Islamic State's Deadly Attacks Disengage, Deter, or Mobilize Supporters?""",doi:10.7910/DVN/H6RZA7,"c(""Barcelo, Joan"", ""Elena Labzina"")",British Journal of Political Science Dataverse,"Do islamic state's deadly attacks disengage, deter, or mobilize supporters?",10.1017/s0007123418000340,0.00865800865800881
Replication Data for: Ruling Parties in Authoritarian Regimes:  Rethinking Institutional Strength,doi:10.7910/DVN/7H6XQO,"Meng, Anne",British Journal of Political Science Dataverse,Ruling parties in authoritarian regimes: rethinking institutional strength,10.1017/s0007123419000115,0.0607507507507508
Maximizing the Reliability of Cross-National Measures of Presidential Power,doi:10.7910/DVN/28939,"c(""Doyle, David"", ""Elgie, Robert"")",Presidential Power Measures Dataverse,Maximizing the reliability of cross-national measures of presidential power,10.1017/s0007123414000465,0
"Replication Data for: Political Orientation, Information and Perceptions of Election Fraud: Evidence from Russia",doi:10.7910/DVN/OL9VD3,"Robertson, Graeme",British Journal of Political Science Dataverse,"Political orientation, information and perceptions of election fraud: evidence from russia",10.1017/s0007123415000356,0
"Replication Data for: Interests, Norms, and Support for the Provision of Global Public Goods: The Case of Climate Cooperation",doi:10.7910/DVN/BFCD08,"c(""Genovese, Federica"", ""Michael M. Bechtel"", ""Kenneth F. Scheve"")",British Journal of Political Science Dataverse,"Interests, norms and support for the provision of global public goods: the case of climate co-operation",10.1017/s0007123417000205,0.00647249190938515
On the Frontline Every Day?  Subnational Deployment of United Nations Peacekeepers,doi:10.7910/DVN/EC0BKU,"Ruggeri, Andrea",British Journal of Political Science Dataverse,On the frontline every day? Subnational deployment of united nations peacekeepers,10.1017/s000712341600017x,0.0884271805681021
Replication data for: Mixed Signals: Crisis Lending and Capital Markets,doi:10.7910/DVN/29460,"Chapman, Terrence",British Journal of Political Science Dataverse,Mixed signals: imf lending and capital markets,10.1017/s0007123415000216,0.116688177247183
Replication Data for: Restraining the Huddled Masses: Migration Policy and Autocratic Survival,doi:10.7910/DVN/KGL6YO,"c(""Miller, Michael K."", ""Peters, Margaret E."")",British Journal of Political Science Dataverse,Restraining the huddled masses: migration policy and autocratic survival,10.1017/s0007123417000680,0
Replication Data for: Implementing the Peace The Aggregate Implementation of Comprehensive Peace Agreements and Peace Duration after Intrastate Armed Conflict,doi:10.7910/DVN/WGL5AV,Madhav Joshi & Jason Quinn,British Journal of Political Science Dataverse,Implementing the peace: the aggregate implementation of comprehensive peace agreements and peace duration after intrastate armed conflict,10.1017/s0007123415000381,0.0024330900243309
“Repression Hurts: Coercive Government Strategies and the Demise of Terrorist Groups,doi:10.7910/DVN/SM2TDJ,"c(""Ursula Daxecker"", ""Hess, Michael L."")",Ursula Daxecker Dataverse,Repression hurts: coercive government responses and the demise of terrorist campaigns,10.1017/s0007123412000452,0.132457085398262
"Replication Data for: Roll call votes in the German Bundestag. A new dataset, 1949-2013 ",doi:10.7910/DVN/VBWHRO,"c(""Sieberer, Ulrich"", ""Saalfeld, Thomas"", ""Ohmura, Tamaki"", ""Bergmann, Henning"", ""Bailer, Stefanie"")",British Journal of Political Science Dataverse,"Roll-call votes in the german bundestag: a new dataset, 1949–2013",10.1017/s0007123418000406,0.162489660876758
Replication Data for: Do Voters Benchmark Economic Performance?,doi:10.7910/DVN/OCNIWD,"c(""Arel-Bundock, Vincent"", ""Andr� Blais"", ""Ruth Dassonneville"")",British Journal of Political Science Dataverse,Do voters benchmark economic performance?,10.1017/s0007123418000236,0
"Replication Data for: ""Multilevel Analysis with Few Clusters: Improving Likelihood-based Methods to Provide Unbiased Estimates and Accurate Inference""",doi:10.7910/DVN/CMMQRK,"c(""Elff, Martin"", ""Heisig, Jan Paul"", ""Schaeffer, Merlin"", ""Shikano, Susumu"")",British Journal of Political Science Dataverse,Multilevel analysis with few clusters: improving likelihood-based methods to provide unbiased estimates and accurate inference,10.1017/s0007123419000097,0.00520833333333337
Replication Data for: Economic and Cultural Drivers of Immigrant Support Worldwide,doi:10.7910/DVN/R5MEKK,"c(""Valentino, Nicholas"", ""Soroka, Stuart"", ""Iyengar, Shanto"", ""Aalberg, Toril"", ""Duch, Raymond"", ""Fraile, Marta"", ""Hahn, Kyu S."", ""Hansen, Kasper M."", ""Harell, Allison"", ""Helbling, Marc"", ""Jackman, Simon D."", ""Kobayashi, Tetsuro"")",British Journal of Political Science Dataverse,Economic and cultural drivers of immigrant support worldwide,10.1017/s000712341700031x,0
"Replication Data for ""Ethnicity, National Identity and the State: Evidence from Sub-Saharan Africa""",doi:10.7910/DVN/6WPVWI,"Green, Elliott",British Journal of Political Science Dataverse,"Ethnicity, national identity and the state: evidence from sub-saharan africa",10.1017/s0007123417000783,0.228756866914762
Replication Data for: Electoral Fraud or Violence: The Effect of Observers on Party Manipulation Strategies,doi:10.7910/DVN/MUYFH1,"c(""Asunka, Joseph"", ""Brierley, Sarah"", ""Golden, Miriam"", ""Kramon, Eric"", ""Ofosu, George"")",British Journal of Political Science Dataverse,Electoral fraud or violence: the effect of observers on party manipulation strategies,10.1017/s0007123416000491,0
Replication Data for: Hitting Them With Carrots: Voter Intimidation and Vote Buying in Russia,doi:10.7910/DVN/WMRQ16,"c(""Szakonyi, David"", ""Ora John Reuter"", ""Timothy Frye"")",British Journal of Political Science Dataverse,Hitting them with carrots: voter intimidation and vote buying in russia,10.1017/s0007123416000752,0
Replication Data for Attitudes of urban residents toward environmental migration,doi:10.7910/DVN/PBLRV6,"Spilker, Gabriele",Attitudes of urban residents toward environmental migration,The origins of voluntary compliance: attitudes toward taxation in urban nigeria,10.1017/s000712341400026x,0.24102134524696
Social Organizations and the Authoritarian State in China,,NULL,,Juking the stats? Authoritarian information problems in china,10.1017/s0007123414000106,0.24437829546544
"Replication Data for: Material interests, identity, and linked fate in three countries",doi:10.7910/DVN/U1JEC0,"Donnelly, Michael J",British Journal of Political Science Dataverse,"Material interests, identity and linked fate in three countries",10.1017/s0007123419000589,0.00520833333333337
"Women's Representation, Accountability, and Corruption in Democracies",doi:10.7910/DVN/PKKF3W,"c(""Esarey, Justin"", ""Schwindt-Bayer, Leslie"")",British Journal of Political Science Dataverse,"Women's representation, accountability and corruption in democracies",10.1017/s0007123416000478,0.00483091787439616
Replication Data for: The Role of Child Perception and Motivation in Political Socialization,doi:10.7910/DVN/2KE1XF,"c(""Hatemi, Peter"", ""Ojeda, Christopher"")",Harvard Dataverse,The role of child perception and motivation in political socialization,10.1017/s0007123419000516,0
Replication Data for: Preference Representation and the Influence of Political Parties in Majoritarian vs. Proportional Systems: An Empirical Test,doi:10.7910/DVN/SMBFOZ,"Stadelmann, David",British Journal of Political Science Dataverse,Preference representation and the influence of political parties in majoritarian vs. Proportional systems: an empirical test,10.1017/s0007123416000399,0
Replication Data for: Nuanced Accountability: Voter Responses to Service Delivery in Southern Africa,doi:10.7910/DVN/OTEWG2,"c(""de Kadt, Daniel"", ""Lieberman, Evan"")",British Journal of Political Science Dataverse,Nuanced accountability: voter responses to service delivery in southern africa,10.1017/s0007123417000345,0
Replication Data for: Do Men and Women Have Different Policy Preferences in Africa? Determinants and Implications of Gender Gaps in Policy Prioritization ,doi:10.7910/DVN/ZIWLCJ,"c(""Gottlieb, Jessica"", ""Grossman, Guy"", ""Amanda Lea Robinson"")",British Journal of Political Science Dataverse,Do men and women have different policy preferences in africa? Determinants and implications of gender gaps in policy prioritization,10.1017/s0007123416000053,0
Replication data for: Primaries on Demand? Intra-­Party Politics and Nominations in Ghana,doi:10.7910/DVN/8AL4CU,"c(""Ichino, Nahomi"", ""Nathan, Noah"")",Nahomi Ichino Dataverse,Primaries on demand? Intra-party politics and nominations in ghana,10.1017/s0007123412000014,0.00497512437810954
Replication Data for: The Effect of District Magnitude on Electoral Outcomes: Evidence from Two Natural Experiments in Argentina,doi:10.7910/DVN/WRVUOT,"Lucardi, Adrian",British Journal of Political Science Dataverse,The effect of district magnitude on electoral outcomes: evidence from two natural experiments in argentina,10.1017/s0007123416000740,0
Replication Data for: The Role of Evidence in Politics: Motivated Reasoning and Persuasion among Politicians,doi:10.7910/DVN/FKWZHF,"Baekgaard, Martin",British Journal of Political Science Dataverse,The role of evidence in politics: motivated reasoning and persuasion among politicians,10.1017/s0007123417000084,0
Replication Data for: JUSTIFICATIONS AND CITIZEN COMPETENCE IN DIRECT DEMOCRACY –  A Multilevel Analysis ,doi:10.7910/DVN/MR8BVX,"Colombo, Céline",British Journal of Political Science Dataverse,Justifications and citizen competence in direct democracy: a multilevel analysis,10.1017/s0007123416000090,0.0416782443140888
"Replication Data for ""Traditions of Tolerance: The Long-Run Persistence of Regional Variation in Attitudes towards English Immigrants""",doi:10.7910/DVN/GCPZZB,"Fielding, David",British Journal of Political Science Dataverse,Traditions of tolerance: the long-run persistence of regional variation in attitudes towards english immigrants,10.1017/s0007123415000575,0.211868585002913
Replication Data for: Are Things Really Getting Better?: How To Validate Latent Variable Models of Human Rights,doi:10.7910/DVN/KWM3CY,"Fariss, Christopher",British Journal of Political Science Dataverse,Are things really getting better? How to validate latent variable models of human rights,10.1017/s000712341600079x,0.00374531835206005
Replication Data for: The Causal Effect of Radical Right Success on Mainstream Parties’ Policy Positions. A Regression Discontinuity Approach.,doi:10.7910/DVN/KYSD5S,"c(""Abou-Chadi, Tarik"", ""Krause, Werner"")",British Journal of Political Science Dataverse,The causal effect of radical right success on mainstream parties' policy positions: a regression discontinuity approach,10.1017/s0007123418000029,0.013935574229692
Replication Data for: Ethics in elite experiments. A perspective of officials and voters,doi:10.7910/DVN/HGACUS,"Naurin, Elin and Patrik Öhberg",British Journal of Political Science Dataverse,Ethics in elite experiments: a perspective of officials and voters,10.1017/s0007123418000583,0.0101010101010102
"Replication Data for: ""Why Women Avoid the Radical Right: Internalized Norms and Party Reputations""",doi:10.7910/DVN/JDNTRA,"Harteveld, Eelco",British Journal of Political Science Dataverse,Why women avoid the radical right: internalized norms and party reputations,10.1017/s0007123415000745,0.00865800865800881
Replication Data for: Repression and Activism among the Arab Spring's First Movers: Evidence from Morocco's February 20th Movement,doi:10.7910/DVN/PDYWW5,"Lawrence, Adria",British Journal of Political Science Dataverse,Repression and activism among the arab spring's first movers: evidence from morocco's february 20th movement,10.1017/s0007123415000733,0
"Methods Note for ""Moral identity and protest cascades in Syria""",doi:10.7910/DVN/LDUGW0,"Pearlman, Wendy",British Journal of Political Science Dataverse,Moral identity and protest cascades in syria,10.1017/s0007123416000235,0.240680615680616
"Replication data for: The Politics of Financialization in the United States, 1949-2005",doi:10.7910/DVN/26248,Christopher Witko,Christopher  Witko  Dataverse,"The politics of financialization in the united states, 1949–2005",10.1017/s0007123414000325,0.0104166666666667
"Replication Data for: Gender, Incumbency, and Party List Nominations",doi:10.7910/DVN/GLL3UW,"c(""Meserve, Stephen A."", ""Pemstein, Daniel"", ""Bernhard, William T."")",British Journal of Political Science Dataverse,"Gender, incumbency and party list nominations",10.1017/s0007123417000436,0.00724637681159424
Experiment data: The effects of face orientation on perceived attractiveness and product evaluation ,,NULL,,"The effect of voters' economic perception, brexit and campaigns on the evaluation of party leaders over time",10.1177/1369148119886220,0.232154882154882
"Supplemental Information for ""Back from Holyrood: How Mixed Member Proportional Representation and Ballot Structure Shape the Personal Vote""",doi:10.7910/DVN/PZLXFQ,"Parker, David",David Parker Dataverse,Back from holyrood: how mixed-member proportional representation and ballot structure shape the personal vote,10.1177/1369148118762279,0.236655987573419
Replication data for: Presidential Coattails and Legislative Fragmentation,doi:10.7910/DVN/PJ1TJI,Matt Golder,Matt Golder Dataverse,Presidentialism and legislative fragmentation: beyond coattail effects,10.1177/1369148116682654,0.214533505709976
Dyad-Year Counts of Transnational Terror Events and Fatalities,doi:10.7910/DVN/O7REVP,"Ryckman, Kirssa",Transnational Terrorism Data Dataverse,Transnational veto players and the practice of financial reform,10.1111/1467-856x.12031,0.245951237734561
Replication Data for: The Role of Democratic Governance and Indirect Expropriation in International Investment Treaty Violations,doi:10.7910/DVN/TBKLWV,"Carlson, David",Uluslararası İlişkiler-International Relations,"The railroad economic belt: grand strategy, economic statecraft, and a new type of international relations",10.1177/1369148120940938,0.241369671558351
The Political Economy of Power-Sharing,,NULL,,The political economy of british social democracy after new labour,10.1111/j.1467-856x.2012.00510.x,0.225738588896484
"Documentary Evidence for ""The Ritual Creation of Political Symbols: International Exchanges in Public Diplomacy""",doi:10.7910/DVN/TGRFGS,"Pacher, Andreas",Harvard Dataverse,The ritual creation of political symbols: international exchanges in public diplomacy,10.1177/1369148118786043,0.223494397759104
The British Election Study Dataverse,,NULL,,The british labour party's leadership election of 2015,10.1177/1369148116664268,0.248316498316498
Replication Data for: The influence of legislators’ endorsements in party leadership elections,doi:10.7910/DVN/2TCFTF,"Hanretty, Chris",Chris Hanretty Dataverse,The influence of legislators' endorsements in party leadership elections,10.1057/s41293-017-0056-6,0.0092592592592593
Consumer Behavior on accessories,doi:10.7910/DVN/28804,"Liu, Xiruo",Consumer Behavior Study Dataverse,Consumer democracy: the marketing of politics,10.1057/bp.2014.9,0.244973544973545
Replication Data for: Should I stay or should I go? The decision to flee or stay home during civil war,doi:10.7910/DVN/TGM7IN,"c(""Braithwaite, Alex"", ""Cox, Joseph"", ""Ghosn, Faten"")",Harvard Dataverse,'Should i stay or should i go?': james callaghan's decision not to call an autumn 1978 general election,10.1057/bp.2015.9,0.238938973647711
Replication data for Repression and Dissent in Contemporary Catalonia,doi:10.7910/DVN/6IGSOV,"c(""Balcells, Laia"", ""Dorsey, Spencer"", ""Tellez, Juan"")",Repression and Dissent in Contemporary Catalonia Dataverse,Representations of economic crisis in contemporary britain,10.1057/bp.2012.15,0.234341162751957
Political Science,,NULL,,"Political science, punditry, and the corbyn problem",10.1057/s41293-019-00115-6,0.222222222222222
The Political Economy of Power-Sharing,,NULL,,The political economy of competitiveness and social mobility,10.1057/bp.2011.33,0.239437134502924
Replication Data for: The Manifesto Corpus: a New Resource for Research on Political Parties and Quantitative Text Analysis,doi:10.7910/DVN/SIPXCZ,"c(""Merz, Nicolas"", ""Regel, Sven"", ""Lewandowski, Jirka"")",Research & Politics Dataverse,"The politics of research impact: academic perceptions of the implications for research funding, motivation and quality",10.1057/s41293-018-0077-9,0.243977514208501
United States Census Bureau,,NULL,,"United states nuclear forces, 2016",10.1080/00963402.2016.1145901,0.215196867797038
Editor's Foreword,doi:10.7910/DVN/MEJBZT,Nathaniel Beck,Political Analysis Dataverse,Editor's note,10.1080/00963402.2016.1145911,0.168929110105581
Editor's Foreword,doi:10.7910/DVN/MEJBZT,Nathaniel Beck,Political Analysis Dataverse,Editor's note,10.1080/00963402.2016.1170399,0.168929110105581
Editor's Foreword,doi:10.7910/DVN/MEJBZT,Nathaniel Beck,Political Analysis Dataverse,Editor's note,10.1080/00963402.2016.1216677,0.168929110105581
Splitting Atoms: Why Do Countries Build Nuclear Power Plants?,doi:10.7910/DVN/OP5PHF,Matthew Fuhrmann,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse,Splitting rock vs. splitting atoms: what shale gas means for nuclear power,10.1177/0096340212451432,0.245625406827593
United States Census Bureau,,NULL,,"United states nuclear forces, 2017",10.1080/00963402.2016.1264213,0.215196867797038
Editor's Foreword,doi:10.7910/DVN/MEJBZT,Nathaniel Beck,Political Analysis Dataverse,Editor's note,10.1080/00963402.2016.1264214,0.168929110105581
Editor's Foreword,doi:10.7910/DVN/MEJBZT,Nathaniel Beck,Political Analysis Dataverse,Editor's note,10.1080/00963402.2017.1288449,0.168929110105581
Editor's Foreword,doi:10.7910/DVN/MEJBZT,Nathaniel Beck,Political Analysis Dataverse,Editor's note,10.1080/00963402.2017.1315081,0.168929110105581
Introduction to Visualization for Teachers,doi:10.7910/DVN/AVWS9Q,"Goodman, Alyssa",Papers and Talks,Introduction: into the aftermath,10.1080/00963402.2017.1338000,0.224206349206349
Weather Data for Africa RISING Sites in Ethiopia,doi:10.7910/DVN/UTBSWK,"c(""International Center for Tropical Agriculture (CIAT)"", ""International Livestock Research Institute (ILRI)"")",Africa RISING Dataverse,Smart adaptation in an era of rising climate risks,10.1080/00963402.2018.1436806,0.247222222222222
Appendices 2 - Nuclear energy policy after Fukushima case,doi:10.7910/DVN/CJQZWT,"Morales, Laura",ResponsiveGov project Nuclear energy policy after Fukushima case Dataverse,The dilemma of nuclear energy in space,10.1177/0096340215581359,0.248022015823874
"Russian Election Study, 1999-2000",doi:10.7910/DVN/47YD9M,"Colton, Timothy J.",Russian Election Studies Dataverse,"Russian nuclear forces, 2010",10.2968/066001010,0.247490432273041
Replication Data for: Revisiting Hiroshima in Iran,doi:10.7910/DVN/9XHAPW,"Valentino, Benjamin",Harvard Dataverse,Revisiting the numec affair,10.2968/066002007,0.239991181657848
erratum.txt,,NULL,,Erratum,10.1177/0096340210393800,0.121212121212121
erratum.txt,,NULL,,Erratum,10.1177/0096340211419036,0.121212121212121
Understanding Long-Term Energy Use and Carbon Dioxide Emission in the USA,doi:10.7910/DVN/GPRZEY,Richard Tol et al.,Richard S.J. Tol Dataverse,"Nuclear exit, the us energy mix, and carbon dioxide emissions",10.1177/0096340213478553,0.239221090310244
Editor's Foreword,doi:10.7910/DVN/MEJBZT,Nathaniel Beck,Political Analysis Dataverse,Editor's note,10.1080/00963402.2016.1240431,0.168929110105581
Editor's Foreword,doi:10.7910/DVN/MEJBZT,Nathaniel Beck,Political Analysis Dataverse,Editor's note,10.1080/00963402.2016.1140373,0.168929110105581
erratum.txt,,NULL,,Erratum,10.1080/00963402.2016.1202487,0.121212121212121
