file_in,title,journal,context,count_prereg,relevant,validate,validate_link,validate_comments
10.1017_s0007123418000327,Does counter-attitudinal information cause backlash? {Results} from three large survey experiments,British Journal of Political Science,"ally, in appendix a, we show that there is no backlash in a preregistered analysis of the effect of the information treatments by party identification. this is significant because of its commonly theorized role as a perceptual filter that could, in the ras or jqp accounts, promote polarization or backlash. the results of study 1 indicate that gun control attitudes do not consistently move in response to either positive or negative information. this is somewhat s",4,,,,
10.1017_s0007123418000327,Does counter-attitudinal information cause backlash? {Results} from three large survey experiments,British Journal of Political Science,"ar analysis – testing the effect on this question – was not preregistered. 1503 british journal of political science relatively equivocal findings also show, however, that backlash was unlikely to have occurred as a result of these treatments. study 2: minimum wage study 2: procedure a large number (n = 2,979) of survey respondents on mechanical turk were recruited to par- ticipate in a pre-treatment survey measuring demographic characteristics (age, gender, rac",4,,,,
10.1017_s0007123418000327,Does counter-attitudinal information cause backlash? {Results} from three large survey experiments,British Journal of Political Science,"a university (irb-aaaq7729) institutional review boards. we pre-registered the designs and intended analyses of studies 1 and 3 with experiments in governance and politics before primary data collection began. references ansolabehere s, rodden j and snyder jm (2008) the strength of issues: using multiple measures to gauge preference stability, ideological constraint, and issue voting. american political science review 102 (2):215–232. arceneaux k and johnson m (2",4,,,,
10.1017_s0007123418000479,"In the shadow of conflict: how emotions, threat perceptions and victimization influence foreign policy attitudes",British Journal of Political Science," point. 22 note some of our hypotheses differ slightly from pre-registration. for a full list of our pre-registered hypotheses, see the online appendix. see miguel et al. (2014) and the experiments in governance and politics (***egap***) website (http://***egap***.org/) for a full discussion of the benefits of pre-registration. 23 given the level of baseline threat from russia that individuals in georgia live with, we were more agnostic on whether there would be any differen",3,TRUE,Yes,https://osf.io/67qbm,
10.1017_s0007123418000479,"In the shadow of conflict: how emotions, threat perceptions and victimization influence foreign policy attitudes",British Journal of Political Science,"ffer slightly from pre-registration. for a full list of our pre-registered hypotheses, see the online appendix. see miguel et al. (2014) and the experiments in governance and politics (***egap***) website (http://***egap***.org/) for a full discussion of the benefits of pre-registration. 23 given the level of baseline threat from russia that individuals in georgia live with, we were more agnostic on whether there would be any difference between the fear treatment and pure in",3,TRUE,,,
10.1017_s0007123418000479,"In the shadow of conflict: how emotions, threat perceptions and victimization influence foreign policy attitudes",British Journal of Political Science,"(http://***egap***.org/) for a full discussion of the benefits of pre-registration. 23 given the level of baseline threat from russia that individuals in georgia live with, we were more agnostic on whether there would be any difference between the fear treatment and pure information treatment relative to each other, and relative to the control condition. british journal of political science 187 hypothesis 3b: those who receive the anger treatment will favor a harsher f",3,TRUE,,,
10.1017_s0007123419000322,Escaping the disengagement dilemma: two field experiments on motivating citizens to report on public services,British Journal of Political Science,"stain citizen engagement. we test these expectations in two pre-registered field experiments targeting improvements in solid-waste services that were conducted in close partnership with the kampala capital city authority (kcca), the government of uganda’s capital city. our research team recruited citizen reporters and prompted them to send reports over a number of months to the kcca about waste services. we thus study a crowdseeding platform, in which specific re",14,,,,
10.1017_s0007123419000322,Escaping the disengagement dilemma: two field experiments on motivating citizens to report on public services,British Journal of Political Science,"open crowdsourcing platform with many potential reporters.1 pre-registered hypotheses based on these theoretical considerations, we pre-registered the following hypotheses:2 hypothesis 1a: nomination by neighbors will increase reporting. hypothesis 1b: nomination by local council chairs will increase reporting. hypothesis 2: announcement by the local council chair recognizing reporters will increase reporting. hypothesis 3: responsiveness to citizen reports will ",14,,,,
10.1017_s0007123419000322,Escaping the disengagement dilemma: two field experiments on motivating citizens to report on public services,British Journal of Political Science,"ed hypotheses based on these theoretical considerations, we pre-registered the following hypotheses:2 hypothesis 1a: nomination by neighbors will increase reporting. hypothesis 1b: nomination by local council chairs will increase reporting. hypothesis 2: announcement by the local council chair recognizing reporters will increase reporting. hypothesis 3: responsiveness to citizen reports will increase reporting. experimental design setting like many other parts of",14,,,,
10.1017_s0007123419000322,Escaping the disengagement dilemma: two field experiments on motivating citizens to report on public services,British Journal of Political Science,"hreys 2016). 2 appendix d contains the exact wording of the pre-registered hypotheses. british journal of political science 689 contractors. our pre-experimental survey shows that 90 per cent of kampala residents are per- sonally concerned with solid waste management (appendix a), indicating that oversight is largely failing. the kcca has prioritized improving solid waste management to boost resident satisfaction and promote public health. however, despite having",14,,,,
10.1017_s0007123419000322,Escaping the disengagement dilemma: two field experiments on motivating citizens to report on public services,British Journal of Political Science,"sting shifts in attitudes. outcome measures of reporting as pre-registered (see appendix d for exact hypotheses and measures), we measure reporting as follows for each of the two experiments: (1) the total number of active reporters (that is, those submitting at least one report) during the reporting period; (2) the total number of reports sub- mitted by each reporter during the reporting period; (3) the total number of reports submitted by each reporter during t",14,,,,
10.1017_s0007123419000322,Escaping the disengagement dilemma: two field experiments on motivating citizens to report on public services,British Journal of Political Science,"ion collected by a government agency. analytical methods as pre-registered, we performed hypothesis tests via randomization inference using a simple difference-in-means approach. we generate 5,000 iterations of our randomization procedure (clustered at the zone level) and capture the sampling distribution of treatment effects under the sharp null to compute p-values. we use one-sided p-values corresponding to the direction of the pre-registered hypotheses. becaus",14,,,,
10.1017_s0007123419000322,Escaping the disengagement dilemma: two field experiments on motivating citizens to report on public services,British Journal of Political Science,"se one-sided p-values corresponding to the direction of the pre-registered hypotheses. because it facilitates the presentation of multiple treatment arms, we deviate from the pre-registered, single-arm, difference-in-means procedure for the phase 2 experiment and instead estimate treatment effects via ordinary least squares (ols) regression as specified in equation 1: yi = a + t1d1 + t2d2 + t3d3 + i (phase) + 1j (1) where yi is the outcome for individual i, τ are",14,,,,
10.1017_s0007123419000322,Escaping the disengagement dilemma: two field experiments on motivating citizens to report on public services,British Journal of Political Science,"resentation of multiple treatment arms, we deviate from the pre-registered, single-arm, difference-in-means procedure for the phase 2 experiment and instead estimate treatment effects via ordinary least squares (ols) regression as specified in equation 1: yi = a + t1d1 + t2d2 + t3d3 + i (phase) + 1j (1) where yi is the outcome for individual i, τ are estimates of treatment effects, d are treatment arms, i(phase) is an indicator of the phase of recruitment (only f",14,,,,
10.1017_s0007123419000322,Escaping the disengagement dilemma: two field experiments on motivating citizens to report on public services,British Journal of Political Science,"he level of assignment. this is the only deviation from the pre-registered analysis in the main text. we present the pre-registered difference-in-means specifications via randomization inference in appendix figure d1, which yields the same results. analyses beyond those presented in figure 3 and tables 2–4 were not pre-registered. appendix d contains a longer discussion of pre-registration and appendix table d1 describes the pre-registration status of all the tab",14,,,,
10.1017_s0007123419000322,Escaping the disengagement dilemma: two field experiments on motivating citizens to report on public services,British Journal of Political Science,"he pre-registered analysis in the main text. we present the pre-registered difference-in-means specifications via randomization inference in appendix figure d1, which yields the same results. analyses beyond those presented in figure 3 and tables 2–4 were not pre-registered. appendix d contains a longer discussion of pre-registration and appendix table d1 describes the pre-registration status of all the tables and figures. table 1. descriptive statistics of repor",14,,,,
10.1017_s0007123419000322,Escaping the disengagement dilemma: two field experiments on motivating citizens to report on public services,British Journal of Political Science, beyond those presented in figure 3 and tables 2–4 were not pre-registered. appendix d contains a longer discussion of pre-registration and appendix table d1 describes the pre-registration status of all the tables and figures. table 1. descriptive statistics of reporters recruited in both phases phase 1 experiment on-the-street random recruitment neighbor nomination p (t-test) years in zone (mean) 9.16 (0.43) 9.25 (0.46) 0.89 female (proportion) 0.40 (0.02) 0.46 ,14,,,,
10.1017_s0007123419000322,Escaping the disengagement dilemma: two field experiments on motivating citizens to report on public services,British Journal of Political Science, pre-registered. appendix d contains a longer discussion of pre-registration and appendix table d1 describes the pre-registration status of all the tables and figures. table 1. descriptive statistics of reporters recruited in both phases phase 1 experiment on-the-street random recruitment neighbor nomination p (t-test) years in zone (mean) 9.16 (0.43) 9.25 (0.46) 0.89 female (proportion) 0.40 (0.02) 0.46 (0.02) 0.04 age (mean) 30.0 (0.45) 30.9 (0.45) 0.16 satisfi,14,,,,
10.1017_s0007123419000322,Escaping the disengagement dilemma: two field experiments on motivating citizens to report on public services,British Journal of Political Science,ion of pre-registration and appendix table d1 describes the pre-registration status of all the tables and figures. table 1. descriptive statistics of reporters recruited in both phases phase 1 experiment on-the-street random recruitment neighbor nomination p (t-test) years in zone (mean) 9.16 (0.43) 9.25 (0.46) 0.89 female (proportion) 0.40 (0.02) 0.46 (0.02) 0.04 age (mean) 30.0 (0.45) 30.9 (0.45) 0.16 satisfied with waste services (proportion) 0.29 (0.02) 0.31 ,14,,,,
10.1017_s0007123419000322,Escaping the disengagement dilemma: two field experiments on motivating citizens to report on public services,British Journal of Political Science,"he uganda office of the president (ref: adm/154/212/03). we pre-registered the hypotheses and our plans for testing them at the evidence in governance and politics registry (20151103aa). the authors received helpful comments on previous versions of this article from guy grossman, matt potoski, seminar participants at the university of california, santa barbara, and conference participants at the 2nd annual conference on environmental politics and governance in ge",14,,,,
10.1017_s0007123419000413,Violence on many sides: framing effects on protest and support for repression,British Journal of Political Science,"ion and support for repression using two survey experiments pre-registered through evidence in governance and politics in august 2018. the first survey was administered to 1,024 jewish respondents from israel from 7–11 november 2018 through the midgam panel, an israeli online panel data collection project designed for social psychology research. midgam panel survey respondents are represen- tative of the israeli jewish population in terms of age, gender and polit",2,,,,
10.1017_s0007123419000413,Violence on many sides: framing effects on protest and support for repression,British Journal of Political Science,"rs. the results are displayed in figure 2. while we did not pre-register the following test, we estimate conditional ates by political ideology for symmetry with the us sur- vey.17 we find that left-leaning israelis are less likely to perceive palestinians as violent and deserving of a repressive response compared with settlers, while right-leaning israelis are more likely to perceive palestinians as violent and deserving a repressive response. figure 2 displays ",2,,,,
10.1017_s0020818317000352,Behavioral consequences of probabilistic precision: experimental evidence from national security professionals,International Organization,"s into six testable hypotheses, and then tests them through preregistered survey experiments administered to 407 national security professionals and to 3,017 respon- dents from amazon mechanical turk. our results roundly contradict the illusions-of- rigor argument. contrary to conventional wisdom, we find that quantifying probability assessments makes decision makers less willing to support proposed actions and more receptive to gathering additional information.",2,,,,
10.1017_s0020818317000352,Behavioral consequences of probabilistic precision: experimental evidence from national security professionals,International Organization,"ying or testing these claims. empirical approach we ran two preregistered23 online survey experiments designed to test our six hypotheses. the first experiment examined how respondents evaluated prospective 21. piercey 2009. 22. tetlock 2005. 23. see evidence in governance and politics at <www.***egap***.org>. 810 international organization https://doi.org/10.1017/s0020818317000352 downloaded from https://www.cambridge.org/core. australian national university, on 09 a",2,TRUE,Yes,https://osf.io/c9ste,
10.1017_s0020818319000158,The power of ranking: the ease of doing business indicator and global regulatory behavior,International Organization,"ra 2012. 62. michaels 2009, 794–95. 63. this experiment was preregistered with <www.***egap***.org>. the power of ranking 629 https://doi.org/10.1017/s0020818319000158 downloaded from https://www.cambridge.org/core. australian national university, on 24 aug 2021 at 15:33:09, subject to the cambridge core terms of use, available at https://www.cambridge.org/core/terms. edb rankings—which may or may not reflect a meaningful reality—prime invest- ment attitudes. in actua",1,TRUE,Yes,https://osf.io/byq23,
10.1017_s0020818320000223,"Do women make more credible threats? {Gender} stereotypes, audience costs, and crisis bargaining",International Organization,"entative amerispeak panel.68 our design and hypotheses were pre-registered with evidence in governance and politics table 1. inconsistency cost predictions vs. male-male dyad foreign leader female male domestic leader female greater inconsistency costs greater inconsistency costs male greater inconsistency costs baseline 66. prescriptive gender stereotypes suggest that men should protect women, not fight them. stiehm 1982. while naurin, naurin, and alexander 2019",2,,,,
10.1017_s0020818320000223,"Do women make more credible threats? {Gender} stereotypes, audience costs, and crisis bargaining",International Organization,"pilot study was fielded on amazon’s mturk platform prior to pre-registration and fielding on the amerispeak panel. 70. kertzer and brutger 2016; tomz 2007. 71. tomz 2007; kertzer and brutger 2016. 72. in the 2008 election, sarah palin was the republican vice presidential nominee, and hillary clinton was a democratic primary candidate. in the 2012 election, michele bachmann was a republican primary candidate. in the 2016 election, hillary clinton was the democrati",2,,,,
10.1017_s0022381611000557,More a molehill than a mountain: the effects of the blanket primary on elected officials' behavior from california,The Journal of Politics,"over, if moving from a very exclusive primary in which only preregistered partisans can vote for candidates of their own party to a very inclusive blanket primary where any registered voter can vote for any candidate has only a qualified effect, subtler alterations in primary proceedings are unlikely to produce dramatic changes. we ultimately agree with mccarty, poole, and rosenthal (2006) that a solution to elite polarization is unlikely to be found in simply c",1,,,,
10.1017_s004388712000026x,Foreign aid and state legitimacy,World Politics,"ctions. to be consistent with our pap, and in the spirit of preregistration, we don’t retrofit our theory to accommodate our results. rather, we test our hypotheses as prespeci- fied and we consider potential explanations for our findings, as well as 56 bullock, green, and ha 2010. 57 hanauer and morris 2014, 60–61. https://doi.org/10.1017/s004388712000026x downloaded from https://www.cambridge.org/core. australian national university, on 02 aug 2021 at 03:05:38",2,,,,
10.1017_s004388712000026x,Foreign aid and state legitimacy,World Politics," we expected to find adverse effects—an expectation that we preregistered—any explanation is inevitably post hoc. none- theless, there are possibilities that future scholars might consider. first and most obvious, although critics view certain features of the chinese aid regime as problematic, citizens of recipient countries may not share that view. for example, if citizens reject good governance conditional- ities as paternalistic, they may prefer the unconditi",2,,,,
10.1017_s1049096510001617,2011 apsa annual meeting \& exhibition: 2011 conference theme statement,PS: Political Science \& Politics,"l science or division 10: undergraduate education. rule 2 : preregistration the apsa council requires all program participants to pre- register by june 1, 2011. participants who do not preregister byjune 1 will not be listed in the preliminary program.partici- pants added to the program after june 1 should pre-register within 10 days of their notiﬁcation. rule 3: exempt participants prospective participants may request of a division chair or panel organizer an e",4,,,,
10.1017_s1049096510001617,2011 apsa annual meeting \& exhibition: 2011 conference theme statement,PS: Political Science \& Politics,"s to pre- register by june 1, 2011. participants who do not preregister byjune 1 will not be listed in the preliminary program.partici- pants added to the program after june 1 should pre-register within 10 days of their notiﬁcation. rule 3: exempt participants prospective participants may request of a division chair or panel organizer an exemption from the preregistration 2011 annual meeting guidelines and submission process 2011 apsa annual meeting & exhibition",4,,,,
10.1017_s1049096510001617,2011 apsa annual meeting \& exhibition: 2011 conference theme statement,PS: Political Science \& Politics,"ram.partici- pants added to the program after june 1 should pre-register within 10 days of their notiﬁcation. rule 3: exempt participants prospective participants may request of a division chair or panel organizer an exemption from the preregistration 2011 annual meeting guidelines and submission process 2011 apsa annual meeting & exhibition submission instructions, details, and forms can be found online at www.apsanet.org/2011 requirement if they are: not a poli",4,,,,
10.1017_s1049096510001617,2011 apsa annual meeting \& exhibition: 2011 conference theme statement,PS: Political Science \& Politics,"f a division chair or panel organizer an exemption from the preregistration 2011 annual meeting guidelines and submission process 2011 apsa annual meeting & exhibition submission instructions, details, and forms can be found online at www.apsanet.org/2011 requirement if they are: not a political scientist; t appearing on only one panel; and t not an exempt participant in 2010. t an exempt participant receives a badge for admission to all annual meeting activi",4,,,,
10.1017_s104909651200042x,Audiences and outcomes in online and traditional american government classes revisited,PS: Political Science \& Politics,"owever, it also may be related to the kinds of students who preregister and enroll in high-demand classes that ﬁll quickly and close. students with high gpas are probably better planners and less likely to procrastinate during the registration process. women have comprised almost exactly two-thirds of the stu- dents on our campus throughout the 13 years of this study (dawe 2011; herrin 1999). for the ﬁrst three years of this study, women were signiﬁcantly less l",2,,,,
10.1017_s104909651200042x,Audiences and outcomes in online and traditional american government classes revisited,PS: Political Science \& Politics,"rt in using comput- ers and being future-oriented enough to preregister for these pop- ular classes. second, and perhaps most important, is what we did not ﬁnd. we found no signiﬁcant diﬀerence in factual knowledge gained between the two delivery formats. moreover, diﬀerences in changes in political interest, trust, and eﬃcacy, although statistically sig- niﬁcant, were slight and had no clear pattern. carefully con- structed web-based classes in american governm",2,,,,
10.1017_s1049096514001528,2015 annual meeting call for papers,PS: Political Science \& Politics,"cience or division 10: political science education. rule 2: preregistration the apsa council requires all program participants to prereg- ister by june 1, 2015. participants who do not preregister by june 1 will not be listed in the preliminary program. all participants must preregister for the conference or theywill be dropped from the pro- gram.any special requests regarding registration should be sent to the following email: meeting@apsanet.org. rule 3: paper",4,,,,
10.1017_s1049096514001528,2015 annual meeting call for papers,PS: Political Science \& Politics,"ation the apsa council requires all program participants to prereg- ister by june 1, 2015. participants who do not preregister by june 1 will not be listed in the preliminary program. all participants must preregister for the conference or theywill be dropped from the pro- gram.any special requests regarding registration should be sent to the following email: meeting@apsanet.org. rule 3: paper delivery as a paper presenter, you have two important obligations: 1)",4,,,,
10.1017_s1049096514001528,2015 annual meeting call for papers,PS: Political Science \& Politics,"s to prereg- ister by june 1, 2015. participants who do not preregister by june 1 will not be listed in the preliminary program. all participants must preregister for the conference or theywill be dropped from the pro- gram.any special requests regarding registration should be sent to the following email: meeting@apsanet.org. rule 3: paper delivery as a paper presenter, you have two important obligations: 1) to ensure that the members of your panel, especially d",4,,,,
10.1017_s1049096514001528,2015 annual meeting call for papers,PS: Political Science \& Politics,"be listed in the preliminary program. all participants must preregister for the conference or theywill be dropped from the pro- gram.any special requests regarding registration should be sent to the following email: meeting@apsanet.org. rule 3: paper delivery as a paper presenter, you have two important obligations: 1) to ensure that the members of your panel, especially discus- sants, receive your paper in time to read it carefully prior to the meeting; and 2) ",4,,,,
10.1017_s1049096515000463,Increasing the credibility of political science research: a proposal for journal reforms,PS: Political Science \& Politics,"erns about publication bias and replication failures is the preregistration of experimental trials—a practice that is mandated in some areas of medicine and is beginning to happen voluntarily by social science researchers conducting field experiments (particularly in development economics) or study- ing unobserved or uncollected observational data (e.g., grossman and pierskalla n.d.; monogan 2013). an emerging cross-disciplinary movement of researchers argues fo",8,,,,
10.1017_s1049096515000463,Increasing the credibility of political science research: a proposal for journal reforms,PS: Political Science \& Politics,"rging cross-disciplinary movement of researchers argues for preregistration because it forces authors to publicly disclose their hypotheses and analy- sis plans before data have been collected, which should reduce the risk of spurious results (e.g., gerber and malhotra 2008a; humphreys, de la sierra, and van der windt 2013; miguel et al. 2014; monogan 2013; wagenmakers et al. 2012). one of the best examples of this practice to date is the oregon health insur- an",8,,,,
10.1017_s1049096515000463,Increasing the credibility of political science research: a proposal for journal reforms,PS: Political Science \& Politics,"t non- binding registration for experiments. unfortunately, preregistration alone will not solve the prob- lem of publication bias. the format limits authors’ ability to produce the statistically significant findings that reviewers and editors demand, which may lead authors to opt out of registration or to shelve nonsignificant findings. as a result, authors have little incentive to engage in the practice unless it offers an appealing route to publication in pre",8,,,,
10.1017_s1049096515000463,Increasing the credibility of political science research: a proposal for journal reforms,PS: Political Science \& Politics,"ls.3 in addition, schol- ars may be tempted to deviate from preregistered analysis plans when those plans are not linked to journal publication prac- tices. most fundamental, however, if studies are more apt to be 		 ps • special issue 2015 79 ..............................................................................................................................................................................................................................",8,,,,
10.1017_s1049096515000463,Increasing the credibility of political science research: a proposal for journal reforms,PS: Political Science \& Politics,"s, then publication bias is still likely to ensue even when preregistration is commonly practiced, as studies frequently have found in exam- ining results from clinical trials (see, e.g., dwan et al. 2013).4 a better practice would be for journals to offer authors an option in which articles with prespecified analysis plans would be accepted in principle before the study was conducted. by offering this voluntary option of planned confirmatory studies, journals w",8,,,,
10.1017_s1049096515000463,Increasing the credibility of political science research: a proposal for journal reforms,PS: Political Science \& Politics,"ory studies, journals would create a positive incentive for preregistration that would minimize file-drawer bias and avoid the mandates and constraints towhich some scholars object (e.g., laitin 2013; publications plan- ning ad hoc committee 2014). although this approach, which is known as registered reports, may seem radical, the format is currently being offered by a number of journals, including aims neuroscience (chambers et al. 2014), cortex (chambers 2013)",8,,,,
10.1017_s1049096515000463,Increasing the credibility of political science research: a proposal for journal reforms,PS: Political Science \& Politics,"oncerns about publication bias and increased enthusiasm for preregistration and replication, the incentives for change in current research practices remain weak. unless lead- ing journals such as the apsr take steps like those i describe to address publication bias, the status quo is likely to remain in place. similarly, due to a lack of institutional changes, concerns about reviewer burdens and long lag times before publication have persisted for years without ",8,,,,
10.1017_s1049096515000463,Increasing the credibility of political science research: a proposal for journal reforms,PS: Political Science \& Politics," of publications might change under a voluntary, nonbinding preregistration scheme. 5. full disclosure: the author is a member of an ad hoc committee promoting the use of the registered reports format (see https://***osf***.io/8mpji). 6. a potential variant on this design is to include exploratory results as part of the first-round submission and then have a confirmatory analysis that is handled under the prespecification guidelines discussed herein. alternatively, jo",8,TRUE,999,,
10.1017_s1049096516000810,Standard operating procedures: a safety net for pre-analysis plans,PS: Political Science \& Politics,"important trend has been a growing interest in, and use of, preregistration of experimental research designs, including detailed pre-analysis plans. investigators who ﬁle preregistered designs and pre-analysis plans commit themselves to stating their hypotheses ex ante, preventing “harking” and clarifying the distinction between conﬁrmatory and exploratory research. they also commit themselves to presenting the results of analysis methods that are preferred for ",10,,,,
10.1017_s1049096516000810,Standard operating procedures: a safety net for pre-analysis plans,PS: Political Science \& Politics,"ncluding detailed pre-analysis plans. investigators who ﬁle preregistered designs and pre-analysis plans commit themselves to stating their hypotheses ex ante, preventing “harking” and clarifying the distinction between conﬁrmatory and exploratory research. they also commit themselves to presenting the results of analysis methods that are preferred for ex ante theoretical reasons, limiting the ability of researchers to “ﬁsh” (consciously or unconsciously) for th",10,,,,
10.1017_s1049096516000810,Standard operating procedures: a safety net for pre-analysis plans,PS: Political Science \& Politics,"pear (in a biased manner) more striking ex post. the use of preregistered designs and pre-analysis plans has been growing, and will doubtless continue to grow even more quickly over the next few years. around 20 academic journals in the human behavioral sciences, particularly in psychology and neuroscience, have taken the fur- ther step of opening a “registered reports” submission track, whereby research is accepted “in principle” for publication upon peer revie",10,,,,
10.1017_s1049096516000810,Standard operating procedures: a safety net for pre-analysis plans,PS: Political Science \& Politics,"n principle” for publication upon peer review of a detailed preregistered research design and pre-analysis plan, before data collection has taken place. this reform addresses pub- lication bias, and commits both journal editors and authors to publish the results of well-designed and theoretically important research, regardless of whether these results are statistically significant. within political science, comparative political studies has led the way, using re",10,,,,
10.1017_s1049096516000810,Standard operating procedures: a safety net for pre-analysis plans,PS: Political Science \& Politics,"itical science for the first time later in 2016. the use of preregistration and pre-analysis plans sounds sim- ple in the abstract. but in practice, researchers may not anticipate certain pitfalls that will occur when the research is actually imple- mented and the relevant data collected. through no fault of their own, researchers may find themselves in situations where they face the challenge of analyzing data that was generated through a process not exactly co",10,,,,
10.1017_s1049096516000810,Standard operating procedures: a safety net for pre-analysis plans,PS: Political Science \& Politics,"erated through a process not exactly corresponding to their preregistered design, and which as a result cannot sensibly be analyzed exactly according to the corresponding pre-analysis plan.to the extent that research- ers then deal with the necessary deviations from preregistered procedures in an ad hoc manner, we are in a certain respect back where we started in the first place (though, of course, in not such a severe position)—researchers’ discretion in method",10,,,,
10.1017_s1049096516000810,Standard operating procedures: a safety net for pre-analysis plans,PS: Political Science \& Politics," research- ers then deal with the necessary deviations from preregistered procedures in an ad hoc manner, we are in a certain respect back where we started in the first place (though, of course, in not such a severe position)—researchers’ discretion in methods of analy- sis means the possibility of conscious or unconscious “fishing,” and means that submitted and published research will be biased accordingly. this article’s key insight is that, by precommitting t",10,,,,
10.1017_s1049096516000810,Standard operating procedures: a safety net for pre-analysis plans,PS: Political Science \& Politics,"e presence of sops reduces the cost of preparing a detailed preregistered design / pre-analysis plan, thus increasing the likelihood that researchers will use these important tools in the ﬁrst place. this is so because certain oﬀ-the-shelf or previously settled protocols will be one-time “ﬁxed costs” (not even necessarily borne by the researcher, if she adopts a publicly circulat- ing set of sops) rather than “marginal costs” associated with every research proje",10,,,,
10.1017_s1049096516000810,Standard operating procedures: a safety net for pre-analysis plans,PS: Political Science \& Politics,"in the same registry as the pap. if an analysis follows the pre-registered pap and sop, it is clearly pre-specified. if it is guided by later amendments to the sop, it falls into what humphreys, sanchez de la sierra, and van der windt (2013, 18) call “a gray zone in which analy- sis may stay true to the intent of the registered design but the defense of the details of implementation must be provided ex post rather than ex ante.”3 pre-specified, gray-zone, and exp",10,,,,
10.1017_s1049096516000810,Standard operating procedures: a safety net for pre-analysis plans,PS: Political Science \& Politics,"ons.” politicalanalysis 21 (1): 21–37. ———. 2015. “research preregistration in political science: the case, counterarguments, and a response tocritiques.” ps:politicalscienceandpolitics 48 (03): 425–429. nosek, b. a., g. alter, g. c. banks, d. borsboom, s. d. bowman, s. j. breckler, s. buck, c. d. chambers, g. chin, g. christensen, m. contestabile, a. dafoe, e. eich, j. freese, r.glennerster, d.goroﬀ, d. p.green, b. hesse, m. humphreys, j. ishiyama, d. karlan, a",10,,,,
10.1017_s1049096516002389,Reducing political bias in political science estimates,PS: Political Science \& Politics,"stimates. these biases can be reduced or eliminated through preregistration and preacceptance, with researchers committing to a research design before completing data collection. removing the potential for reporting flexibility can raise the credibility of political science research. p olitical science is an important tool for understanding and improving the world (see sides 2013); but several recent events have raised questions about political science research ",24,,,,
10.1017_s1049096516002389,Reducing political bias in political science estimates,PS: Political Science \& Politics,"plish— mechanisms for eliminating reporting flexibility are preregistra- tion (see monogan 2015) and preacceptance (see nyhan 2015). in a preregistered study, researchers announce their planned research design choices before completing data collection, and then report results from this preannounced research design; readers can thus have more confidence that reported results have not been influ- enced by reporting bias. preregistration has an advantage that resea",24,,,,
10.1017_s1049096516002389,Reducing political bias in political science estimates,PS: Political Science \& Politics,"(see monogan 2015) and preacceptance (see nyhan 2015). in a preregistered study, researchers announce their planned research design choices before completing data collection, and then report results from this preannounced research design; readers can thus have more confidence that reported results have not been influ- enced by reporting bias. preregistration has an advantage that researchers can announce planned research design choices unilaterally, but a shortc",24,,,,
10.1017_s1049096516002389,Reducing political bias in political science estimates,PS: Political Science \& Politics,"orted results have not been influ- enced by reporting bias. preregistration has an advantage that researchers can announce planned research design choices unilaterally, but a shortcoming of preregistration is that there is no guarantee that preregistered studies will enter the literature. this shortcoming can be eliminated through preacceptance of articles in which journals agree to publish an article based on a preregistered research design no matter what the r",24,,,,
10.1017_s1049096516002389,Reducing political bias in political science estimates,PS: Political Science \& Politics," research design choices unilaterally, but a shortcoming of preregistration is that there is no guarantee that preregistered studies will enter the literature. this shortcoming can be eliminated through preacceptance of articles in which journals agree to publish an article based on a preregistered research design no matter what the results are, as was done in a special issue of comparative political studies (findley et al. 2016).5 monogan (2013) is an exemplar ",24,,,,
10.1017_s1049096516002389,Reducing political bias in political science estimates,PS: Political Science \& Politics,"oming of preregistration is that there is no guarantee that preregistered studies will enter the literature. this shortcoming can be eliminated through preacceptance of articles in which journals agree to publish an article based on a preregistered research design no matter what the results are, as was done in a special issue of comparative political studies (findley et al. 2016).5 monogan (2013) is an exemplar of a preregistered study. the preregistered monogan",24,,,,
10.1017_s1049096516002389,Reducing political bias in political science estimates,PS: Political Science \& Politics,"es in which journals agree to publish an article based on a preregistered research design no matter what the results are, as was done in a special issue of comparative political studies (findley et al. 2016).5 monogan (2013) is an exemplar of a preregistered study. the preregistered monogan (2010) file describes the planned research design to assesswhether a republican house candidate’s percent- age of the major-party vote in 2010 was influenced by the tone of t",24,,,,
10.1017_s1049096516002389,Reducing political bias in political science estimates,PS: Political Science \& Politics," (findley et al. 2016).5 monogan (2013) is an exemplar of a preregistered study. the preregistered monogan (2010) file describes the planned research design to assesswhether a republican house candidate’s percent- age of the major-party vote in 2010 was influenced by the tone of the candidate’s website statement on immigration. the preregis- tered file identified the planned outcome variable, explained how the explanatory variable would be measured, identified w",24,,,,
10.1017_s1049096516002389,Reducing political bias in political science estimates,PS: Political Science \& Politics,"monogan (2013) is an exemplar of a preregistered study. the preregistered monogan (2010) file describes the planned research design to assesswhether a republican house candidate’s percent- age of the major-party vote in 2010 was influenced by the tone of the candidate’s website statement on immigration. the preregis- tered file identified the planned outcome variable, explained how the explanatory variable would be measured, identified which control variables wo",24,,,,
10.1017_s1049096516002389,Reducing political bias in political science estimates,PS: Political Science \& Politics,"ne of the candidate’s website statement on immigration. the preregis- tered file identified the planned outcome variable, explained how the explanatory variable would be measured, identified which control variables would be included in the model and how these control variables would be measured, and explained how the data would be analyzed. analysis of the vote data collected after the research design had been made public did not provide support for the expectat",24,,,,
