file_in,title,journal,count_prereg,prereg_context,prereg_term_context,prereg_website_context
,,,,"e and 6 items cap- turing anti-transgender prejudice. as we pre-registered, we combine these two groups of items into two 12 the video is publicly available at https://www.youtube.com/watch? v5ynwvrwgqneg. 13 these were equality foundation of georgia in atlanta, georgia; equality ohio education fund in cleveland, ohio; equality florida institute in jacksonville, florida; and one community in scottsdale, arizona. reducing exclusionary attitudes through interperson",,
,,,,"ffective as that reported in broockman and kalla (2016). we pre-registered an expectation that this was a less favorable implementation context than in broockman and kalla (2016) given that the partner organizations had less prior experience implementing longer canvassing interactions, which could explain this smaller treatment effect. in summary, experiments 1 and 2 ﬁnd that non- judgmentally exchanging narratives present in a video (experiment 2) and narratives",,
10.1017_s000305542000057x,Can {Charter} {Schools} {Boost} {Civic} {Participation}? {The} {Impact} of {Democracy} {Prep} {Public} {Schools} on {Voting} {Behavior,American Political Science Review,2," percentage points; similarly, mcdo- nald (2009) found that preregistration increased youth voting rates by nearly 5 percentage points. while our study cannot provide direct evidence of the mechanisms through which democracy prep improves voting outcomes, a school culture built around a civics-oriented mission appears critical. dem- ocracy prep founder seth andrew (2019) and educa- tion writer robert pondiscio (2018) each describe how an emphasis on “active and ",,
,,,,"f politics 73 (3): 633–45. mcdonald, michael p. 2009. voter preregistration programs. george mason university. http://www.cses.org/plancom/2009toronto/ cses_2009 toronto_mcdonald.pdf. accessed october 20, 2018. mceachin, andrew, douglas lee lauen, sarah crittenden fuller, and rachel m. perera. 2020. “social returns to private choice? effects of charter schools on behavioral outcomes, arrests, and civic participation.” economics of education review 76: 101983. mi",,
10.1017_s0003055420000787,Fundraising for {Stigmatized} {Groups}: {A} {Text} {Message} {Donation} {Experiment,American Political Science Review,1," irb approval, compliance with greek legislation, and study preregis- tration, see appendix iv. our nationwide sms experiment was administered from march 24th to march 28th, 2016. the study sub- jects are adults living in greece who are customers of one of three mobile carriers and consented to receiving texts requesting donations from licensed ngos at the time of initializing service. they also agreed to have broad, unidentifiable aggregate data disclosed, incl",,
10.1017_s0003055420000957,Do {Commodity} {Price} {Shocks} {Cause} {Armed} {Conflict}? {A} {Meta}-{Analysis} of {Natural} {Experiments,American Political Science Review,1,"entification strategy used in the studies we analyze. 13 we preregistered a bayesian random effects model with study and country hierarchies. we could not, however, fit this model given an insufficient number of studies within most countries (see appendix j). graeme blair, darin christensen, and aaron rudkin 712 downloaded from https://www.cambridge.org/core. australian national university, on 19 jul 2021 at 01:44:59, subject to the cambridge core terms of use, ",", differentiating these extensive and intensive margins is an important task for future work. 7 our preanalysis plan discussed but did not register h3. 8 we also planned to code “taxable” commodities, but authors did not consistently code this feature, and we could not independently code “taxability” for most commodity-country pairs. do commodity price shocks cause armed conflict? a meta-analysis of natural experiments 711 downloaded from https://www.cambridge.org/core. australian national university, on 1",reanalysis plan is registered with egap at http://egap.org/registration/4993 (further details and code are registered at osf at https://dx.doi.org/ 10.17605/osf.io/dy9uf). deviations from the pap are described in appendix j. acknowledgements we are grateful 
,,,,," at the american political science review dataverse: https://doi.org/10.7910/ dvn/bgcvow. the study preanalysis plan is registered with egap at http://egap.org/registration/4993 (further details and code are registered at osf at https://dx.doi.org/ 10.17605/osf.io/dy9uf). deviations from the pap are described in appendix j. acknowledgements we are grateful to emily allendorf, albert na, jacque- lyn nguyen, jinqi song, and pei yin teo for excellent research assistance. we thank the many authors included in ","registered at osf at https://dx.doi.org/ 10.17605/osf.io/dy9uf). deviations from the pap are described in appendix j. acknowledgements we are grateful to emily allendorf, albert na, jacque- lyn nguyen, jinqi song, and pei yin teo for excellent research ass"
,,,,,"eview dataverse: https://doi.org/10.7910/ dvn/bgcvow. the study preanalysis plan is registered with egap at http://egap.org/registration/4993 (further details and code are registered at osf at https://dx.doi.org/ 10.17605/osf.io/dy9uf). deviations from the pap are described in appendix j. acknowledgements we are grateful to emily allendorf, albert na, jacque- lyn nguyen, jinqi song, and pei yin teo for excellent research assistance. we thank the many authors included in this meta-analysis for genero",
,,,,,": https://doi.org/10.7910/ dvn/bgcvow. the study preanalysis plan is registered with egap at http://egap.org/registration/4993 (further details and code are registered at osf at https://dx.doi.org/ 10.17605/osf.io/dy9uf). deviations from the pap are described in appendix j. acknowledgements we are grateful to emily allendorf, albert na, jacque- lyn nguyen, jinqi song, and pei yin teo for excellent research assistance. we thank the many authors included in this meta-analysis for generously sharing da",
,,,,,"gistered with egap at http://egap.org/registration/4993 (further details and code are registered at osf at https://dx.doi.org/ 10.17605/osf.io/dy9uf). deviations from the pap are described in appendix j. acknowledgements we are grateful to emily allendorf, albert na, jacque- lyn nguyen, jinqi song, and pei yin teo for excellent research assistance. we thank the many authors included in this meta-analysis for generously sharing data, replication codes, and other statistics. we thank three anonymous ",
,,,,,"g/registration/4993 (further details and code are registered at osf at https://dx.doi.org/ 10.17605/osf.io/dy9uf). deviations from the pap are described in appendix j. acknowledgements we are grateful to emily allendorf, albert na, jacque- lyn nguyen, jinqi song, and pei yin teo for excellent research assistance. we thank the many authors included in this meta-analysis for generously sharing data, replication codes, and other statistics. we thank three anonymous reviewers, chris blattman, alex copp",
10.1017_s0003055420001136,Why {Austerity}? {The} {Mass} {Politics} of a {Contested} {Policy,American Political Science Review,1,"017_146170/1 and grant #pp00p1-139035). this study has been preregistered. the preanalysis plan is available at https://dataverse. harvard.edu/dataset.xhtml?persistentid=doi:10.7910/dvn/qyu1uo. this study was approved by the internal review boards at stanford university (eprotocol 45802), tel-aviv university (#10161847), and washington university in st. louis (#201803225). replication mater- ials are available at the american political science review dataverse: ","oundation (grant #100017_146170/1 and grant #pp00p1-139035). this study has been preregistered. the preanalysis plan is available at https://dataverse. harvard.edu/dataset.xhtml?persistentid=doi:10.7910/dvn/qyu1uo. this study was approved by the internal review boards at stanford university (eprotocol 45802), tel-aviv university (#10161847), and washington university in st. louis (#201803225). replication mater- ials are available at the american political science review dataverse: https://doi.org/10.7910/","pport for austerity.” working paper. doi:10.31235/osf.io/7qa2b. bearce, david h., and kim-lee tuxhorn. 2015. “when are monetary policy preferences egocentric? evidence from american surveys and an experiment.” american journal of political science 61 (1): "
,,,,,"uasive? the household budget analogy and public support for austerity.” working paper. doi:10.31235/osf.io/7qa2b. bearce, david h., and kim-lee tuxhorn. 2015. “when are monetary policy preferences egocentric? evidence from american surveys and an experiment.” american journal of political science 61 (1): 178–93. beazer, quintin h., and byungwon woo. 2016. “imf conditionality, government partisanship, and the progress of economic reforms.” american journal of political science 60 (2): 304–21. bechte",
10.1017_s0007123413000343,An 'a' for effort: experimental evidence on un security council engagement and support for us military action in japan,British Journal of Political Science,1," in the sample must have internet access and be voluntarily preregistered with the ﬁrm. as such, we cannot claim that the results of this experiment can be directly generalized to the japanese population at large.33 however, the observable differences following the randomly assigned stimuli should still provide a reliable test of how unsc approval affects support for military action and why.34 we measure 29 respondents were told that there are three states parti",,
10.1017_s0007123417000849,Reducing the cost of voting: an evaluation of internet voting's effect on turnout,British Journal of Political Science,1,"used internet voting when the costs were lower, namely when pre-registration was not required. we ﬁnd some evidence that more people use internet voting when it is offered both in advance and on election day. substantively, these results are similar to turnout increases from convenience changes to election rules,18 experiments aiming to increase turnout19 and estimated turnout effects from retrospective voting.20 internet voting can increase turnout, but it is no",,
10.1017_s0007123418000327,Does counter-attitudinal information cause backlash? {Results} from three large survey experiments,British Journal of Political Science,4,"ated. study 1: analytic strategy we present results that we pre-registered in planned regression specifications. we use ordinary least squares (ols) with hc2 robust standard errors, separately by subject type. we employ survey weights (provided by gfk) for all models. table 1. study 1 (gun control): treatment conditions t2 attitude t2 belief condition n mean sd mean sd 730 − 0.03 0.04 0.69 0.02 (0.04) (0.00) (0.02) (0.00) positive information 702 0.06 0.04 0.72 0",,
,,,,"ally, in appendix a, we show that there is no backlash in a preregistered analysis of the effect of the information treatments by party identification. this is significant because of its commonly theorized role as a perceptual filter that could, in the ras or jqp accounts, promote polarization or backlash. the results of study 1 indicate that gun control attitudes do not consistently move in response to either positive or negative information. this is somewhat s",,
,,,,"ar analysis – testing the effect on this question – was not preregistered. 1503 british journal of political science relatively equivocal findings also show, however, that backlash was unlikely to have occurred as a result of these treatments. study 2: minimum wage study 2: procedure a large number (n = 2,979) of survey respondents on mechanical turk were recruited to par- ticipate in a pre-treatment survey measuring demographic characteristics (age, gender, rac",,
,,,,"a university (irb-aaaq7729) institutional review boards. we pre-registered the designs and intended analyses of studies 1 and 3 with experiments in governance and politics before primary data collection began. references ansolabehere s, rodden j and snyder jm (2008) the strength of issues: using multiple measures to gauge preference stability, ideological constraint, and issue voting. american political science review 102 (2):215–232. arceneaux k and johnson m (2",,
10.1017_s0007123419000413,Violence on many sides: framing effects on protest and support for repression,British Journal of Political Science,2,"ion and support for repression using two survey experiments pre-registered through evidence in governance and politics in august 2018. the first survey was administered to 1,024 jewish respondents from israel from 7–11 november 2018 through the midgam panel, an israeli online panel data collection project designed for social psychology research. midgam panel survey respondents are represen- tative of the israeli jewish population in terms of age, gender and polit","ociation-midwest meeting, and three anonymous reviewers for their helpful comments and suggestions. pre-analysis plan registered with evidence in governance and politics (id: 20180829aa). the study was approved by emory university’s institutional review board: (irb00106432). the data, replication instructions and the data’s codebook can be found at https://doi.org/10.7910/dvn/ ijnzwk. funding. support for this research was provided by emory university professional development support. references abramowitz ",
,,,,"rs. the results are displayed in figure 2. while we did not pre-register the following test, we estimate conditional ates by political ideology for symmetry with the us sur- vey.17 we find that left-leaning israelis are less likely to perceive palestinians as violent and deserving of a repressive response compared with settlers, while right-leaning israelis are more likely to perceive palestinians as violent and deserving a repressive response. figure 2 displays ",,
10.1017_s0022381611000557,More a molehill than a mountain: the effects of the blanket primary on elected officials' behavior from california,The Journal of Politics,1,"over, if moving from a very exclusive primary in which only preregistered partisans can vote for candidates of their own party to a very inclusive blanket primary where any registered voter can vote for any candidate has only a qualified effect, subtler alterations in primary proceedings are unlikely to produce dramatic changes. we ultimately agree with mccarty, poole, and rosenthal (2006) that a solution to elite polarization is unlikely to be found in simply c",,
10.1017_s004388712000026x,Foreign aid and state legitimacy,World Politics,2,"ctions. to be consistent with our pap, and in the spirit of preregistration, we don’t retrofit our theory to accommodate our results. rather, we test our hypotheses as prespeci- fied and we consider potential explanations for our findings, as well as 56 bullock, green, and ha 2010. 57 hanauer and morris 2014, 60–61. https://doi.org/10.1017/s004388712000026x downloaded from https://www.cambridge.org/core. australian national university, on 02 aug 2021 at 03:05:38","africa continues to grow and as research on the nature and effects of that aid is expanding.11 in a preanalysis plan (pap),12 we predicted that chinese aid would di- minish the legitimacy of recipient states, both in absolute terms and rel- ative to aid from oecd donors. we theorized that the effects of aid on state legitimacy would depend on whether citizens give credit to do- nors or to recipient states for the services donors provide (attribution), whether they believe donor-provided services are distri","r to data collection, and is available at https://osf.io/qek4v. the pap refers specifically to our behavioral games in liberia, but our surveys and survey experiments are similar in approach, and our hypotheses are the same, regardless. https://doi.org/10."
,,,," we expected to find adverse effects—an expectation that we preregistered—any explanation is inevitably post hoc. none- theless, there are possibilities that future scholars might consider. first and most obvious, although critics view certain features of the chinese aid regime as problematic, citizens of recipient countries may not share that view. for example, if citizens reject good governance conditional- ities as paternalistic, they may prefer the unconditi","y, brazys, and elkink 2016. 12 our pap was registered with the evidence in governance and politics (egap) network prior to data collection, and is available at https://osf.io/qek4v. the pap refers specifically to our behavioral games in liberia, but our surveys and survey experiments are similar in approach, and our hypotheses are the same, regardless. https://doi.org/10.1017/s004388712000026x downloaded from https://www.cambridge.org/core. australian national university, on 02 aug 2021 at 03:05:38,","e and politics (egap) and can be found at https://osf.io/qek4v. references achen, christopher h., and larry m. bartels. 2004. “blind retrospection: elec- toral responses to drought, flu, and shark attacks.” working paper. at https://international.ucla.edu/"
,,,,,"nce in governance and politics (egap) network prior to data collection, and is available at https://osf.io/qek4v. the pap refers specifically to our behavioral games in liberia, but our surveys and survey experiments are similar in approach, and our hypotheses are the same, regardless. https://doi.org/10.1017/s004388712000026x downloaded from https://www.cambridge.org/core. australian national university, on 02 aug 2021 at 03:05:38, subject to the cambridge core terms of use, available at https://w",
,,,,,"s for this article can be found at https://doi.org/10.7910/dvn/5j h0wj. data availability statement preanalysis plan was registered at evidence in governance and politics (egap) and can be found at https://osf.io/qek4v. references achen, christopher h., and larry m. bartels. 2004. “blind retrospection: elec- toral responses to drought, flu, and shark attacks.” working paper. at https://international.ucla.edu/media/files/perg.achen.pdf, accessed de- cember 29, 2020. achen, christopher h., and larry m. barte",
,,,,,"data availability statement preanalysis plan was registered at evidence in governance and politics (egap) and can be found at https://osf.io/qek4v. references achen, christopher h., and larry m. bartels. 2004. “blind retrospection: elec- toral responses to drought, flu, and shark attacks.” working paper. at https://international.ucla.edu/media/files/perg.achen.pdf, accessed de- cember 29, 2020. achen, christopher h., and larry m. bartels. 2012. “blind retrospection: why shark attacks are bad for dem",
,,,,,"lysis plan was registered at evidence in governance and politics (egap) and can be found at https://osf.io/qek4v. references achen, christopher h., and larry m. bartels. 2004. “blind retrospection: elec- toral responses to drought, flu, and shark attacks.” working paper. at https://international.ucla.edu/media/files/perg.achen.pdf, accessed de- cember 29, 2020. achen, christopher h., and larry m. bartels. 2012. “blind retrospection: why shark attacks are bad for democracy.” working paper 5-2013. na",
10.1017_s1049096510001617,2011 apsa annual meeting \& exhibition: 2011 conference theme statement,PS: Political Science \& Politics,4,"l science or division 10: undergraduate education. rule 2 : preregistration the apsa council requires all program participants to pre- register by june 1, 2011. participants who do not preregister byjune 1 will not be listed in the preliminary program.partici- pants added to the program after june 1 should pre-register within 10 days of their notiﬁcation. rule 3: exempt participants prospective participants may request of a division chair or panel organizer an e",,
,,,,"s to pre- register by june 1, 2011. participants who do not preregister byjune 1 will not be listed in the preliminary program.partici- pants added to the program after june 1 should pre-register within 10 days of their notiﬁcation. rule 3: exempt participants prospective participants may request of a division chair or panel organizer an exemption from the preregistration 2011 annual meeting guidelines and submission process 2011 apsa annual meeting & exhibition",,
,,,,"ram.partici- pants added to the program after june 1 should pre-register within 10 days of their notiﬁcation. rule 3: exempt participants prospective participants may request of a division chair or panel organizer an exemption from the preregistration 2011 annual meeting guidelines and submission process 2011 apsa annual meeting & exhibition submission instructions, details, and forms can be found online at www.apsanet.org/2011 requirement if they are: not a poli",,
,,,,"f a division chair or panel organizer an exemption from the preregistration 2011 annual meeting guidelines and submission process 2011 apsa annual meeting & exhibition submission instructions, details, and forms can be found online at www.apsanet.org/2011 requirement if they are: not a political scientist; t appearing on only one panel; and t not an exempt participant in 2010. t an exempt participant receives a badge for admission to all annual meeting activi",,
10.1017_s1049096511001612,2012 annual meeting call for papers,PS: Political Science \& Politics,5,"cience or division 10: political science education. rule 2: preregistration the apsa council requires all program participants to prereg- ister by june 1, 2012. participants who do not preregister by june 1 will not be listed in the preliminary program. participants added to the program after june 1 should pre-register within 10 days of their notiﬁcation. rule 3: exempt participants prospective participants may request of a division chair or panel organizer an e",,
,,,,"ation the apsa council requires all program participants to prereg- ister by june 1, 2012. participants who do not preregister by june 1 will not be listed in the preliminary program. participants added to the program after june 1 should pre-register within 10 days of their notiﬁcation. rule 3: exempt participants prospective participants may request of a division chair or panel organizer an exemption from the preregistration requirement if they are: a) not a po",,
,,,,"s to prereg- ister by june 1, 2012. participants who do not preregister by june 1 will not be listed in the preliminary program. participants added to the program after june 1 should pre-register within 10 days of their notiﬁcation. rule 3: exempt participants prospective participants may request of a division chair or panel organizer an exemption from the preregistration requirement if they are: a) not a political scientist; b) appearing on only one panel; and ",,
,,,,gram. participants added to the program after june 1 should pre-register within 10 days of their notiﬁcation. rule 3: exempt participants prospective participants may request of a division chair or panel organizer an exemption from the preregistration requirement if they are: a) not a political scientist; b) appearing on only one panel; and c) not an exempt participant in 2011. anexemptparticipantreceivesabadgeforadmissiontoallannual meeting activities butwill no,,
,,,,"f a division chair or panel organizer an exemption from the preregistration requirement if they are: a) not a political scientist; b) appearing on only one panel; and c) not an exempt participant in 2011. anexemptparticipantreceivesabadgeforadmissiontoallannual meeting activities butwill not receive anannual meeting program or the reduced hotel rate. rule 4: paper delivery as a paper presenter, you have two important obligations: a) to ensure that the members of",,
10.1017_s104909651200042x,Audiences and outcomes in online and traditional american government classes revisited,PS: Political Science \& Politics,2,"owever, it also may be related to the kinds of students who preregister and enroll in high-demand classes that ﬁll quickly and close. students with high gpas are probably better planners and less likely to procrastinate during the registration process. women have comprised almost exactly two-thirds of the stu- dents on our campus throughout the 13 years of this study (dawe 2011; herrin 1999). for the ﬁrst three years of this study, women were signiﬁcantly less l",,
,,,,"rt in using comput- ers and being future-oriented enough to preregister for these pop- ular classes. second, and perhaps most important, is what we did not ﬁnd. we found no signiﬁcant diﬀerence in factual knowledge gained between the two delivery formats. moreover, diﬀerences in changes in political interest, trust, and eﬃcacy, although statistically sig- niﬁcant, were slight and had no clear pattern. carefully con- structed web-based classes in american governm",,
10.1017_s1049096513001728,Data access and research transparency in the quantitative tradition,PS: Political Science \& Politics,1,"ation about case- selection procedures and “do-ﬁles”), and “preregistration.” given the increased attention to such matters in recent years, it seems likely that many scholars will want to attach such labels to their work. such practices can make research trans- parency more rewarding for individual investigators while also oﬀering credibility beneﬁts to research communities. conclusion this article details the value of increased data sharing and research transp",,
10.1017_s1049096514001528,2015 annual meeting call for papers,PS: Political Science \& Politics,4,"cience or division 10: political science education. rule 2: preregistration the apsa council requires all program participants to prereg- ister by june 1, 2015. participants who do not preregister by june 1 will not be listed in the preliminary program. all participants must preregister for the conference or theywill be dropped from the pro- gram.any special requests regarding registration should be sent to the following email: meeting@apsanet.org. rule 3: paper",,
,,,,"ation the apsa council requires all program participants to prereg- ister by june 1, 2015. participants who do not preregister by june 1 will not be listed in the preliminary program. all participants must preregister for the conference or theywill be dropped from the pro- gram.any special requests regarding registration should be sent to the following email: meeting@apsanet.org. rule 3: paper delivery as a paper presenter, you have two important obligations: 1)",,
,,,,"s to prereg- ister by june 1, 2015. participants who do not preregister by june 1 will not be listed in the preliminary program. all participants must preregister for the conference or theywill be dropped from the pro- gram.any special requests regarding registration should be sent to the following email: meeting@apsanet.org. rule 3: paper delivery as a paper presenter, you have two important obligations: 1) to ensure that the members of your panel, especially d",,
,,,,"be listed in the preliminary program. all participants must preregister for the conference or theywill be dropped from the pro- gram.any special requests regarding registration should be sent to the following email: meeting@apsanet.org. rule 3: paper delivery as a paper presenter, you have two important obligations: 1) to ensure that the members of your panel, especially discus- sants, receive your paper in time to read it carefully prior to the meeting; and 2) ",,
10.1017_s1049096514001802,All else equal in theory and data (big or small),PS: Political Science \& Politics,1,"lly signiﬁcant “ﬁnding.”7 in this sense, we see the nascent preregistration movement—which urges researchers to publicly state their research design and model speciﬁcation before analyzing their data—and the associated willingness to publish null results as prerequisites for big data or machine learning to be truly useful contributors to infer- ence-oriented empirical research in political science. forecasting, invariance, and policy a more radical view is that ",,
10.1017_s1049096515000189,"Research preregistration in political science: the case, counterarguments, and a response to critiques",PS: Political Science \& Politics,63," can be reached at monogan@uga.edu. the profession research preregistration in political science: the case, counterarguments, and a response to critiques james e. monogan iii, university ofgeorgia abstract this article describes the current debate on the practice of preregistration in political science—that is, publicly releasing a research design before observing outcome data.the case in favor of preregistration maintains that it can restrain four potential cau","f donors and policy makers.” they show how useful preregistration can be in practice by creating a “pre-analysis plan” for an investigation of a randomly assigned governance program in sierra leone. the analysis revealed only short-run treatment eﬀects, which is in contrast to a prevailing notion that govern- ance programs can have sustainable eﬀects.with deviations from the pre-analysis plan, the researchers could generate misleading results with either positive or negative treatment eﬀects (casey, glenner",
,,,,"his article describes the current debate on the practice of preregistration in political science—that is, publicly releasing a research design before observing outcome data.the case in favor of preregistration maintains that it can restrain four potential causes of publication bias, clearly distinguish deductive and inductive studies, add transparency regarding a researcher’s motivation, and liberate researchers who may be pressured to ﬁnd speciﬁc results. conce","a prevailing notion that govern- ance programs can have sustainable eﬀects.with deviations from the pre-analysis plan, the researchers could generate misleading results with either positive or negative treatment eﬀects (casey, glennerster, and miguel 2012, 1804–5). study registration can liberate researchers who simply want trustworthy results, even in the face of governmental, ﬁnancial, or academic pressure for a speciﬁc ﬁnding. counterarguments on preregistration in contrast to this case in favor of study",
,,,,"h design before observing outcome data.the case in favor of preregistration maintains that it can restrain four potential causes of publication bias, clearly distinguish deductive and inductive studies, add transparency regarding a researcher’s motivation, and liberate researchers who may be pressured to ﬁnd speciﬁc results. concerns about preregistration maintain that it is less suitable for the study of historical data, could reduce data exploration, may not a","chel glennerster, and edward miguel. 2012. “reshaping institutions: evidence on aid impacts using a pre-analysis plan.” quarterly journal of economics 127 (4): 1755–812. chambers, christopher d. 2013. “registered reports: a new publishing initiative at cortex.” cortex 49 (3): 609–10. feynman, richard p. 1999. the pleasure of findingthingsout. newyork: basic books. gelman, andrew. 2013. “preregistration of studies and mock reports.” political analysis 21 (1): 40–1. gerber, alan s., and neil malhotra. 2008. “",
,,,,"who may be pressured to ﬁnd speciﬁc results. concerns about preregistration maintain that it is less suitable for the study of historical data, could reduce data exploration, may not allow for contextual prob- lems that emerge in ﬁeld research, and may increase the diﬃculty of ﬁnding true positive results. this article makes the case that these concerns can be addressed in preregistered studies, and it oﬀers advice to those who would like to pursue study registr",,
,,,,"icle makes the case that these concerns can be addressed in preregistered studies, and it oﬀers advice to those who would like to pursue study registration in their own work. a conversation is emerging in political science about the merits of study registration and how well the concept fits with research in the discipline. registering a study means that before observing outcome data, researchers craft and publicly release their plan for data analysis that they b",,
,,,,"irely new: clinical trials in biomedical research often are preregistered, and several regulators including the us food and drug adminis- tration require it (albeit compliance often lags behind mandates; see prayle, hurley, and smyth 2012). the idea of preregistration emerged as part of the trend toward increased transparency in political science. more journals are requiring writers to share replication data and more researchers are volunteering supplemental inf",,
,,,," mandates; see prayle, hurley, and smyth 2012). the idea of preregistration emerged as part of the trend toward increased transparency in political science. more journals are requiring writers to share replication data and more researchers are volunteering supplemental information. the american polit- ical science association is weighing guidelines for data access and research transparency (da-rt) in the quantitative and qualitative traditions as a means to prom",,
,,,," meta-analysis projects. this article presents the case for preregistration as a next step in transparency, as well as the current controversy about the tradeoﬀs of registration. a remedy for publication bias several scholars argue that study registration can be useful in social science (asendorpf et al. 2013; casey, glennerster, and miguel 2012;chambers 2013; humphreys, de la sierra, andvan derwindt 2013; king et al. 2007, 2009; monogan 2013). chieﬂy, preregist",,
,,,,"rwindt 2013; king et al. 2007, 2009; monogan 2013). chieﬂy, preregistra- tion can restrain publication bias, which is the tendency for positive results to be disproportionately prone to publication relative to null findings. there is evidence of publication bias in political science articles (gerber and malhotra 2008; gerber et al. 2010). four possible causes of this pattern include a journal’s rejection of null findings, an author’s self-selecting to submit onl",,
,,,,".................................. the profession: research preregistration in political science for specifications that generate significant results (gerber and malhotra 2008, 314). monogan (2013, 23–4) argues that preregistration can restrain all four causes of publication bias. first, registration would make research design more central to the review process, thereby reduc- ing the importance of signiﬁcance tests in publication decisions. some proposals call ",,
,,,,"r and malhotra 2008, 314). monogan (2013, 23–4) argues that preregistration can restrain all four causes of publication bias. first, registration would make research design more central to the review process, thereby reduc- ing the importance of signiﬁcance tests in publication decisions. some proposals call for a publication decision based strictly on the research design, removing signiﬁcance tests from consideration (chambers 2013). even if the decision is mad",,
,,,,"hers that pursuing a research question may not be fruitful. preregistration also could ameliorate the “ﬁle-drawer problem” (rosenthal 1979) by chang- ing how null ﬁndings are perceived.that is, scholarswho conduct rigorous research may be willing to submit manuscripts if they expect them to be evaluated for thoroughness rather than signif- icance levels. third, concerning the expansion of the sample size to achieve signiﬁcance, preregistration would signal in ad",,
,,,,"ng the expansion of the sample size to achieve signiﬁcance, preregistration would signal in advance the appro- priate sample size for a given research question. adding data is the least problematic source of publication bias because larger samples reduce the scope for ﬁshing (i.e., model manipulation for a desired result) (humphreys, de la sierra, and van der windt 2013, 6–7). however, the analysis can be monitored until a posi- tive result emerges before stoppi",,
,,,,"the resultwas the consequence of informed planning. fourth, preregistration can prevent ﬁshing because the inves- tigator must specify the model in advance. as humphreys, de la sierra, and van derwindt (2013) argue, even nonbinding registra- tion can communicate to readers whether a study adhered exactly to the preregistered design, deviated on grounds defended by the researchers, or was not preregistered and hence could be explor- atory work. by sorting out the",,
,,,,"mmunicate to readers whether a study adhered exactly to the preregistered design, deviated on grounds defended by the researchers, or was not preregistered and hence could be explor- atory work. by sorting out the best speciﬁcation using theory and past work in advance, a researcher can commit to the results of a well-reasoned model. simmons, nelson, and simonsohn (2011, 1359) deﬁne “researcher degrees of freedom” as the investi- gator’s discretion in choice of ",,
,,,,"deviated on grounds defended by the researchers, or was not preregistered and hence could be explor- atory work. by sorting out the best speciﬁcation using theory and past work in advance, a researcher can commit to the results of a well-reasoned model. simmons, nelson, and simonsohn (2011, 1359) deﬁne “researcher degrees of freedom” as the investi- gator’s discretion in choice of dependentvariables, covariates, and sample size. with only a few degrees of freedo",,
,,,,"eedom, absurd results can be manufactured. the ﬁndings from preregistered research should be trustworthy because the investigator eliminated those researcher degrees of freedom. benefits of transparency beyond publication bias in addition to these four ways that preregistration can diminish publication bias, it can help the discipline in three more ways. first, registration distinguishes deductive and inductive research. the act of study registration lends itsel",,
,,,,"beyond publication bias in addition to these four ways that preregistration can diminish publication bias, it can help the discipline in three more ways. first, registration distinguishes deductive and inductive research. the act of study registration lends itself more naturally to deduc- tive research in which a theory is formulated and then hypothesis tests are developed. however, nothing would prevent researchers from stating up front that they will learn fro",,
,,,,"ther a study was deductive or inductive, providing proof by preregistering can reduce erro- neous perceptions. second, without transparency, researchers’ motivations can be misjudged. some findings may prompt readers to accuse an author of motivated reasoning, which may be unintentional. as feynman (1999, 212) advised scientists, “you must not fool yourself—and you are the easiest person to fool.” for instance, a reader who suspects that a political viewpoint le",,
,,,,"may not accept the ﬁnding—even if it was obtained honestly. preregistration allows researchers to declare measurement and speciﬁcation decisions without reference to outcomes, thereby signaling to readers that ﬁshing is impossible. from a disciplinary perspective, when investigators register their designs, the ability to ﬁsh is eliminated—even if any motivated reasoning is unintended. third, casey, glennerster, and miguel (2012, 1758–9) argue that preregistratio",,
,,,,"d, casey, glennerster, and miguel (2012, 1758–9) argue that preregistration can be useful in policy studies because it ties the researchers’ hands when they “may face professional incentives to affirm the priors of their academic discipline or the agenda of donors and policy makers.” they show how useful preregistration can be in practice by creating a “pre-analysis plan” for an investigation of a randomly assigned governance program in sierra leone. the analysi",,
,,,,"e agenda of donors and policy makers.” they show how useful preregistration can be in practice by creating a “pre-analysis plan” for an investigation of a randomly assigned governance program in sierra leone. the analysis revealed only short-run treatment eﬀects, which is in contrast to a prevailing notion that govern- ance programs can have sustainable eﬀects.with deviations from the pre-analysis plan, the researchers could generate misleading results with eith",,
,,,,"academic pressure for a speciﬁc ﬁnding. counterarguments on preregistration in contrast to this case in favor of study registration, several arguments call for skepticism in making preregistration a new norm in political science. first, anderson (2013) emphasizes that registration is most useful for studies that collect original data; however, in the analysis of historical data, preregistering cannot send as clear a signal. anderson also contends that discouragi",,
,,,,"gistration, several arguments call for skepticism in making preregistration a new norm in political science. first, anderson (2013) emphasizes that registration is most useful for studies that collect original data; however, in the analysis of historical data, preregistering cannot send as clear a signal. anderson also contends that discouraging reports of all observed empirical relationships can be detrimental for scientiﬁc development (kuhn 1962). finally, and",,
,,,,"original data; however, in the analysis of historical data, preregistering cannot send as clear a signal. anderson also contends that discouraging reports of all observed empirical relationships can be detrimental for scientiﬁc development (kuhn 1962). finally, anderson sug- gests replication as an alternative to registration; that is, beyond the quality enforcement that occurs from replication projects, the quality of published articles improves when replicatio",,
