name,type,url,file_id,description,published_at,file_type,file_content_type,size_in_bytes,md5,checksum.type,checksum.value,unf,file_persistent_id,dataset_name,dataset_id,dataset_persistent_id,dataset_citation,dataverse_identifier,file_name,dataset_global_id,i.name,i.published_at
ISappendix_online.pdf,file,https://dataverse.harvard.edu/api/access/datafile/3308645,3308645,This document contains additional details regarding the fieldwork and interview data used in the article.,2018-11-07,Adobe PDF,application/pdf,581638,40e0f3f6cf14936697e9d4b871d0d453,MD5,40e0f3f6cf14936697e9d4b871d0d453,"",doi:10.7910/DVN/QUKFFH/GHZWDM,"appendix for asfandyar mir, what explains counterterrorism effectiveness? evidence from the u.s. drone war in pakistan, international security, vol. 43, no. 2 (fall 2018), pp. 45–83, doi10.1162/isec_a_00331.",3225180,10.7910/DVN/QUKFFH,"Mir, Asfandyar, 2018, """"Appendix for Asfandyar Mir, """"What Explains Counterterrorism Effectiveness? Evidence from the U.S. Drone War in Pakistan,"""" International Security, Vol. 43, No. 2 (Fall 2018), pp. 45–83, doi:10.1162/isec_a_00331."""", https://doi.org/10.7910/DVN/QUKFFH, Harvard Dataverse, V1",isec,,"",International Security Dataverse,2015-04-23T14:48:36Z
IS appendix.pdf,file,https://dataverse.harvard.edu/api/access/datafile/3323012,3323012,Online appendix for the article.,2019-02-19,Adobe PDF,application/pdf,173002,4230f452033d49834e103f8b2455f632,MD5,4230f452033d49834e103f8b2455f632,"",doi:10.7910/DVN/EIASGF/IR3RWL,"appendix and  deborah j. brooks et al., the demographic transition theory of war why young societies are conflict prone and old societies are the most peaceful, international security, vol. 43, no. 3 (winter 2018/19), pp. 53-95, doi.org/10.1162/isec_a_00335.",3315173,10.7910/DVN/EIASGF,"Deborah J. Brooks et al., 2019, """"Appendix and Replication Data for Deborah J. Brooks et al., """"The Demographic Transition Theory of War: Why Young Societies are Conflict Prone and Old Societies Are the Most Peaceful,"""" International Security, Vol. 43, No. 3 (Winter 2018/19), pp. 53-95, doi.org/10.1162/isec_a_00335."""", https://doi.org/10.7910/DVN/EIASGF, Harvard Dataverse, V1",isec,,"",International Security Dataverse,2015-04-23T14:48:36Z
ERG_Codebook_April 2019.pdf,file,https://dataverse.harvard.edu/api/access/datafile/3424954,3424954,"",2019-05-03,Adobe PDF,application/pdf,566583,549531465288a558ba46c91f847d5252,MD5,549531465288a558ba46c91f847d5252,"",doi:10.7910/DVN/70TJHT/7YSOAX,"appendix for eliza gheorghe, proliferation and the logic of the nuclear market, international security, vol. 43, no. 4 (spring 2019), pp. 88-127, doi.org/10.1162/isec_a_00344",3345345,10.7910/DVN/70TJHT,"Gheorghe, Eliza, 2019, """"Appendix for Eliza Gheorghe, """"Proliferation and the Logic of the Nuclear Market,"""" International Security, Vol. 43, No. 4 (Spring 2019), pp. 88-127, doi.org/10.1162/ISEC_a_00344"""", https://doi.org/10.7910/DVN/70TJHT, Harvard Dataverse, V1",isec,,"",International Security Dataverse,2015-04-23T14:48:36Z
Online Appendix - Pivotal States Codebook.pdf,file,https://dataverse.harvard.edu/api/access/datafile/3384137,3384137,Codebook,2019-04-30,Adobe PDF,application/pdf,806176,ee83658a47ba2826c50a0487963ca33c,MD5,ee83658a47ba2826c50a0487963ca33c,"",doi:10.7910/DVN/TDWNO9/8QPV4K,"appendix for marina e. henke, buying allies payment practices in multilateral military coalition-building, international security, vol. 43, no. 4 (spring 2019), pp. 128-162, doi.org/10.1162/isec_a_00345",3358163,10.7910/DVN/TDWNO9,"Henke, Marina, 2019, """"Appendix for Marina E. Henke, """"Buying Allies: Payment Practices in Multilateral Military Coalition-Building,"""" International Security, Vol. 43, No. 4 (Spring 2019), pp. 128-162, doi.org/10.1162/ISEC_a_00345"""", https://doi.org/10.7910/DVN/TDWNO9, Harvard Dataverse, V1",isec,,"",International Security Dataverse,2015-04-23T14:48:36Z
Appendix II_Dataset.pdf,file,https://dataverse.harvard.edu/api/access/datafile/3440027,3440027,"This is appendix II, the dataset that I have created regarding incidents and cases of Chinese coercion in the South China Sea, as noted in Figure 1 of the article.",2019-08-05,Adobe PDF,application/pdf,709677,7d2ac6539271c0b5bcace94b96f7dd86,MD5,7d2ac6539271c0b5bcace94b96f7dd86,"",doi:10.7910/DVN/7HTIQ1/NF1KRK,"appendix for ketian zhang, cautious bully reputation, resolve, and beijing’s use of coercion in the south china sea, international security, vol. 44, no. 1 (summer 2019), pp. 117–159, https//doi.org/10.1162/isec_a_00354.",3393561,10.7910/DVN/7HTIQ1,"Zhang, Ketian, 2019, """"Appendix for Ketian Zhang, """"Cautious Bully: Reputation, Resolve, and Beijing’s Use of Coercion in the South China Sea,"""" International Security, Vol. 44, No. 1 (Summer 2019), pp. 117–159, https://doi.org/10.1162/ISEC_a_00354."""", https://doi.org/10.7910/DVN/7HTIQ1, Harvard Dataverse, V1",isec,,"",International Security Dataverse,2015-04-23T14:48:36Z
Allen_DiGi_Rep.tab,file,https://dataverse.harvard.edu/api/access/datafile/3452988,3452988,"",2019-08-05,Tab-Delimited,text/tab-separated-values,1786663,352f61981ffac7f66739408d87e8ca7e,MD5,352f61981ffac7f66739408d87e8ca7e,UNF:6:MJx3b6bXkhs2rNgkMwMwwQ==,doi:10.7910/DVN/JIJJYE/HSQV5D,"supplementary materials for caleb pomeroy, correspondence measuring power in international relations, international security, vol. 44, no. 1 (summer 2019), pp. 197–200, doi.org/10.1162/isec_c_00355.",3444023,10.7910/DVN/JIJJYE,"Pomeroy, Caleb, 2019, """"Supplementary materials for Caleb Pomeroy, """"Correspondence: Measuring Power in International Relations,"""" International Security, Vol. 44, No. 1 (Summer 2019), pp. 197–200, doi.org/10.1162/ISEC_c_00355."""", https://doi.org/10.7910/DVN/JIJJYE, Harvard Dataverse, V1, UNF:6:5NdMiTlo2NYa66l+9Rg6IQ== [fileUNF]",isec,,"",International Security Dataverse,2015-04-23T14:48:36Z
Mous IS 2019 Do File.do,file,https://dataverse.harvard.edu/api/access/datafile/3452585,3452585,Stata do file,2019-08-05,Stata Syntax,application/x-stata-syntax,5579,9a3c7fbfb77515fcf4a757aa1c154b63,MD5,9a3c7fbfb77515fcf4a757aa1c154b63,"",doi:10.7910/DVN/HS2N6A/TYSDQ1," michael mousseau, the end of war how a robust marketplace and liberal hegemony are leading to perpetual world peace, international security, vol, 44, no. 1 (summer 2019), pp. 160–196, doi.org/10.1162/isec_a_00352.",3452254,10.7910/DVN/HS2N6A,"Mousseau, Michael, 2019, """"Replication Data for Michael Mousseau, """"The End of War: How a Robust Marketplace and Liberal Hegemony Are Leading to Perpetual World Peace,"""" International Security, Vol, 44, No. 1 (Summer 2019), pp. 160–196, doi.org/10.1162/ISEC_a_00352."""", https://doi.org/10.7910/DVN/HS2N6A, Harvard Dataverse, V1, UNF:6:cj/AVPMFrIqd4A9NM5N+Hw== [fileUNF]",isec,,"",International Security Dataverse,2015-04-23T14:48:36Z
Appendices.docx,file,https://dataverse.harvard.edu/api/access/datafile/3625625,3625625,This document contains Appendix 1 Interview Sample; Appendix 2 Interview Methods Table; and Appendix 3 Data on Violence Against Civilians for the 2001 Macedonian Conflict,2020-01-08,MS Word,application/vnd.openxmlformats-officedocument.wordprocessingml.document,54885,e74755d37dce3cd438cb56c18a77edde,MD5,e74755d37dce3cd438cb56c18a77edde,"",doi:10.7910/DVN/CXOB4K/YZMET1,"appendix for jacqueline r. mcallister, on international crimes and punishments lessons from the yugoslav tribunal on deterring wartime atrocities,” international security, vol. 44, no. 3 (winter 2019/20), pp. 84–128, doi.org/10.1162/isec_a_00370",3537144,10.7910/DVN/CXOB4K,"McAllister, Jacqueline R., 2020, """"Appendix for Jacqueline R. McAllister, “Deterring Wartime Atrocities: Hard Lessons from the Yugoslav Tribunal,” International Security, Vol. 44, No. 3 (Winter 2019/20), pp. 84–128, doi.org/10.1162/ISEC_a_00370"""", https://doi.org/10.7910/DVN/CXOB4K, Harvard Dataverse, DRAFT VERSION, UNF:6:/YgNY72OHGKwsA/ErySu1w== [fileUNF]",isec,,"",International Security Dataverse,2015-04-23T14:48:36Z
LivingWithUncertainty_Appendix.pdf,file,https://dataverse.harvard.edu/api/access/datafile/3746271,3746271,"",2020-04-15,Adobe PDF,application/pdf,335282,6abe7e50760de28a3118d2a7f459b6d3,MD5,6abe7e50760de28a3118d2a7f459b6d3,"",doi:10.7910/DVN/5EKNJM/BBNIQY,"wu riqiang, living with uncertainty modeling china’s nuclear survivability,” international security, vol. 44, no. 4 (spring 2020), pp. 84–118",3644467,10.7910/DVN/5EKNJM,"Wu, Riqiang, 2020, """"Wu Riqiang, “Living with Uncertainty: Modeling China’s Nuclear Survivability,” International Security, Vol. 44, No. 4 (Spring 2020), pp. 84–118"""", https://doi.org/10.7910/DVN/5EKNJM, Harvard Dataverse, V1",isec,,"",International Security Dataverse,2015-04-23T14:48:36Z
Replication code.do,file,https://dataverse.harvard.edu/api/access/datafile/2695775,2695775,"",2016-06-30,Stata Syntax,application/x-stata-syntax,31365,7c722aa2a1e94d5a7f56debd880df48a,MD5,7c722aa2a1e94d5a7f56debd880df48a,"",doi:10.7910/DVN/93NQHC/WGK1SN, talking it out building democratic citizens in unequal democracies,2695774,10.7910/DVN/93NQHC,"Smith, Amy Erica, 2016, """"Replication Data for: Talking it Out: Building Democratic Citizens in Unequal Democracies"""", https://doi.org/10.7910/DVN/93NQHC, Harvard Dataverse, V1, UNF:6:BqpqyOh+sgVMX0tKr8g3QQ== [fileUNF]",BJPolS,,"",British Journal of Political Science Dataverse,2015-03-04T14:26:08Z
Bhavnani BJPS mal rep analysis main.do,file,https://dataverse.harvard.edu/api/access/datafile/2698509,2698509,"",2015-11-26,Stata Syntax,application/x-stata-syntax,4338,d95dcaae7aee908b9ace025e6d09a6bb,MD5,d95dcaae7aee908b9ace025e6d09a6bb,"",doi:10.7910/DVN/MD64FN/IJ7X7R,"replication data, code and online appendix for the effects of malapportionment on cabinet inclusion subnational evidence from india",2696705,10.7910/DVN/MD64FN,"Bhavnani, Rikhil, 2015, """"Replication data, code and online appendix for """"The Effects of Malapportionment on Cabinet Inclusion: Subnational Evidence from India"""""""", https://doi.org/10.7910/DVN/MD64FN, Harvard Dataverse, V1, UNF:6:cah/eZxyLzhDFo0sSyLG7w== [fileUNF]",BJPolS,,"",British Journal of Political Science Dataverse,2015-03-04T14:26:08Z
00_run_all.do,file,https://dataverse.harvard.edu/api/access/datafile/2788179,2788179,"",2016-06-30,Stata Syntax,application/x-stata-syntax,838,7d066ba20b97f5212628fa0964a935b2,MD5,7d066ba20b97f5212628fa0964a935b2,"",doi:10.7910/DVN/DR9RZY/JRSI5N,"replication code for height, income and voting",2788176,10.7910/DVN/DR9RZY,"Watson, Sara, 2016, """"Replication Code for """"Height, Income and Voting"""""""", https://doi.org/10.7910/DVN/DR9RZY, Harvard Dataverse, V1",BJPolS,,"",British Journal of Political Science Dataverse,2015-03-04T14:26:08Z
BJPS Mood data_to be deposited.xlsx,file,https://dataverse.harvard.edu/api/access/datafile/2965482,2965482,"",2019-02-05,MS Excel Spreadsheet,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,72239,647cf143bbaafa0ccabce25714dc462f,MD5,647cf143bbaafa0ccabce25714dc462f,"",doi:10.7910/DVN/V42M9J/VAWOTV,"european mood bi-annual data, eu27 member states (1973-2014), replication data",2965481,10.7910/DVN/V42M9J,"Guinaudeau, Isabelle; Schnatterer, Tinette, 2019, """"""""European mood"""" bi-annual data, EU27 member states (1973-2014), Replication Data"""", https://doi.org/10.7910/DVN/V42M9J, Harvard Dataverse, V1",BJPolS,,"",British Journal of Political Science Dataverse,2015-03-04T14:26:08Z
PIWP_DataSet_2015 (1).csv,file,https://dataverse.harvard.edu/api/access/datafile/3000847,3000847,"",2017-05-12,Comma Separated Values,text/csv,893977,43ce4be5c133e2728f8d653addb05f99,MD5,43ce4be5c133e2728f8d653addb05f99,"",doi:10.7910/DVN/R3DJI6/OBIPLE,peace island and west point survey 2015,3000845,10.7910/DVN/R3DJI6,"Karim, Sabrina, 2017, """"Peace Island and West Point Survey 2015"""", https://doi.org/10.7910/DVN/R3DJI6, Harvard Dataverse, V1",BJPolS,,"",British Journal of Political Science Dataverse,2015-03-04T14:26:08Z
1992-1994-1996 ANES Panel Data.dta,file,https://dataverse.harvard.edu/api/access/datafile/3054992,3054992,"This Stata dataset is the 1992-1997 ANES Merged File containing panel data collected in 1992, 1994 and 1996 that are used to analyze the potentially endogenous relationship between core values and partisanship.  The variables in this dataset are analyzed to produce Figure SI7.",2017-10-10,Stata Binary,application/x-stata,25884322,42b389d140c2a5442d6f61256c687340,MD5,42b389d140c2a5442d6f61256c687340,"",doi:10.7910/DVN/D5CQA7/XGXGWM," lupton, robert n., steven m. smallpage, and adam m. enders. forthcoming. values and predispositions in the age of polarization examining the relationship between ideology and partisanship in the u.s., 1988-2012. british journal of political science.",3054982,10.7910/DVN/D5CQA7,"Lupton, Robert, 2017, """"Replication Data for: Lupton, Robert N., Steven M. Smallpage, and Adam M. Enders. Forthcoming. """"Values and Predispositions in the Age of Polarization: Examining the Relationship between Ideology and Partisanship in the U.S., 1988-2012."""" British Journal of Political Science."""", https://doi.org/10.7910/DVN/D5CQA7, Harvard Dataverse, V1, UNF:6:7q/q3XJ77nGX2Ni5lWMViw== [fileUNF]",BJPolS,,"",British Journal of Political Science Dataverse,2015-03-04T14:26:08Z
ReplicationCode_Analysis.R,file,https://dataverse.harvard.edu/api/access/datafile/3478517,3478517,"",2019-11-11,R Syntax,type/x-r-syntax,47323,4783fe4a767cb56eabd980c3cf318c82,MD5,4783fe4a767cb56eabd980c3cf318c82,"",doi:10.7910/DVN/OVLKN9/XARFOQ," cohen, g. and cohen, s. (2019) 'depolarization, repolarization and redistributive ideological change in britain, 1983-2016'",3478514,10.7910/DVN/OVLKN9,"Cohen, Gidon; Cohen, Sarah, 2019, """"Replication Data for: Cohen, G. and Cohen, S. (2019) 'Depolarization, Repolarization and Redistributive Ideological Change in Britain, 1983-2016'"""", https://doi.org/10.7910/DVN/OVLKN9, Harvard Dataverse, V1",BJPolS,,"",British Journal of Political Science Dataverse,2015-03-04T14:26:08Z
AggregateNatInc.Rdata,file,https://dataverse.harvard.edu/api/access/datafile/3549391,3549391,"",2020-02-17,Gzip Archive,application/gzip,115058,6788ba9c32f17c18aef2386478ae473e,MD5,6788ba9c32f17c18aef2386478ae473e,"",doi:10.7910/DVN/C4QGBT/GTPCUV,"trussler m (2019) replication data sets for, get information or get in formation the effects of high information environments on legislative elections",3542518,10.7910/DVN/C4QGBT,"Trussler, Marc, 2020, """"Trussler M (2019) Replication Data sets for, Get Information or Get in Formation: The Effects of High Information Environments on Legislative Elections"""", https://doi.org/10.7910/DVN/C4QGBT, Harvard Dataverse, DRAFT VERSION, UNF:6:jI4T5ntjmSSow6pC53B5Eg== [fileUNF]",BJPolS,,"",British Journal of Political Science Dataverse,2015-03-04T14:26:08Z
Codebook-primaries-electoral-effects.pdf,file,https://dataverse.harvard.edu/api/access/datafile/3582186,3582186,Codebook,2020-02-17,Adobe PDF,application/pdf,187565,fa23359718ca86d63482088595319e50,MD5,fa23359718ca86d63482088595319e50,"",doi:10.7910/DVN/0UX9AN/ZBP1Q8, primaries throught the looking glass the electoral effects of opening the selection of top candidates,3582184,10.7910/DVN/0UX9AN,"astudillo, javier, 2020, """"Replication Data for: Primaries Throught the Looking Glass: the electoral effects of opening the selection of top candidates"""", https://doi.org/10.7910/DVN/0UX9AN, Harvard Dataverse, V1, UNF:6:ErUHvX4QaASKF4056Mu34A== [fileUNF]",BJPolS,,"",British Journal of Political Science Dataverse,2015-03-04T14:26:08Z
00_README-1,file,https://dataverse.harvard.edu/api/access/datafile/3593180,3593180,"",2020-04-28,Plain Text,text/plain; charset=US-ASCII,2957,211afa25d46733d569f0778dedbf323b,MD5,211afa25d46733d569f0778dedbf323b,"",doi:10.7910/DVN/4SRS4X/QUJKM6, the two faces of party ambiguity a comprehensive model of ambiguous party perceptions,3593174,10.7910/DVN/4SRS4X,"Stoetzer, Lukas F.; Nyhuis, Dominic, 2020, """"Replication Data for: The two faces of party ambiguity: A comprehensive model of ambiguous party perceptions"""", https://doi.org/10.7910/DVN/4SRS4X, Harvard Dataverse, V1, UNF:6:xUPR5ZZz4OBbmoM+2/kE7w== [fileUNF]",BJPolS,,"",British Journal of Political Science Dataverse,2015-03-04T14:26:08Z
Final 1990s ANES panel data.tab,file,https://dataverse.harvard.edu/api/access/datafile/3595551,3595551,"",2020-02-21,Tab-Delimited,text/tab-separated-values,438637,a7e057eab65ca84b67950647af7078a7,MD5,a7e057eab65ca84b67950647af7078a7,UNF:6:DI7zWgBsAq/dhZGr1bUNUQ==,doi:10.7910/DVN/YOABB5/GKBBSP, political trust and support for immigration in the american mass public,3595545,10.7910/DVN/YOABB5,"Macdonald, David, 2020, """"Replication Data for: Political Trust and Support for Immigration in the American Mass Public"""", https://doi.org/10.7910/DVN/YOABB5, Harvard Dataverse, DRAFT VERSION, UNF:6:QPGxwSMACktM0QYMz7bGHw== [fileUNF]",BJPolS,,"",British Journal of Political Science Dataverse,2015-03-04T14:26:08Z
access_data_2018.tab,file,https://dataverse.harvard.edu/api/access/datafile/3603781,3603781,"",2020-02-17,Tab-Delimited,text/tab-separated-values,298520,0747927612af4da0286bc95259cd8ca8,MD5,0747927612af4da0286bc95259cd8ca8,UNF:6:0AOL+C3d8wxjx/kb5k1zOQ==,doi:10.7910/DVN/0A1AM3/VIB6GH, correcting bias in perceptions of public opinion among american elected officials results from two field experiments,3598178,10.7910/DVN/0A1AM3,"Kalla, Joshua; Porter, Ethan, 2020, """"Replication Data for: Correcting Bias in Perceptions of Public Opinion Among American Elected Officials: Results from Two Field Experiments"""", https://doi.org/10.7910/DVN/0A1AM3, Harvard Dataverse, V1, UNF:6:W8vf8R+Y0WH9O1IAqv5x1g== [fileUNF]",BJPolS,,"",British Journal of Political Science Dataverse,2015-03-04T14:26:08Z
CreatePanel.do,file,https://dataverse.harvard.edu/api/access/datafile/3622442,3622442,"",2020-02-17,Stata Syntax,application/x-stata-syntax,8000,ad224b635f5209f207dca074371e348c,MD5,ad224b635f5209f207dca074371e348c,"",doi:10.7910/DVN/AX0ADR/9NHTYR, electoral reform and strategic coordination,3622410,10.7910/DVN/AX0ADR,"Fiva, Jon H.; Hix, Simon, 2020, """"Replication Data for Electoral Reform and Strategic Coordination"""", https://doi.org/10.7910/DVN/AX0ADR, Harvard Dataverse, V1, UNF:6:vUk7p8r629kRrOcXa0fhcQ== [fileUNF]",BJPolS,,"",British Journal of Political Science Dataverse,2015-03-04T14:26:08Z
data.wvs.full.tab,file,https://dataverse.harvard.edu/api/access/datafile/3624698,3624698,WVS aggregated data,2020-03-02,Tab-Delimited,text/tab-separated-values,39582,d2ce2d8c69831897b08abea41d15fabf,MD5,d2ce2d8c69831897b08abea41d15fabf,UNF:6:XAOd/P3VeY7GCcRL5ZJ2Ow==,doi:10.7910/DVN/OSSY4B/KI3YLK, in search of self-censorship,3624695,10.7910/DVN/OSSY4B,"Rory Truex, 2020, """"Replication Data for: In Search of Self-censorship"""", https://doi.org/10.7910/DVN/OSSY4B, Harvard Dataverse, V1, UNF:6:ApR1fvjSToq9gXi7QsmUpA== [fileUNF]",BJPolS,,"",British Journal of Political Science Dataverse,2015-03-04T14:26:08Z
01-create_data.R,file,https://dataverse.harvard.edu/api/access/datafile/3630307,3630307,"",2020-02-21,R Syntax,type/x-r-syntax,10269,3178255ef7d45385ab371afdad441232,MD5,3178255ef7d45385ab371afdad441232,"",doi:10.7910/DVN/JZZWER/LUOLRI, dynamic political interest how personality differences and the political environment shape political interest,3630306,10.7910/DVN/JZZWER,"Larsen, Erik Gahner, 2020, """"Replication Data for: Dynamic political interest: How personality differences and the political environment shape political interest"""", https://doi.org/10.7910/DVN/JZZWER, Harvard Dataverse, V1, UNF:6:ZRtl2vuJYJc7avrq7IENqg== [fileUNF]",BJPolS,,"",British Journal of Political Science Dataverse,2015-03-04T14:26:08Z
Codebook_experiments.pdf,file,https://dataverse.harvard.edu/api/access/datafile/3630637,3630637,Codebook for main study and follow-up studies 1 and 2,2020-04-28,Adobe PDF,application/pdf,82128,d5860ef727489d946d922b2e4b4ef91a,MD5,d5860ef727489d946d922b2e4b4ef91a,"",doi:10.7910/DVN/YFFNSX/OOUVTQ, dimensions of elite partisan polarization disentangling the effects of incivility and issue polarization,3630627,10.7910/DVN/YFFNSX,"Skytte, Rasmus, 2020, """"Replication Data for: Dimensions of Elite Partisan Polarization: Disentangling the Effects of Incivility and Issue Polarization"""", https://doi.org/10.7910/DVN/YFFNSX, Harvard Dataverse, V1, UNF:6:9C5W2YkCdemFsyx/5EYT2Q== [fileUNF]",BJPolS,,"",British Journal of Political Science Dataverse,2015-03-04T14:26:08Z
cnef_1970-2014_data.txt,file,https://dataverse.harvard.edu/api/access/datafile/3649001,3649001,"",2020-05-27,Plain Text,text/plain,69592,ad4dbc42edd08fc5c3de194980bffcee,MD5,ad4dbc42edd08fc5c3de194980bffcee,"",doi:10.7910/DVN/NZTGVE/K8XHJD, ‘reducing risk as well as inequality assessing the welfare state’s insurance effects’,3648609,10.7910/DVN/NZTGVE,"Hacker, Jacob S.; Rehm, Philipp, 2020, """"Replication Data for ‘Reducing Risk as Well as Inequality: Assessing the Welfare State’s Insurance Effects’"""", https://doi.org/10.7910/DVN/NZTGVE, Harvard Dataverse, V1, UNF:6:sM1iJeFFzhLKdqxRy5vIkQ== [fileUNF]",BJPolS,,"",British Journal of Political Science Dataverse,2015-03-04T14:26:08Z
ESS-merged-BJPS.R,file,https://dataverse.harvard.edu/api/access/datafile/3649671,3649671,"",2020-06-10,R Syntax,type/x-r-syntax,27715,ccbae67174ef9b6dcaea0554de7d1149,MD5,ccbae67174ef9b6dcaea0554de7d1149,"",doi:10.7910/DVN/INUMDT/20FVAL,"replication file for economic inequality, immigrants, and selective solidarity from perceived lack of opportunity to ingroup favoritism",3649670,10.7910/DVN/INUMDT,"Magni, Gabriele, 2020, """"Replication file for: Economic Inequality, Immigrants, and Selective Solidarity: From Perceived Lack of Opportunity to Ingroup Favoritism"""", https://doi.org/10.7910/DVN/INUMDT, Harvard Dataverse, V1, UNF:6:WMrZwvew2rL8GWIz8DorPw== [fileUNF]",BJPolS,,"",British Journal of Political Science Dataverse,2015-03-04T14:26:08Z
Andersen and Doucette replication data 10 year panel.tab,file,https://dataverse.harvard.edu/api/access/datafile/3660329,3660329,10 year panel dataset,2020-04-28,Tab-Delimited,text/tab-separated-values,156230,a4f0e4d7858fef3660189d35f155a9ce,MD5,a4f0e4d7858fef3660189d35f155a9ce,UNF:6:AmMp96SUJTdG+PVQO+J4OQ==,doi:10.7910/DVN/O7R8FT/NPHJBK, state first? a disaggregation and empirical interrogation,3660327,10.7910/DVN/O7R8FT,"Doucette, Jonathan; Andersen, David, 2020, """"Replication Data for: State First? A Disaggregation and Empirical Interrogation"""", https://doi.org/10.7910/DVN/O7R8FT, Harvard Dataverse, V1, UNF:6:yTxQGOA/u3iqb1RcsJWntA== [fileUNF]",BJPolS,,"",British Journal of Political Science Dataverse,2015-03-04T14:26:08Z
Empirical Applications.zip,file,https://dataverse.harvard.edu/api/access/datafile/3666718,3666718,"",2020-05-27,ZIP Archive,application/zip,313075,6d9691ab91cf394c788c19897670b09c,MD5,6d9691ab91cf394c788c19897670b09c,"",doi:10.7910/DVN/OLMVP5/B1EZYF, addressing monotone likelihood in duration modeling of political events,3666206,10.7910/DVN/OLMVP5,"Anderson, Noel; Bagozzi, Benjamin; Koren, Ore, 2020, """"Replication Data for: Addressing Monotone Likelihood in Duration Modeling of Political Events"""", https://doi.org/10.7910/DVN/OLMVP5, Harvard Dataverse, V1",BJPolS,,"",British Journal of Political Science Dataverse,2015-03-04T14:26:08Z
2016MSFMmap.csv,file,https://dataverse.harvard.edu/api/access/datafile/3675435,3675435,"",2020-06-10,Tab-Delimited,text/tab-separated-values,6071,170a9cb3b4ad2026f85d4769aac9949a,MD5,170a9cb3b4ad2026f85d4769aac9949a,UNF:6:GuLV00eHKLw/2UOzJ/xHoA==,doi:10.7910/DVN/ENOEQS/DMZ1GD, measuring media freedom an item response theory analysis of existing indicators,3674875,10.7910/DVN/ENOEQS,"Solis, Jonathan A.; Philip D. Waggoner, 2020, """"Replication Data for: Measuring Media Freedom: An Item Response Theory Analysis of Existing Indicators"""", https://doi.org/10.7910/DVN/ENOEQS, Harvard Dataverse, V2, UNF:6:WzyMuN1CB0555+S4J+2zCQ== [fileUNF]",BJPolS,,"",British Journal of Political Science Dataverse,2015-03-04T14:26:08Z
BJPS_replication_data.tab,file,https://dataverse.harvard.edu/api/access/datafile/3675105,3675105,"",2020-02-17,Tab-Delimited,text/tab-separated-values,577109,ad30981736ae76fbf4ad14caf9094e0e,MD5,ad30981736ae76fbf4ad14caf9094e0e,UNF:6:8zZh53a4VxAg1dybJ3PnIw==,doi:10.7910/DVN/BB6IFG/XSD2ZB, public awareness and the behavior of unpopular courts,3675041,10.7910/DVN/BB6IFG,"Krehbiel, Jay, 2020, """"Replication Data for: Public Awareness and the Behavior of Unpopular Courts"""", https://doi.org/10.7910/DVN/BB6IFG, Harvard Dataverse, V1, UNF:6:Rk2kFVKvhhw/lVXPVbWMug== [fileUNF]",BJPolS,,"",British Journal of Political Science Dataverse,2015-03-04T14:26:08Z
01_MASTER.R,file,https://dataverse.harvard.edu/api/access/datafile/3679206,3679206,main R script that calls multiple other sub-scripts,2020-07-07,R Syntax,type/x-r-syntax,25831,8548a332c929a73187b401b2748eedde,MD5,8548a332c929a73187b401b2748eedde,"",doi:10.7910/DVN/Y5Y6VD/4RTOSC, 'have europeans grown tired of democracy?',3679114,10.7910/DVN/Y5Y6VD,"Alexander Wuttke; Gavras; Harald Schoen, 2020, """"Replication Data for: 'Have Europeans Grown Tired of Democracy?'"""", https://doi.org/10.7910/DVN/Y5Y6VD, Harvard Dataverse, V1, UNF:6:TcZ3LdDA6xWeUXeerhH98g== [fileUNF]",BJPolS,,"",British Journal of Political Science Dataverse,2015-03-04T14:26:08Z
bbc-analysis-cleaning.R,file,https://dataverse.harvard.edu/api/access/datafile/3724350,3724350,an R script used to clean the raw BBC dataset,2020-05-27,R Syntax,type/x-r-syntax,5274,64d81ca969125e4a97ce271cb1df6c6e,MD5,64d81ca969125e4a97ce271cb1df6c6e,"",doi:10.7910/DVN/35M5CV/NNX5X2, divided by the vote affective polarization in the wake of the brexit referendum,3724324,10.7910/DVN/35M5CV,"Hobolt, Sara B; Leeper, Thomas J.; Tilley, James, 2020, """"Replication Data for: Divided by the Vote: Affective polarization in the Wake of the Brexit Referendum"""", https://doi.org/10.7910/DVN/35M5CV, Harvard Dataverse, V1, UNF:6:IHBClTpTg9hrehAjmdVYdg== [fileUNF]",BJPolS,,"",British Journal of Political Science Dataverse,2015-03-04T14:26:08Z
BJPOLS - Basic Values and Candidate Emergence - R script file.R,file,https://dataverse.harvard.edu/api/access/datafile/3724651,3724651,"",2020-04-14,R Syntax,type/x-r-syntax,47260,76889627775451f2ec7cf07c8a3361a8,MD5,76889627775451f2ec7cf07c8a3361a8,"",doi:10.7910/DVN/CMKMGF/Y9ZH9E, 'who wants to be a politician? basic human values and candidate emergence in the united kingdom.',3724550,10.7910/DVN/CMKMGF,"Weinberg, James, 2020, """"Replication Data for: 'Who Wants to be a Politician? Basic Human Values and Candidate Emergence in the United Kingdom.'"""", https://doi.org/10.7910/DVN/CMKMGF, Harvard Dataverse, V1, UNF:6:uGxiizsobq0CNXhlKeJkOA== [fileUNF]",BJPolS,,"",British Journal of Political Science Dataverse,2015-03-04T14:26:08Z
