file_in	title	journal	data_count	stat_count	data_bool	stat_bool
10.1016_j.marpol.2020.104213	He waka eke noa/we are all in the same boat a framework for co-governance from aotearoa new zealand	Marine Policy	10	3		
10.1007_s11127-016-0356-1	Seniority, political experience, and support for government spending in the us house a culture of spending	Public Choice	95	596		1
10.1017_s1537592710001416	Advancing democracy abroad why we should and how we can. By michael mcfaul. Lanham, md rowman & littlefield, 2009. 304p. $27.95.	Perspectives on Politics	0	0		
10.1111_j.1541-0072.2011.00433.x	The tortoise or the hare Incrementalism, punctuations, and their consequences	Policy Studies Journal	34	102		1
10.1177_0738894214544613	Youth bulge and civil war why a country's share of young adults explains only non-ethnic wars	Conflict Management and Peace Science	76	449		1
10.1080_13600826.2017.1322939	Global cities, international relations and the fabrication of the world	Global Society	8	6		
10.1016_j.electstud.2014.01.007	From political conflict to partisan evaluations how citizens assess party ideology and competence in polarized elections	Electoral Studies	47	215		1
10.1017_s1537592719002007	Response to lisa herzog's review of political institutions and practical wisdom between rules and practice	Perspectives on Politics	2	3		
10.1017_s1474745615000038	Antidumping and strategic industrial policy tit-for-tat trade remedies and thechina�x-ray equipmentdispute	World Trade Review	28	24	1	
10.1093_irap_lcw017	Informal hierarchy in asia the origins of the u.s.�japan alliance	International Relations of the Asia-Pacific	2	2		
10.1016_j.marpol.2019.103530	Quantifying and mitigating three major vessel waste streams in the northern bering sea	Marine Policy	37	3	1	
10.1093_hrlr_ngs032	Sentencing children who kill one giant leap for the us supreme court, one small step for international human rights law	Human Rights Law Review	0	3		
10.1080_09592296.2014.873613	International sport and diplomacy's public dimension governments, sporting federations and the global audience	Diplomacy & Statecraft	0	3		
10.1093_ejil_chr037	Nancy a. Combs. Fact-finding without facts. The uncertain evidentiary foundations of international criminal convictions	European Journal of International Law	0	0		
10.1111_isqu.12132	From advocacy to confrontation direct enforcement by environmental ngos	International Studies Quarterly	4	3		
10.1093_ijtj_ijs025	Massacre, trial and 'choral memory' in sant'anna di stazzema, italy (1944-2005)	International Journal of Transitional Justice	1	4		
10.1086_696620	Social signals and participation in the tunisian revolution	The Journal of Politics	37	234		1
10.1080_01402382.2018.1510199	The Behavioral Immune System Shapes Political Intuitions: Why and How Individual Differences in Disgust Sensitivity Underlie Opposition to Immigration		37	129		1
10.1111_1758-5899.12743	Imf -world bank cooperation before and after the global financial crisis	Global Policy	0	9		
10.1086_696862	Measuring morality in political attitude expression	The Journal of Politics	23	16		1
10.1017_lap.2019.17	Isaias rojas-p�rez, mourning remains state atrocity, exhumations, and governing the disappeared in peru's postwar andes. Stanford stanford university press, 2017. Photographs, map, bibliography, index, 344 pp.; hardcover $90, paperback $29.95, ebook.	Latin American Politics and Society	0	0		
10.1017_s1049096512000224	Books by our readers	PS: Political Science & Politics	0	0		
10.1002_polq.12085	On global justice by mathiasrisse. Princeton, nj, princeton university press, 2012. 480 pp. $39.95.	Political Science Quarterly	0	0		
10.1016_j.electstud.2015.02.005	How minorities fare under referendums a cross-national study	Electoral Studies	67	103		1
10.1017_lap.2018.70	Ana l. Mallen and mar�a pilar garc�a-guadilla, venezuela's polarized politics the paradox of direct democracy under ch�vez. Boulder lynne rienner, 2017. Bibliography, index, 170 pp.; hardcover $75, ebook $75.	Latin American Politics and Society	0	0		
10.1016_j.marpol.2021.104593	Gender equality for sustainability in ports developing a framework	Marine Policy	29	6	1	
10.1093_ijtj_ijz005	Like dust before the wind, or, the winds of change The influence of international criminal tribunals on narratives and media frames	International Journal of Transitional Justice	3	52		
10.1017_s0003055420000490	Who governs A new global dataset on members of cabinets	American Political Science Review	62	22		1
10.1177_0002716219862524	Asymmetric partisan polarization, labor policy, and cross-state political power-building	The ANNALS of the American Academy of Political and Social Science	3	0	1	
10.1177_0010414015621072	Banners, barricades, and bombs	Comparative Political Studies	63	62		1
10.1080_14747731.2015.1111656	Liberalism(s) and the critical securitization of development debate	Globalizations	0	0		
10.1093_poq_nfr035	Sample size for cognitive interview pretesting	Public Opinion Quarterly	69	157		1
10.1080_00396338.2019.1568060	Brief notices	Survival	1	0		
10.1093_chinesejil_jmq018	Maritime delimitation in the jurisprudence of the international court of justice	Chinese Journal of International Law	3	5		
10.1111_1758-5899.12084	Identity and war	Global Policy	0	4		
10.1111_jcms.12329	Towards a practice turn in eu studies the everyday of european integration	JCMS: Journal of Common Market Studies	2	2		
10.1016_j.marpol.2018.04.030	Domestic sources of international fisheries diplomacy a framework for analysis	Marine Policy	3	3		
10.1093_jopart_mut012	Methodological innovations in public administration a symposium	Journal of Public Administration Research and Theory	1	1		
10.1177_0967010614539719	Security and the incalculable	Security Dialogue	12	38		
10.1093_fpa_orv001	Editor's introduction	Foreign Policy Analysis	0	0		
10.1093_afraf_adr050	Ousmane sembene the making of a militant artist	African Affairs	0	0		
10.1177_1940161213485990	Media choice and informed democracy	The International Journal of Press/Politics	48	29		1
10.1017_s1755773909990257	Policy feedback, generational replacement, and attitudes to state intervention eastern and western germany, 1990�2006	European Political Science Review	26	27		1
10.1080_09557571.2016.1230588	Re-reading weber, re-conceptualizing state-building from neo-weberian to post-weberian approaches to state, legitimacy and state-building	Cambridge Review of International Affairs	64	6		
10.1111_1467-9248.12185	A biopolitics of immaterial labor	Political Studies	2	1		
10.1111_lsq.12016	Do term limits restrain state fiscal policy Approaches for causal inference in assessing the effects of legislative institutions	Legislative Studies Quarterly	68	226		1
10.1017_s1474745610000388	World trade report 2009 trade policy commitments and contingent protectionworld trade organizationgeneva, switzerland wto publications, 2009	World Trade Review	6	0		
10.1162_jcws_r_00121			1	5		
10.1017_s1537592717000378	A discussion of p�ter krasztev and jon van til's the hungarian patient social opposition to an illiberal democracy	Perspectives on Politics	2	2		
10.1017_s1049096512001138	2012 apsa awards	PS: Political Science & Politics	2	2		
10.1017_s0892679414000355	Contributors	Ethics & International Affairs	0	0		
10.1111_j.1475-6765.2010.01916.x	From doves to hawks a spatial analysis of voting in the monetary policy committee of the bank of england	European Journal of Political Research	77	66		1
10.1080_13439006.2015.1038889	Development of the mekong region as part of japan's diplomatic strategy for east asia	Asia-Pacific Review	1	0		
10.1111_pafo.12116	Asymmetric inter-korean negotiations on forest carbon offset projects feasibility, stakes, and referential variables	Pacific Focus	30	59		
10.1111_ropr.2019.36.issue-1		Review of Policy Research	0	0		
10.1057_ap.2013.23	Between 'containment' and 'transnationalization' � where next for the europarties	Acta Politica	2	0		
10.1162_jcws_r_00481			0	0		
10.1057_ip.2016.8	Machiavelli reloaded perceptions and misperceptions of the 'prince of realism'	International Politics	0	4		
10.1007_s11127-011-9782-2	Rebecca b. Morton, kenneth c. Williams experimental political science and the study of causality from nature to the lab	Public Choice	2	1		
10.1146_annurev-polisci-061413-041905	Measuring policy positions in political space	Annual Review of Political Science	21	27		1
10.1057_s41295-019-00180-7	Affirming europe with trade deal negotiations and the making of a political identity	Comparative European Politics	14	4		
10.1016_j.electstud.2020.102268	Norms and rage gender and social media in the 2018 u.s. mid-term elections	Electoral Studies	151	57		1
10.1007_s10784-020-09511-6	Reciprocity in practice the hydropolitics of equitable and reasonable utilization in the lancang-mekong basin	International Environmental Agreements: Politics, Law and Economics	9	3		
10.1002_polq.12447	Intimate rivals japanese domestic politics and a rising china by sheila a.smith. New york, columbia university press, 2015. 384 pp. Cloth, $40.00; paper, $28.00.	Political Science Quarterly	0	0		
10.1080_09668136.2014.926717	List of contributors to special section	Europe-Asia Studies	0	0		
10.1111_j.1541-1338.2011.00556_3.x			0	0		
10.1016_j.postcomstud.2014.04.006	Economic sanctions and the rhetorical responses of totalitarian regimes examining north korean rhetorical strategies, 1949�2010	Communist and Post-Communist Studies	44	135		1
10.1093_ejil_chv047	Lauri ma lksoo. Russian approaches to international law	European Journal of International Law	0	0		
10.1017_s1049096514000912	Books by our readers	PS: Political Science & Politics	0	0		
10.1017_gov.2018.14	Putting politics in the lab a review of lab experiments in political science	Government and Opposition	32	19	1	
10.1007_s10290-019-00361-2	Does foreign capital really matter for the host country agricultural production Evidence from developing countries	Review of World Economics	137	116		1
10.1080_13523260.2017.1312075	India-pakistan nuclear diplomacy constructivism and the prospects for nuclear arms control and disarmament in south asia	Contemporary Security Policy	2	1		
10.1111_isqu.12123	Response	International Studies Quarterly	0	0		
10.1017_s0003055413000348	Psr volume 107 issue 4 cover and back matter	American Political Science Review	0	1		
10.1016_j.marpol.2016.06.006	Local ecological knowledge concurs with fishing statistics an example from the abalone fishery in baja california, mexico	Marine Policy	46	4		1
10.1111_j.1976-5118.2011.01057.x	Implementing a korea-japan nuclear-weapon-free zone precedents, legal forms, governance, scope, domain, verification, compliance and regional benefits	Pacific Focus	0	5		
10.1017_s1049096520000815	Are we there yet Perceptions of racial progress among racial minorities	PS: Political Science & Politics	32	2		1
10.1057_ip.2010.9	European and asian monetary issues	International Politics	0	3	1	
10.1177_0020702017712672	Generations the sources of our ideas about canadian foreign policy	International Journal: Canada's Journal of Global Policy Analysis	0	2		
10.1007_s10308-015-0444-8	Learning geoeconomics china's experimental financial and monetary initiatives	Asia Europe Journal	6	4	1	
10.1093_ijpor_edt011	Income inequality, international migration, and national pride a test of social identification theory	International Journal of Public Opinion Research	68	354		1
10.1177_0738894213520369	Migrant remittances and the onset of civil war	Conflict Management and Peace Science	124	100		1
10.1080_01402382.2011.523542	Politicising council decision-making the effect of european parliament empowerment	West European Politics	101	87		1
10.1007_s11127-019-00747-8	Extra votes to signal loyalty regional political cycles and national elections in russia	Public Choice	107	372		1
10.1057_s41311-017-0115-z	Iraq a liberal war after all a critique of dan deudney and john ikenberry	International Politics	0	0		
10.1017_s153759272000225x	Response to inken von borzyskowski's review of rules and allies foreign election interventions	Perspectives on Politics	19	4		
10.1016_j.marpol.2018.11.016	Evaluating bioeconomic tradeoffs of fishing reserves via spatial optimization	Marine Policy	48	15		1
10.1007_s11127-019-00707-2	Two bandits or more The case of viking age england	Public Choice	9	2		
10.1080_09668136.2016.1202537	Lushchii drug nemetskogo naroda kul't stalina v vostochnoi germanii (1945�1961 gg.)	Europe-Asia Studies	2	1		
10.1016_j.marpol.2020.103987	Stakeholder-defined scientific needs for coastal resilience decisions in the northeast u.s.	Marine Policy	25	3	1	
10.1111_psr.2014.12.issue-2		Political Studies Review	0	1		
10.1016_j.electstud.2016.05.004	Portuguese 2015 legislative elections how economic voting, the median voter and unemployment led to 'the times they are a'changin'	Electoral Studies	15	2	1	
10.1016_j.ejpoleco.2014.01.006	Democracy, inequality and the environment when citizens can mitigate health consequences of pollution privately or act collectively	European Journal of Political Economy	27	90		
10.1017_s1537592717002110	Criminal politics an integrated approach to the study of organized crime, politics, and violence	Perspectives on Politics	15	3	1	
10.1080_00963402.2018.1507787	North korean verification good enough for government work	Bulletin of the Atomic Scientists	3	2		
10.1017_s1537592718001159	Wartime sexual violence from silence to condemnation of a weapon of war. By kerry f. Crawford. Washington, dc georgetown university press, 2017. 224p. $89.95 cloth, $29.95 paper.	Perspectives on Politics	2	0		
10.1111_j.1468-5965.2011.02234.x	European integration and its limits, intergovernmental conflicts and their domestic origins - by d. Finke	JCMS: Journal of Common Market Studies	1	0		
10.1080_00396338.2020.1851098	Digital coloniser China and artificial intelligence in africa	Survival	24	3		
10.1093_isq_sqw001	A conditional defense of the dyadic approach table 1.	International Studies Quarterly	22	11		
10.1177_1065912918755972	Blaming women or blaming the system Public perceptions of women's underrepresentation in elected office	Political Research Quarterly	60	123		
10.1017_s0143814x19000229	Corporate governance and democratic accountability local state-owned enterprises in norway	Journal of Public Policy	62	49		1
10.1111_j.1475-6765.2011.02042.x	Spain	European Journal of Political Research	0	0		
10.1017_s0002930000002049	Rethinking sovereign debt politics, reputation, and legitimacy in modern finance. By odette lienau. Cambridge ma, london harvard university press, 2014. Pp. 344. Index. $49.95, �36.95, �45.	American Journal of International Law	1	2		
10.1080_09546553.2019.1574131	More east than west the world council of churches at the dawn of the cold war	Terrorism and Political Violence	2	3		
10.1177_0002716213503107	Incarceration, inequality, and imagining alternatives	The ANNALS of the American Academy of Political and Social Science	0	0		
10.1111_jcms.12659	Issue information	JCMS: Journal of Common Market Studies	0	0		
10.1017_s1049096520001808	Liberalism and nationalism in contemporary america	PS: Political Science & Politics	1	0		
10.1017_s0003055414000215	The illustrative education of rousseau'semile	American Political Science Review	1	17		
10.1016_j.ejpoleco.2020.101951	Does democratic progress deter terrorist incidents	European Journal of Political Economy	64	44		1
10.1111_pops.12574	Exploring the psychological foundations of ideological and social sorting	Political Psychology	80	143		1
10.1016_j.marpol.2019.01.015	A sea of troubles' (2) brexit and the uk seafood supply chain	Marine Policy	25	2		
10.1111_jopp.12229	Debate taking offense a reply	Journal of Political Philosophy	1	4		
10.1016_j.marpol.2020.103896	Key factors of container port competitiveness a global shipping lines perspective	Marine Policy	40	30		1
10.1111_gove.12174	Principal-agent analysis and pathological delegation the (almost) untold story	Governance	4	11		
10.1080_14742837.2012.664907	A personal reflection on negotiating fear, compassion and self-care in research	Social Movement Studies	1	0		
10.1080_13510347.2012.712515	Is democracy the only game in town Tension between immigrants' democratic desires and authoritarian imprints	Democratization	65	24		1
10.1007_s11127-015-0242-2	Armin steinbach economic policy coordination in the euro-area	Public Choice	0	0		
10.1162_glep.2010.10.1.60	Preparing for a warmer world towards a global governance system to protect climate refugees	Global Environmental Politics	3	6		
10.1080_14782804.2015.1067449	Anders breivik and the rise of islamophobia	Journal of Contemporary European Studies	1	0		
10.1057_s41268-016-0081-x	Exploring overlapping regionalism	Journal of International Relations and Development	45	306		1
10.1177_0022002715600759	Imf programs and the risk of a coup d'�tat	Journal of Conflict Resolution	96	1379		1
10.1017_s1743923x18000168	(De)constructing the masculine blueprint the institutional and discursive consequences of male political dominance	Politics & Gender	0	0		
10.1017_s004388711100013x	Globalization, party positions, and the median voter	World Politics	173	414		1
10.1111_j.1747-7093.2010.00248.x	War in an age of risk, christopher coker (cambridge polity press, 2009), 188 pp., $65 cloth, $25 paper.	Ethics & International Affairs	0	0		
10.1007_s11127-018-0569-6	Bureaucratic institutional design the case of the italian nhs	Public Choice	62	340		1
10.1002_polq.12913	Humanitarian hypocrisy civilian protection and the design of peace operationsandrea l. Everett. Ithaca, ny, cornell university press, 2018. 284 pp. $55.00.	Political Science Quarterly	1	0		
10.1093_chinesejil_jms012	Editorial board	Chinese Journal of International Law	1	0		
10.1080_09546553.2018.1444796	Urban terror the case of lone wolf peter mangs	Terrorism and Political Violence	10	0		
10.1093_jopart_muw058	The relationship between coping and job performance	Journal of Public Administration Research and Theory	23	77		1
10.1017_s0043887117000156	Wpo volume 69 issue 3 cover and front matter	World Politics	0	0		
10.1093_ser_mwx024	On kimberly kay hoang's, dealing in desire. Asian ascendancy, western decline, and the hidden currencies of global sex work. Oakland, ca, university of california press, 2015	Socio-Economic Review	1	7		
10.1093_ijpor_edu036	Beyond survey self-reports using physiology to tap political orientations	International Journal of Public Opinion Research	16	160		1
10.1017_s153759271900241x	Caffeinated solutions as neoliberal politics how celebrities create and promote partnerships for peace and development	Perspectives on Politics	3	2		
10.1111_twec.12267	Global competition for attracting talents and the world economy	The World Economy	32	21		1
10.1016_j.jjie.2010.01.003	Effects of japanese macroeconomic statistic announcements on the dollar/yen exchange rate high-resolution picture	Journal of the Japanese and International Economies	147	955		1
10.1080_14747731.2016.1228784	Special forum on brexit	Globalizations	3	0		
10.1093_chinesejil_jmx011	Towards the international rule of law in cyberspace contrasting chinese and western approaches	Chinese Journal of International Law	4	24		
10.1177_1940161219843404	Measures of campaign negativity comparing approaches and eliminating partisan bias	The International Journal of Press/Politics	27	27		
10.1111_lsq.12206	How responsive are legislators to policy information Evidence from a field experiment in a state legislature	Legislative Studies Quarterly	63	112		1
10.1111_jcms.12259	Determinants of the duration of european appellate court proceedings in cartel cases	JCMS: Journal of Common Market Studies	48	120		1
10.1590_s0034-73292011000200009	Promessa tecnol�gica e vantagem combatente	Revista Brasileira de Pol�tica Internacional	0	2		
10.1177_0010836717750198	A genealogy of mediation in international relations from 'analogue' to 'digital' forms of global justice or managed war	Cooperation and Conflict	0	1		
10.1017_s1049096515000980	Nominations accepted for the 2016 apsa awards	PS: Political Science & Politics	0	0		
10.1016_j.marpol.2016.07.011	Marine spatial planning for the future using public participation gis (ppgis) to inform the human dimension for large marine parks	Marine Policy	53	11		1
10.1162_jcws_r_00298			3	2		
10.1080_13510347.2020.1739652	Crises of democracy	Democratization	0	0		
10.1016_j.jjie.2019.03.001	Potential for inward foreign direct investment in japan	Journal of the Japanese and International Economies	155	768		1
10.1111_twec.12115	Foreign direct investment and total factor productivity growth new macro-evidence	The World Economy	70	823		1
10.1177_1065912917744897	How dehumanization influences attitudes toward immigrants	Political Research Quarterly	17	255		1
10.1080_14782804.2017.1354142	Intellectual radicalism after 1989 crisis and re-orientation in the british and the american left	Journal of Contemporary European Studies	0	0		
10.1017_s0022381610000149	You've either got it or you don't The stability of political interest over the life cycle	The Journal of Politics	64	138		1
10.1111_j.1758-5899.2012.00188.x	Financial crises and international investment agreements the case of sovereign debt restructuring	Global Policy	2	12	1	
10.1093_ia_iiz078	From byron to bin laden a history of foreign war volunteers	International Affairs	0	0		
10.1016_j.spacepol.2011.12.005	Future uk space policy � indications from the uk space conference 2011	Space Policy	0	0		
10.1016_j.electstud.2020.102203	Affective polarization and the salience of elections	Electoral Studies	49	68		1
10.1111_j.1468-2478.2012.00734.x	Capitalist development and civil war1	International Studies Quarterly	90	223		1
10.1017_s1049096520001201	Books by our readers	PS: Political Science & Politics	0	0		
10.1093_ia_iiaa120	Legacy of empire britain, zionism and the creation of israel	International Affairs	0	1		
10.1007_s11109-017-9388-6	Community, authorities, and support for vigilantism experimental evidence	Political Behavior	46	66		1
10.1080_13439006.2014.921967	No need for modesty here enhancing japan's public (intellectual) diplomacy	Asia-Pacific Review	6	0		
10.1080_13600826.2018.1450733	Ajrg a tribute	Global Society	0	1		
10.1016_j.marpol.2012.02.010	The targets of management rules for marine mammal populations require justification a reply to cooke et al. (2012)	Marine Policy	7	5		
10.1093_poq_nfs059	Erratum to s. Iyengar, g. Sood, and y. Lelkes. 2012. ""Affect, not ideology a social identity perspective on polarization."" Public opinion quarterly 76(3)405-431.	Public Opinion Quarterly	0	0		
10.1057_cep.2015.40	Beyond a constraining dissensus the role of national parliaments in domesticating and normalising the politicization of european integration	Comparative European Politics	4	4		
10.1017_s0043887111000128	The rise of indirect affirmative action converging strategies for promoting ""diversity"" in selective institutions of higher education in the united states and france	World Politics	13	7		
10.1111_ropr.12158	Policy change, policy feedback, and interest mobilization the politics of nuclear waste management	Review of Policy Research	28	87		1
10.5305_amerjintelaw.109.1.0068	Annexation of crimea	American Journal of International Law	0	0		
10.1093_jopart_muq031	Editorial board	Journal of Public Administration Research and Theory	0	0		
10.1525_curh.2014.113.764.238	Mongolia searches for breathing room	Current History	1	0		
10.1016_j.marpol.2017.04.001	Doing the right thing' how social science can help foster pro-environmental behaviour change in marine protected areas	Marine Policy	20	6		
10.1007_s11109-013-9262-0	Ricochet how elite discourse politicizes racial and ethnic identities	Political Behavior	28	74		1
10.1002_polq.12275	Black ethnics race, immigration, and the pursuit of the american dream by christina m.greer. New york, oxford university press, 2013. 226 pp. $27.95.	Political Science Quarterly	0	0		
10.1177_0738894215594756	Enforcing order territorial reach and maritime piracy	Conflict Management and Peace Science	64	316		1
10.1017_s0003055419000844	The geography of inequality how land use regulation produces segregation	American Political Science Review	43	22		1
10.1007_s10290-019-00345-2	Heterogeneous country responses to the great recession the role of supply chains	Review of World Economics	170	292		1
10.1111_twec.12783	Capital flows to asia and latin america does institutional quality matter	The World Economy	129	1142		1
10.1080_07036337.2017.1333119	The quintessentially democratic act Democracy, political community and citizenship in and after the uk's eu referendum of june 2016	Journal of European Integration	14	0		
10.1016_j.marpol.2017.05.013	How subsidies affect the economic viability of small-scale fisheries	Marine Policy	63	2		1
10.1080_14494035.2019.1655130	Reform narratives and argumentative coupling in german pension policy constructing the 'deserving retiree'	Policy and Society	0	3		
10.1002_poi3.v8.3		Policy & Internet	0	0		
10.1080_09700161.2010.501580	50 years of the indus water treaty an evaluation	Strategic Analysis	0	0		
10.1080_14747731.2018.1429104	Brics, middle-income countries (mics), and global agrarian transformations internal dynamics, regional trends, and international implications	Globalizations	0	0		
10.1111_psj.12272	Political information has bright colors narrative attention theory	Policy Studies Journal	14	2		
10.1017_s1537592715003758	Godless democrats and pious republicans Party activists, party capture, and the ""god gap."" By ryan l. Claassen. New york cambridge university press, 2015. 194p. $92.58 cloth, $27.75 paper.	Perspectives on Politics	2	0		
10.1016_j.electstud.2019.04.001	Learning who not to vote for the role of parental socialization in the development of negative partisanship	Electoral Studies	47	467		1
10.1080_09546553.2017.1318126	So, the killings continued"" wartime mobilization and post-war violence in kwazulu-natal, south africa	Terrorism and Political Violence	2	7	1	
10.1093_ijpor_eds029	Disagreement and value predispositions understanding public opinion about stem cell research	International Journal of Public Opinion Research	38	112		1
10.1017_s1537592710003853	The third space of sovereignty the postcolonial politics of u.s.�indigenous relations. By kevin bruyneel. Minneapolis university of minnesota press, 2007. 320p. $67.50 cloth, $22.50 paper. - broken landscape indians, indian tribes, and the constitution. By frank pommersheim. New york oxford university press, 2009. 424p. $35.00.	Perspectives on Politics	0	2		
10.1093_ejil_chz027	Ocean floor grab international law and the making of an extractive imaginary	European Journal of International Law	3	3		
10.1080_13563467.2016.1195344	Putting 'merchants of debt' in their place the political economy of retail banking and credit-based financialisation in germany	New Political Economy	9	3	1	
10.1093_afraf_adu003	The risks of african military capacity building lessons from rwanda	African Affairs	0	2		
10.1162_jcws_r_00629			1	1		
10.1177_1354066119873134	Towards a 'pluralist' world order creative agency and legitimacy in global institutions	European Journal of International Relations	1	3		
10.1017_s1049096521000317	Researching the politics of illegal activities	PS: Political Science & Politics	4	2		
10.1016_j.marpol.2020.104058	Impacts of shellfish reef management on the provision of ecosystem services resulting from climate change in the dutch wadden sea	Marine Policy	40	9	1	
10.1080_09692290903562503	Regulators, firms and information the domestic sources of convergence in transatlantic merger review	Review of International Political Economy	0	2		
10.1017_s1049096520001043	The stewardship model an inclusive approach to undergraduate research	PS: Political Science & Politics	5	0		
10.1002_j.1538-165x.2012.tb01151.x	Sprawl, justice, and citizenship the civic costs of the american way of life by thad williamson.	Political Science Quarterly	0	0		
10.1080_01402382.2016.1143241	Internationalised banking, alternative banks and the single supervisory mechanism	West European Politics	22	18	1	
10.1017_s1537592720000754	Response to bullock et al.'s review of southern nation congress and white supremacy after reconstruction	Perspectives on Politics	0	0		
10.1177_1354068816678887	A growing impact of new parties	Party Politics	87	15		1
10.1080_01402382.2011.616672	Left parties in national governments	West European Politics	0	0		
10.1111_padm.12406	Between cheap talk and epistocracy the logic of interest group access in the european parliament's committee hearings	Public Administration	120	4		1
10.1111_j.1743-8594.2011.00150.x	A neurobiological approach to foreign policy analysis identifying individual differences in political violence	Foreign Policy Analysis	7	7		1
10.1111_ropr.12301	Environmental inequities and water policy during a drought burdened communities, minority residents, and cutback assignments	Review of Policy Research	95	114		1
10.1017_s0892679420000544	Eia volume 34 issue 3 cover and front matter	Ethics & International Affairs	1	0		
10.1086_688174	Entertainment and the opportunity cost of civic participation monday night football game quality suppresses turnout in us elections	The Journal of Politics	60	223		1
10.1017_s1537592719001956	Praxis on acting and knowing. By friedrich kratochwil. Cambridge cambridge university press, 2018. 552p. $135.00 cloth.	Perspectives on Politics	1	2		
10.1017_s0260210517000171	The soldier's tale problematising foucault's military foundations	Review of International Studies	2	5		
10.1093_poq_nfu065	Back_cover	Public Opinion Quarterly	0	0		
10.1017_s1049096510001678	Washington insider	PS: Political Science & Politics	0	0		
10.1016_j.marpol.2020.104129	Traditional knowledge of fishers versus an environmental disaster from mining waste in central brazil	Marine Policy	156	3	1	
10.1007_s11127-017-0449-5	Strategic gerontocracy why nondemocratic systems produce older leaders	Public Choice	79	117		1
10.1080_09546553.2015.1075979	Divergent paths to martyrdom and significance among suicide attackers	Terrorism and Political Violence	79	58		1
10.1093_publius_pjp026	Institutional resilience meets critical junctures (re)allocation of power in three british parties post-devolution	Publius: The Journal of Federalism	1	2		
10.1080_09557571.2016.1161262	Corrigendum	Cambridge Review of International Affairs	0	0		
10.1017_s1537592716004175	Political liberalism political, not philosophical	Perspectives on Politics	0	0		
10.1177_0968344518764469	Notes on contributors	War in History	0	0		
10.1017_gov.2021.25	Gov volume 56 issue 3 cover and front matter	Government and Opposition	0	0		
10.1093_poq_nft061	Front_cover	Public Opinion Quarterly	0	0		
10.1017_s1537592713000704	Civil wars in the democratic republic of congo, 1960�2010. By emizet fran�ois kisangani. Boulder, co lynne rienner, 2012. 254p. $58.50 cloth.	Perspectives on Politics	7	1		
10.1080_13629395.2015.1078125	Explaining the (non-)encampment of syrian refugees security, class and the labour market in lebanon and jordan	Mediterranean Politics	3	0		
10.1162_jcws_e_00979			0	0		
10.2753_ree1540-496x5001s118	A critique of the contingent claims approach to sovereign risk analysis	Emerging Markets Finance and Trade	33	59		1
10.1017_s1049096516003000	Engaging women addressing the gender gap in women's networking and productivity	PS: Political Science & Politics	24	9	1	
10.1080_09546553.2011.581094	A review of ""a. R. Oppenheimer.ira the bombs and the bullets, a history of deadly ingenuity.	Terrorism and Political Violence	0	0		
10.1080_09644016.2012.724236	Environmental tax reform (etr) a policy for green growth	Environmental Politics	0	0		
10.1177_0263395720935380	Populism and president trump's approach to foreign policy an analysis of tweets and rally speeches	Politics	6	1	1	
10.1093_cjip_poaa007	Bipolar rivalry in the early digital age	The Chinese Journal of International Politics	38	4		
10.1016_j.ejpoleco.2017.03.005	Inequality, redistribution and cultural integration in the welfare state	European Journal of Political Economy	44	172		
10.1086_700108	Rawls, piketty, and the critique of welfare-state capitalism	The Journal of Politics	4	2		
10.1111_isqu.12180	Remittances and democratization	International Studies Quarterly	95	97		1
10.1016_j.marpol.2021.104549	Climate change in the southern ocean is the commission for the convention for the conservation of antarctic marine living resources doing enough	Marine Policy	24	4	1	
10.1017_s0892679414000525	Eia volume 28 issue 3 cover and back matter	Ethics & International Affairs	0	1		
10.1017_s153759271700384x	Visionary pragmatism radical and ecological democracy in neoliberal times. By romand coles. Durham, nc duke university press, 2016. 240p. $84.95 cloth, $23.95 paper.	Perspectives on Politics	0	0		
10.1093_poq_nfx027	Adam seth levine. American insecurity why our economic fears lead to political inaction. Princeton, nj princeton university press. 2015. 320 pp. $29.95 (cloth). $23.95 (paper)	Public Opinion Quarterly	0	0		
10.1017_s1537592710003488	Post-kyoto international climate policy summary for policymakers. Edited by joseph e. Aldy and robert n. Stavins. New york cambridge university press, 2009. 210p. $32.99 paper.	Perspectives on Politics	4	0		
10.1016_j.spacepol.2018.12.002	Pakistan space programme and international cooperation history and prospects	Space Policy	2	2		
10.1017_s1049096512000406	Teaching diversity using a multifaceted approach to engage students	PS: Political Science & Politics	2	0		
10.1017_s1049096518001786	The political science 400 with citation counts by cohort, gender, and subfield	PS: Political Science & Politics	5	0	1	
10.1057_ap.2016.6	Politicians, experts or both Democratic delegation and junior ministers in spain	Acta Politica	73	14		1
10.1177_0022343316687018	Autocracies and the international sources of cooperation	Journal of Peace Research	43	202		1
10.1111_1475-6765.12280	Do young female candidates face double barriers or an outgroup advantage The case of the european parliament	European Journal of Political Research	61	59		1
10.1016_j.marpol.2010.06.003	Exploring fishing dependence in gulf coast communities	Marine Policy	57	12	1	
10.1016_j.marpol.2009.04.019	Banking on cod exploring economic incentives for recovering grand banks and north sea cod fisheries	Marine Policy	13	2		
10.1111_j.1528-3585.2011.00449.x	Introduction	International Studies Perspectives	0	0		
10.1086_698848	Can't buy them love how party culture among donors contributes to the party gap in women's representation	The Journal of Politics	39	137		1
10.1057_s41311-017-0116-y	A comparative perspective of india and china in the oil industry in west africa	International Politics	1	0	1	
10.1017_s1474745614000123	Introduction	World Trade Review	0	0		
