file_in	title	journal	data_count	quant_count
10.5305_amerjintelaw.107.4.0992	2013 table of cases	American Journal of International Law	0	3
10.1016_j.marpol.2016.11.002	The unintended consequences of regulatory complexity: the case of cruise tourism in arctic canada	Marine Policy	17	0
10.1093_poq_nfv058	Editorial_board	Public Opinion Quarterly	0	0
10.1016_j.marpol.2017.10.023	Coastal and indigenous community access to marine resources and the ocean: a policy imperative for canada	Marine Policy	3	1
10.1016_j.polgeo.2020.102327	State making through conservation: the case of post-conflict nepal	Political Geography	10	3
10.1017_s1537592716000931	Public opinion, transatlantic relations and the use of force. By philip everts and pierangelo isernia. New york: palgrave macmillan, 2015. 286p. $105.00.	Perspectives on Politics	3	0
10.1007_s11127-011-9884-x	Counterterrorism strategies in the lab	Public Choice	58	31
10.1080_13510347.2016.1259218	Activating democracy in brazil: popular participation, social justice and interlocking institutions, by brian wampler	Democratization	1	0
10.1177_0968344512455971	Issued by the general staff: doctrine writing at british ghq, 1917�1918	War in History	0	3
10.1017_s1537592712001077	A republic of statutes: the new american constitution. By william n. Eskridge, jr. and john ferejohn. New haven: yale university press, 2010. 592p. $85.00.	Perspectives on Politics	0	2
10.1080_17502977.2012.655618	An empirical approach to post-conflict legitimacy: victims' needs and the everyday	Journal of Intervention and Statebuilding	0	4
10.1177_0010414016666863	Inequality and the emergence of vigilante organizations: the case of mexican autodefensas	Comparative Political Studies	58	167
10.1177_0022002716644326	Explaining recidivism of ex-combatants in colombia	Journal of Conflict Resolution	49	136
10.1017_s0143814x15000215	A defence of participation income	Journal of Public Policy	5	1
10.1111_padm.12151	Citizen, customer, partner: engaging the public in public management	Public Administration	0	0
10.1016_j.marpol.2021.104525	Hedonic evaluation of coral reef fish prices on a direct sale market	Marine Policy	307	58
10.1111_1475-6765.12216	Beyond protest and discontent: a cross-national analysis of the effect of populist attitudes and issue positions on populist party support	European Journal of Political Research	52	134
10.1080_21647259.2016.1277015	Gendered (in)security in south sudan: masculinities and hybrid governance in imatong state	Peacebuilding	0	3
10.1007_s10784-015-9282-9	Ed couzens: whales and elephants in international conservation law and politics: a comparative study	International Environmental Agreements: Politics, Law and Economics	0	0
10.1111_1467-9248.12115	Distributive justice and the problem of friendship	Political Studies	0	2
10.1080_13501763.2019.1699940	Intergovernmentalism and its implications � new institutional leadership in major eu reforms	Journal of European Public Policy	0	0
10.1093_ia_iiaa219	Advancing foreign policy analysis by studying leaders from the global south	International Affairs	4	12
10.1017_s1049096514001462	Apsa awards presented at the 2014 annual meeting	PS: Political Science & Politics	7	3
10.1093_afraf_ads027	Botswana: a development-oriented gate-keeping state - a reply to ian taylor	African Affairs	0	2
10.1093_ia_iiw006	Modi's foreign policy fundamentals: a trajectory unchanged	International Affairs	3	0
10.1017_s0007123419000401	Crazy like a fox? Are leaders with reputations for madness more successful at international coercion?	British Journal of Political Science	36	231
10.1080_14754835.2015.1018509	A review of responsibility for human rights: transnational corporations in imperfect statesby david karp	Journal of Human Rights	0	1
10.1080_14782804.2012.685392	Ambiguity and change: post-2004 polish migration to the uk in contemporary british cinema	Journal of Contemporary European Studies	0	4
10.1016_j.marpol.2016.06.023	Marine spatial planning advancing the ecosystem-based approach to coastal zone management: a review	Marine Policy	19	19
10.1093_publius_pjaa021	The state of american federalism 2019�2020: polarized and punitive intergovernmental relations	Publius: The Journal of Federalism	1	3
10.1017_s0260210516000073	The shifting salience of democratic governance: evidence from the united nations general assembly general debates	Review of International Studies	77	3
10.1111_ropr.12215	Mission interference: how competition confounds accountability for environmental nongovernmental organizations	Review of Policy Research	23	0
10.1177_1532673x20965548	Is negative campaigning a matter of taste? Political attacks, incivility, and the moderating role of individual differences	American Politics Research	45	33
10.1177_0002716209351521	Expanding the use of experiments on civic behavior: experiments with local government as a research partner	The ANNALS of the American Academy of Political and Social Science	1	16
10.1016_j.marpol.2015.04.021	Offshore installations, decommissioning and artificial reefs: do current legal frameworks best serve the marine environment?	Marine Policy	1	2
10.1093_ejil_chaa003	Cognitive sociology, social cognition and coping with racial discrimination in international law	European Journal of International Law	1	3
10.1016_j.marpol.2016.01.004	Economic impact of climate change and climate change adaptation strategies for fisheries sector in solomon islands: implication for food security	Marine Policy	30	2
10.1111_j.1467-9701.2010.01325.x	Trade liberalisation, market structure and the incentive to merge	The World Economy	13	76
10.1093_ejil_chz073	Impressions - reviving a tradition	European Journal of International Law	2	0
10.1177_1940161220966730	Selection in a snapshot? The contribution of visuals to the selection and avoidance of political news in information-rich media settings	The International Journal of Press/Politics	23	106
10.1007_s12116-020-09303-8	How do different forms of foreign aid affect government legitimacy? Evidence from an informational experiment in uganda	Studies in Comparative International Development	184	94
10.1177_0002716216668500	Competition among violent islamist extremists	The ANNALS of the American Academy of Political and Social Science	2	1
10.1177_0010836716652431	The politics of arctic international cooperation: introducing a dataset on stakeholder participation in arctic council meetings, 1998�2015	Cooperation and Conflict	20	2
10.1111_twec.12271	Trade policymaking in a resource-rich landlocked country: the wto review of mongolia	The World Economy	31	5
10.1177_0032321717706902	Truth commissions after economic crises: political learning or blame game?	Political Studies	4	1
10.1177_1065912921993958	Announcements	Political Research Quarterly	0	0
10.1111_j.1467-9299.2012.02072.x	A model of cost-cutting in government? The great management revolution in uk central government reconsidered	Public Administration	66	1
10.1016_j.marpol.2020.103912	Governance analysis of st anne marine national park, seychelles	Marine Policy	26	26
10.1016_j.marpol.2016.06.013	Relations between professional groups in the atlantic and mediterranean fishing enclaves of andalusia (spain): a personal networks approach with clustered graphs	Marine Policy	15	5
10.1017_s1752971913000195	Domestic politics, reputational sanctions, and international compliance	International Theory	23	64
10.1017_psrm.2017.24	A research note: the differential impact of threats on ethnic prejudice toward three minority groups in britain	Political Science Research and Methods	8	27
10.1093_isr_viy033	Turbo change: accelerating technological disruption, planetary geopolitics, and architectonic metaphors	International Studies Review	1	0
10.1080_01402390.2016.1168016	A reversal of fortunes? Extended deterrence and assurance in europe and east asia1	Journal of Strategic Studies	0	0
10.1080_13533312.2020.1803745	Protection of civilians mandates and 'collateral damage' of un peacekeeping missions: histories of refugees from darfur	International Peacekeeping	14	5
10.1177_1354068818810553	Appreciation	Party Politics	0	0
10.1016_j.jjie.2009.10.001	Has pass-through to export prices risen? Evidence for japan	Journal of the Japanese and International Economies	63	193
10.1080_09668136.2013.834160	Face to the village: the riazan countryside under soviet rule, 1921�1930	Europe-Asia Studies	0	0
10.1177_1532673x13475472	Americans' attitudes about the senate filibuster	American Politics Research	66	265
10.1017_s1537592716003650	Interest groups and health care reform across the united states. By virginia gray, david lowery, and jennifer k. Benz. Washington, dc, georgetown university press. 2013. 248p. $29.95.	Perspectives on Politics	4	1
10.1017_s0260210512000472	Postsecular resistance, the body, and the 2011 egyptian revolution	Review of International Studies	0	5
10.1093_jopart_muz008	Journal of public administration research and theory police as emergency responders: organizational or personal resilience?	Journal of Public Administration Research and Theory	3	0
10.1017_lap.2018.34	Ana arjona, rebelocracy: social order in the colombian civil war. New york: cambridge university press, 2016. Maps, abbreviations, glossary, tables, figures, bibliography, index, 430 pp.; hardcover $120, paperback $32.99, ebook $96.	Latin American Politics and Society	1	3
10.1093_publius_pju035	Decentralization and political corruption: disaggregating regional authority	Publius: The Journal of Federalism	58	139
10.1525_curh.2014.113.765.278	Climate change policies in the post-socialist world	Current History	1	0
10.1080_09636412.2012.734229	Democracy, deception, and entry into war	Security Studies	124	160
10.1016_j.marpol.2020.104142	Characterising the vulnerability of fishing households to climate and environmental change: insights from ghana	Marine Policy	44	59
10.1080_09644016.2019.1522019	Leadership and lesson-drawing in the european union's multilevel climate governance system	Environmental Politics	35	0
10.1080_09662839.2010.507245	France's 'return' to nato: implications for its defence policy	European Security	0	3
10.1177_1465116513509124	Measuring the european council agenda: introducing a new approach and dataset	European Union Politics	27	1
10.1017_s1474745617000180	Determinants of comparative advantage in gmo intensive industries	World Trade Review	50	189
10.1177_0967010614552549	'Memory must be defended': beyond the politics of mnemonical security	Security Dialogue	0	1
10.1080_19460171.2013.766023	Framing the alcohol policy debate: industry actors and the regulation of the uk beverage alcohol market	Critical Policy Studies	4	3
10.1016_j.marpol.2016.12.014	An integrated monitoring framework for the great barrier reef world heritage area	Marine Policy	10	3
10.1017_s1537592718000816	Response to melanye t. Price's review of governing with words: the political dialogue on race, public policy, and inequality in america	Perspectives on Politics	0	0
10.1177_0047117817723067	American diplomatic history and international thought: a constitutional perspective	International Relations	2	0
10.1016_j.polgeo.2019.02.009	The relational spatiality of the postwar condition: a study of the city of mitrovica	Political Geography	0	3
10.1080_09546553.2010.485117	"A review of: """"alison pargeter.the new frontiers of jihad: radical islam in europe."	Terrorism and Political Violence	0	0
10.1111_1475-6765.12377	Retrospective pledge voting: a comparative study of the electoral consequences of government parties' pledge fulfilment	European Journal of Political Research	53	190
10.1016_j.postcomstud.2016.06.003	Protest and participation in post-transformation poland: the case of the committee for the defense of democracy (kod)	Communist and Post-Communist Studies	0	4
10.1080_0163660x.2018.1557479	A eulogy for the two-war construct	The Washington Quarterly	1	1
10.1080_13608746.2011.602849	Intergovernmental cooperation in a decentralised system: the sectoral conferences in spain	South European Society and Politics	17	17
10.1016_j.marpol.2016.07.022	Achieving blue growth through maritime spatial planning: offshore wind energy optimization and biodiversity conservation in spain	Marine Policy	29	1
10.1111_insp.12052	Representing romani gypsies and travelers: performing identity from early photography to reality television	International Studies Perspectives	0	6
10.1111_j.1475-6765.2011.02011.x	Australia	European Journal of Political Research	14	0
10.1177_1369148117718710	Incumbent parties, incumbent mps and the effectiveness of constituency campaigns: evidence from the 2015 uk general election	The British Journal of Politics and International Relations	103	168
10.1080_1540496x.2019.1684776	Introduction to symposium: recent development in finance and banking in emerging markets	Emerging Markets Finance and Trade	1	0
10.1332_030557315x14431855320366	Media and public accountability: typology and exploration	Policy & Politics	18	6
10.1017_s1537592714001546	Reforming the european union: realizing the impossible. By daniel finke, thomas k�nig, sven-oliver proksch, and george tsebelis. Princeton: princeton university press, 2012. 248p. $80.00 cloth, $35.00 paper. - the crisis of the european union: a response. By j�rgen habermas. New york: polity, 2012. 120p. $64.95 cloth, $12.95 paper.	Perspectives on Politics	1	0
10.1016_j.marpol.2012.02.022	Measuring the benefits and costs of community education and outreach in marine protected areas	Marine Policy	46	3
10.1525_curh.2021.120.823.64	A populist president tests el salvador's democracy	Current History	0	1
10.1017_s0260210515000352	Human security benchmarks: governing human wellbeing at a distance	Review of International Studies	5	14
10.1017_s1537592719002305	Politics with beauvoir: freedom in the encounter. By lori jo marso. Durham, nc: duke university press, 2017. 272p. $94.95 cloth, $26.95 paper. - emancipatory thinking: simone de beauvoir and contemporary political thought. By elaine stavro. Montreal: mcgill-queen's university press, 2018. 392p. $39.95 cloth.	Perspectives on Politics	0	0
10.1177_0192512115580185	Electoral authoritarianism and political unrest	International Political Science Review	29	23
10.1177_030437541003500301	Introduction: indigenous politics�-migration, citizenship, cyberspace	Alternatives: Global, Local, Political	0	5
10.1080_13563467.2013.742880	Financial returnees as new agents in east asia: the case of korean private equity funds	New Political Economy	30	2
10.1002_poi3.v5.2	""	Policy & Internet	0	0
10.1177_0022343314550538	Enemies with benefits? Violent rivalry and terrorist group longevity	Journal of Peace Research	42	159
10.1017_s1743923x17000113	When states come out: europe's sexual minorities and the politics of visibility. By phillip m. Ayoub. New york: cambridge university press, 2016. 295 pp. $29.99 (paperback), $89.99 (hardcover).	Politics & Gender	2	0
10.1086_701721	Everybody hurts sometimes: how personal and collective insecurities shape policy preferences	The Journal of Politics	56	171
10.1111_twec.12060	Some surprising facts about the concentration of trade across commodities and trading partners	The World Economy	13	272
10.1093_poq_nfu053	Social media in public opinion research: executive summary of the aapor task force on emerging technologies in public opinion research	Public Opinion Quarterly	4	4
10.1177_1532673x20962414	Citizen contacting in response to crisis: voicing grievances to the consumer financial protection bureau	American Politics Research	117	257
10.1093_ejil_chy069	Corruption as a violation of international human rights: a reply to anne peters	European Journal of International Law	0	3
10.1057_s41268-018-0146-0	Against eurocentric anti-eurocentrism: international relations, historical sociology and political marxism	Journal of International Relations and Development	1	2
10.1111_1758-5899.12698	International multiparty mediation: prospects for a coordinated effort	Global Policy	0	2
10.1086_711568	Invisible to political science: indigenous politics in a world in flux	The Journal of Politics	2	1
10.1080_13629395.2013.764657	Youth politics and tunisian salafism: understanding the jihadi current	Mediterranean Politics	0	0
10.1080_13510347.2020.1808351	Correction	Democratization	0	0
10.1177_1478929920936943	Commissioned book review: kurt weyland and ra�l l. Madrid, when democracy trumps populism: european and latin american lessons for the united states	Political Studies Review	0	0
10.1016_j.marpol.2019.103780	China's marine protected area system: evolution, challenges, and new prospects	Marine Policy	29	9
10.1007_s11127-010-9651-4	Hold your nose and vote: corruption and public decisions in a representative democracy	Public Choice	137	99
10.1093_ijtj_ijx030	From victims and mothers to citizens: gender-just transformative reparations and the need for public and private transitions	International Journal of Transitional Justice	0	2
10.1002_polq.12379	American public opinion, advocacy, and policy in congress: what the public wants and what it gets by paulburstein. New york, cambridge university press, 2014. 244 pp. Cloth, $80.00; paper, $27.99.	Political Science Quarterly	1	2
10.1355_cs39-2f	Caretaking democratization: the military and political change in myanmar	Contemporary Southeast Asia	0	0
10.1093_afraf_adu063	Bibliography	African Affairs	0	0
10.1016_j.electstud.2016.04.002	Economic performance and presidential trait evaluations: a longitudinal analysis	Electoral Studies	61	2023
10.1016_j.marpol.2019.103562	The role of law in the regulation of fishing activities in the central arctic ocean	Marine Policy	3	1
10.1002_j.1538-165x.2010.tb02048.x	America's cold war: the politics of insecurityby campbell craig and fredrik logevall	Political Science Quarterly	0	0
10.2753_ppc1075-8216590501	Courts, police, and journalists	Problems of Post-Communism	0	3
10.1080_19460171.2010.525971	Teaching critical management studies in business schools: does it matter?	Critical Policy Studies	0	2
10.1080_09644016.2017.1281394	Fact and fiction in global energy policy: 15 contentious questions by benjamin k. Sovacool, marilyn a. Brown and scott v., valentine, baltimore, md, johns hopkins university press, 2016, xi + 370 pp., index, $34.95 (paperback), isbn 9781421418971	Environmental Politics	0	0
10.1016_j.polgeo.2014.09.003	"Over our dead bodies"""": placing necropolitical activism"	Political Geography	4	5
10.1093_ia_iiy252	On grand strategy	International Affairs	0	0
10.1080_09668136.2014.899773	List of contributors	Europe-Asia Studies	0	0
10.1093_cjip_poaa009	Building a common language in pluralist international relations theories	The Chinese Journal of International Politics	3	6
10.1080_13523260.2020.1741143	Not a blood alliance anymore: china's evolving policy toward un sanctions on north korea	Contemporary Security Policy	13	2
10.1590_s0034-73292013000200007	A estrat�gia nacional de defesa do brasil e a dos outros brics em perspectiva comparada	Revista Brasileira de Pol�tica Internacional	1	2
10.1017_s0260210510000665	Comparative theory, china, and the future of east asian regionalism(s)	Review of International Studies	1	7
10.1093_ejil_chv012	International law and global justice: on recent inquiries into the dark side of economic globalization	European Journal of International Law	1	4
10.1093_ejil_chaa002	Rulers or rules? International law, elite cues and public opinion	European Journal of International Law	63	85
10.1080_1540496x.2018.1425136	Exchange rate targeting and gold demand by central banks: modeling international reserves composition	Emerging Markets Finance and Trade	41	54
10.1017_psrm.2017.17	Engendering bilateralism: an exploration of possible sources of non-centrism in government formation	Political Science Research and Methods	26	191
10.1111_j.1468-2486.2011.01076.x	Statebuilding through liberal means: thinking about challenges, contradictions, and the impacts of local and international players in postwar peace operations	International Studies Review	1	0
10.1080_03003930.2018.1552145	Maintaining the status quo: understanding local use of resilience strategies to address earthquake risk in oklahoma	Local Government Studies	10	0
10.1093_chinesejil_jms045	Recent decisions by the commission on the limits of the continental shelf on japan's submission for outer continental shelf	Chinese Journal of International Law	2	6
10.1007_s10308-020-00574-3	Eu-asia should defend multilateralism	Asia Europe Journal	2	1
10.1525_curh.2010.109.727.200	Zuma's first year	Current History	3	0
10.1016_j.polgeo.2012.12.008	Political-geographic interpretations of massive air transport developments in gulf cities	Political Geography	7	3
10.1162_jcws_r_00094			0	1
10.1093_pan_mpw009	Long-term effects in models with temporal dependence	Political Analysis	225	199
10.1057_ip.2013.39	The realist revival in political philosophy, or: why new is not always improved	International Politics	2	0
10.1007_s10784-013-9231-4	China, the united states, bargaining, and climate change	International Environmental Agreements: Politics, Law and Economics	8	12
10.1017_gov.2016.43	Gov volume 52 issue 1 cover and back matter	Government and Opposition	0	0
10.1016_j.ejpoleco.2019.06.003	Protection for sale under monopolistic competition: beyond the ces	European Journal of Political Economy	19	55
10.1093_fpa_oraa020	Remaking the world in america's image: surprise, strategic culture, and the american ways of intervention	Foreign Policy Analysis	5	4
10.1057_s41311-016-0011-y	Lest we forget: britain's iraq inquiry, and why it matters	International Politics	2	0
10.1017_s104909651600024x	The risk of over-reliance on the institutional review board: an approved project is not always an ethical project	PS: Political Science & Politics	2	2
10.1080_09512748.2017.1294614	Development and security in international aid to north korea: commonalities and differences among the european union, the united states and south korea	The Pacific Review	18	1
10.1177_1065912912448539	Our state's never had better friends	Political Research Quarterly	110	181
10.1177_1065912916648016	Just the facts? Partisan media and the political conditioning of economic perceptions	Political Research Quarterly	36	51
10.1017_s0892679410000067	Clean trade in natural resources	Ethics & International Affairs	1	0
10.1016_j.electstud.2015.10.011	The seat product model of the effective number of parties: a case for applied political science	Electoral Studies	81	258
10.1017_s1537592717002717	Misreading law, misreading democracy. By victoria nourse. Cambridge, ma: harvard university press, 2016. 272p. $45.00 cloth. - democracy against domination. By k. Sabeel rahman. New york: oxford university press, 2016. 256p. $65.00 cloth.	Perspectives on Politics	0	3
10.1093_isq_sqz093	"Illicit military behavior as exceptional and inevitable: media coverage of military sexual violence and the """"bad apples"""" paradox"	International Studies Quarterly	10	5
10.1093_publius_pjaa028	Decentralisation and constitutionalism in africa, edited by charles m. Fombad and nico steytler	Publius: The Journal of Federalism	0	0
10.1017_s1537592718002578	Cyber strategy: the evolving character of power and coercion. By brandon valeriano, benjamin jensen, and ryan c. Maness. New york: oxford university press, 2018. 320p. $34.95 cloth.	Perspectives on Politics	0	0
10.1111_ajps.12460	Do inheritance customs affect political and social inequality?	American Journal of Political Science	57	94
10.1093_ser_mws029	Changing macro-structural varieties of east asian capitalism	Socio-Economic Review	9	5
10.1111_1758-5899.12641	Issue information	Global Policy	0	0
10.1057_s41295-020-00206-5	Better together? Explaining poland's and germany's bargaining success in eu lawmaking	Comparative European Politics	99	192
10.1093_publius_pjq039	Policy attention in state and nation: is anyone listening to the laboratories of democracy?	Publius: The Journal of Federalism	86	60
10.1080_13523260.2015.1061767	Why so soft? The european union in ukraine	Contemporary Security Policy	1	0
10.1017_s002081831300026x	Lost in translation? Nonstate actors and the transnational movement of procedural law	International Organization	0	2
10.1016_j.electstud.2012.11.004	Voter overrepresentation, vote misreporting, and turnout bias in postelection surveys	Electoral Studies	56	59
10.1057_s41268-018-0155-z	Paradigmatic or critical? Resilience as a new turn in eu governance for the neighbourhood	Journal of International Relations and Development	0	2
10.1017_s1474745615000373	Wto disciplines on subsidies and countervailing measures: balancing policy space and legal constraints by dominic coppens cambridge: cambridge university press, 2014	World Trade Review	0	0
10.1007_s11558-012-9162-9	Commerce and institutions: trade, scope, and the design of regional economic organizations	The Review of International Organizations	82	222
10.1007_s11109-016-9347-7	Courting the women's vote: the emotional, cognitive, and persuasive effects of gender-based appeals in campaign advertisements	Political Behavior	30	416
10.1080_14616742.2011.560039	Deconstructing militant manhood	International Feminist Journal of Politics	0	0
10.1177_0010836718807501	Feeling everyday ir: embodied, affective, militarising movement as choreography of war	Cooperation and Conflict	0	2
10.1017_s1537592715004338	Europe in the new middle east: opportunity or exclusion? By richard youngs. New york: oxford university press, 2014. 240p. $80.00.	Perspectives on Politics	0	1
10.1080_23812346.2018.1428061	An assessment of china's ability to regulate its iron and steel industries	Journal of Chinese Governance	9	4
10.1111_jcms.v53.3	""	JCMS: Journal of Common Market Studies	49	309
10.1093_chinesejil_jmaa018	To litigate a pandemic: cases in the united states against china and the chinese communist party and foreign sovereign immunities	Chinese Journal of International Law	2	6
10.1080_13501763.2019.1578815	Money, power, glory: the linkages between eu conditionality and state capture in the western balkans	Journal of European Public Policy	11	5
10.1017_s1537592718002220	Listen, we need to talk: how to change attitudes about lgbt rights. By brian f. Harrison and melissa r. Michelson. New york: oxford university press, 2017. 240p. $105.00 cloth, $29.95 paper.	Perspectives on Politics	2	1
10.1162_isec_a_00251			14	5
10.1017_s0017257x12000097	Gov volume 48 issue 1 cover and back matter	Government and Opposition	0	0
10.1080_10758216.2016.1260998	Foreign investment adaptations to the changing political and economic environments of the agro-food sector	Problems of Post-Communism	7	1
10.31945_iprij.190104	Analysing india's naval development strategy	IPRI Journal	0	3
10.1177_0967010612470294	'New wars' at sea: a critical transformative approach to the political economy of somali piracy	Security Dialogue	1	2
10.1017_s0022381613000145	Why do parties change position? Party organization and environmental incentives	The Journal of Politics	59	84
10.1177_1940161216645928	Looking out or turning in? Organizational ramifications of online political posters on facebook	The International Journal of Press/Politics	75	7
10.1111_gove.12329	Gender, actors, and institutions at the local level: explaining variation in policies to address violence against women and girls	Governance	47	6
10.1057_cep.2009.7	European union issue voting in east and west europe: the role of political context	Comparative European Politics	37	108
10.1590_s0034-73292012000200002	A governan�a econ�mica global e os desafios do g-20 p�s-crise financeira: an�lise das posi��es de estados unidos, china, alemanha e brasil	Revista Brasileira de Pol�tica Internacional	37	34
10.1017_s1537592712000163	Free burma: transnational legal action and corporate accountability. By john g. Dale. Minneapolis: university of minnesota press, 2011. 296p. $75.00 cloth, $25.00 paper.	Perspectives on Politics	0	2
10.1093_ser_mwu014	Education, economic inequality and the promises of the social investment state	Socio-Economic Review	36	283
10.1017_s1537592716000025	Pps volume 14 issue 2 cover and back matter	Perspectives on Politics	0	3
10.1017_s1049096511000424	Books by our readers	PS: Political Science & Politics	0	0
10.1525_curh.2019.118.805.62	Ortega faces a new nicaraguan opposition movement	Current History	0	0
10.1080_03050629.2014.899220	Buying national: democracy, public procurement, and international trade	International Interactions	51	84
10.1007_s11109-018-09521-w	"Race, """"deservingness,"""" and social spending attitudes: the role of policy delivery mechanism"	Political Behavior	41	105
10.1016_j.postcomstud.2013.08.004	Informal payments for health care services � corruption or gratitude? A study on public attitudes, perceptions and opinions in six central and eastern european countries	Communist and Post-Communist Studies	101	203
10.1080_13523260.2013.776802	Trust in international cooperation: international security institutions, domestic politics and american multilateralism	Contemporary Security Policy	0	0
10.1111_1758-5899.12583	Trade agreements, regulatory institutions and services liberalization	Global Policy	20	381
10.1177_0010414013488555	Opinion climates and immigrant political action	Comparative Political Studies	54	1058
10.1162_jcws_r_00630			0	1
10.1162_jcws_r_00419			0	0
10.1017_psrm.2018.18	Attitudes toward economic inequality: the illusory agreement	Political Science Research and Methods	38	171
10.1111_psj.12265	Geographical leadership mobility and policy isomorphism: narrowing the regional inequality of social spending in china	Policy Studies Journal	55	277
10.1111_j.1541-1338.2012.00589.x	Functions of the intermediary organizations for agricultural innovation in mexico: the chiapas produce foundation	Review of Policy Research	1	23
10.1017_s1743923x14000142	Gender equality, intersectionality, and diversity in europe. By lise rolandsen agust�n. New york: palgrave macmillan, 2013. 220 pp. $85 (hardcover).	Politics & Gender	0	0
10.1017_s1537592712000916	Political parties, business groups, and corruption in developing countries. By vineeta yadav. New york: oxford university press, 2011. 288p. $99.00 cloth, $29.95 paper.	Perspectives on Politics	3	0
10.1177_1354068818816969	Immigration, euroscepticism, and the rise and fall of ukip	Party Politics	43	19
10.1093_pan_mpw017	Measuring political positions from legislative speech	Political Analysis	26	58
10.1080_13523260.2016.1193976	French foreign and security challenges after the paris terrorist attacks	Contemporary Security Policy	1	1
10.1177_0192512116636121	National action plans as an obstacle to meaningful local ownership of unscr 1325 in liberia and sierra leone	International Political Science Review	12	4
10.1016_j.polgeo.2011.10.007	Regionalization and the rescaling of agro-food governance: case study evidence from two english regions	Political Geography	4	2
10.1111_jcms.12612	Europe as a regional actor: waning influence in an unstable and authoritarian neighbourhood	JCMS: Journal of Common Market Studies	2	1
10.1080_07036337.2018.1503655	From high judges to policy stakeholders: a public policy approach to the cjeu's power	Journal of European Integration	0	2
10.1016_j.spacepol.2009.11.008	Heavenly ambitions: america's quest to dominate space	Space Policy	0	0
10.1080_13501763.2011.586792	Fortress europe or open door europe? The external impact of the eu's single market in financial services	Journal of European Public Policy	0	2
10.1017_s0260210512000447	The secularism of post-secularity: religion, realism, and the revival of grand theory in ir	Review of International Studies	0	6
10.1080_01402382.2019.1565735	'No politics in the agenda-setting meeting': plenary agenda setting in the netherlands	West European Politics	71	27
10.1525_curh.2021.120.826.183	A hashtag revolution in nigeria	Current History	1	2
10.1016_j.ejpoleco.2019.02.004	Bonus pay for teachers, spatial sorting, and student achievement	European Journal of Political Economy	423	108
10.1111_j.1748-5991.2012.01147.x	Beyondresponsive regulation: the expanding role of non-state actors in the regulatory process	Regulation & Governance	1	1
10.1177_1532673x09338369	Black-latino political relationships: policy voting in the u.s. House of representatives	American Politics Research	73	805
10.1093_irap_lcr005	Something old, something new, something borrowed: rerepresentations of anarchy in international relations theory	International Relations of the Asia-Pacific	1	9
10.1017_s1537592716003972	Emotional diplomacy: official emotion on the international stage. By todd h. Hall. Ithaca, ny: cornell university press. 2015. 264p. $39.95.	Perspectives on Politics	1	0
10.1080_09668136.2012.718416	A broken region: the persistent failure of integration projects in the south caucasus	Europe-Asia Studies	0	1
10.1017_s0022381612000655	Social constraints and civil war: bridging the gap with criminological theory	The Journal of Politics	36	218
10.1177_0010414011428594	Fiscal policy and the firm	Comparative Political Studies	67	393
10.1177_0010836713494995	Struggling over meanings: discourses on the eu's international presence	Cooperation and Conflict	1	3
10.1080_09546553.2011.598434	"A review of: """"jeffrey record.wanting war: why the bush administration invaded iraq."	Terrorism and Political Violence	0	0
10.1017_s1537592717001797	Negativity in democratic politics: causes and consequences. By stuart n. Soroka. New york: cambridge university press, 2014. 198p. $28.99.	Perspectives on Politics	1	0
10.1016_j.ejpoleco.2017.08.001	Altruistic punishment in elections	European Journal of Political Economy	93	77
10.1016_j.ejpoleco.2011.11.005	Memories of high inflation	European Journal of Political Economy	142	1215
10.1017_s1531426x00001965	Christina stolte, brazil's africa strategy: role conception and the drive for international status. London: palgrave macmillan, 2015. Figures, tables, notes, bibliography, index, 236 pp.; hardcover $100, ebook.	Latin American Politics and Society	0	0
10.1016_j.polgeo.2016.04.001	For post-statist geographies	Political Geography	0	8
10.1007_s11127-009-9579-8	May increased partisanship lead to convergence of parties' policy platforms?	Public Choice	148	77
10.1016_j.spacepol.2012.02.003	Contracting for space: contract practice in the european space sector	Space Policy	0	1
10.1093_chinesejil_jmv055	Chronology of practice: chinese practice in private international law in 2014	Chinese Journal of International Law	13	6
10.1017_s0043887120000015	The psychology of repression and polarization	World Politics	23	264
10.1093_poq_nfw078	Back_cover	Public Opinion Quarterly	0	0
10.1080_10357718.2011.570245	Triumph of the west? The politics of legitimacy in asia	Australian Journal of International Affairs	1	0
10.1080_09512748.2012.728242	Building a liberal-local hybrid peace and state in bougainville	The Pacific Review	1	1
10.1016_j.marpol.2009.06.007	Commercial fishing, conservation and compatibility in the northwestern hawaiian islands	Marine Policy	0	0
10.1111_j.1468-5965.2011.02172_7.x			2	0
10.1080_14782804.2019.1647514	Defying marginality: explaining ukraine's and georgia's drive towards europe	Journal of Contemporary European Studies	0	0
10.1162_jcws_r_00945			0	3
10.1007_s11127-009-9532-x	Nations, taxes and religion: did mohammad have it right?	Public Choice	1	0
10.1111_j.1747-7093.2010.00264.x	Contributors	Ethics & International Affairs	0	0
10.1525_j.postcomstud.2021.54.1-2.128	Europe in georgia's identity discourse	Communist and Post-Communist Studies	8	5
10.1017_s1049096517002116	Ps updates	PS: Political Science & Politics	0	0
10.1080_03003930903435815	Evaluation of partnership working within a community planning context	Local Government Studies	0	12
10.1080_10357718.2013.841121	Australia's decision to initiatewhaling in the antarctic: winning the case versus resolving the dispute	Australian Journal of International Affairs	0	5
