result_title,result_doi,result_authors,result_dataverse,search_title,search_doi,diff,clean_result,clean_search,diff2
"Replication data for: An Assessment of the Validity of Empirical Measures of State Satisfaction With the Systemic Status quo. European Journal of International Relations June 11, 2012",doi:10.7910/DVN/9YEXKP,"c(""Kang, Choong-Nam"", ""Gibler, Douglas M."")",Douglas M. Gibler Dataverse,An assessment of the validity of empirical measures of state satisfaction with the systemic status quo,10.1177/1354066112436702,0.122153209109731,"an assessment of the validity of empirical measures of state satisfaction with the systemic status quo. european journal of international relations june 11, 2012",an assessment of the validity of empirical measures of state satisfaction with the systemic status quo,0.122153209109731
erratum.txt,,NULL,,Erratum,10.1177/1354066113515163,0.121212121212121,erratum.txt,erratum,0.121212121212121
erratum.txt,,NULL,,Erratum,10.1177/1354066111418020,0.121212121212121,erratum.txt,erratum,0.121212121212121
The Chinese Journal of International Politics Dataverse,,NULL,,The rise of chinese exceptionalism in international relations,10.1177/1354066111421038,0.22374565325385,the chinese journal of international politics dataverse,the rise of chinese exceptionalism in international relations,0.22374565325385
The Geography of Intergenerational Mobility - Danish Evidence,,NULL,,The geography of violence during a presidential election: evidence from zimbabwe,10.1016/j.ejpoleco.2018.05.004,0.231726344549899,the geography of intergenerational mobility - danish evidence,the geography of violence during a presidential election evidence from zimbabwe,0.228720015435975
The Political Economy of Power-Sharing,,NULL,,The political economy of public policy – editorial introduction,10.1016/j.ejpoleco.2018.08.005,0.237943343206501,the political economy of power-sharing,the political economy of public policy – editorial introduction,0.237943343206501
The Political Economy of Power-Sharing,,NULL,,The political economy of policy reform,10.1016/j.ejpoleco.2016.09.007,0.138936049801924,the political economy of power-sharing,the political economy of policy reform,0.138936049801924
Replication Data for: Public attitudes toward genetic risk scoring in medicine and beyond,doi:10.7910/DVN/CL5XCF,"c(""Zhang, Simone"", ""Johnson, Rebecca A."", ""Novembre, John"", ""Freeland, Edward"", ""Conley, Dalton"")","Replication data for ""Public attitudes toward genetic risk scoring in medicine and beyond""",Public attitudes towards central bank independence: lessons from the foundation of the ecb,10.1016/j.ejpoleco.2012.05.001,0.240381426202322,public attitudes toward genetic risk scoring in medicine and beyond,public attitudes towards central bank independence lessons from the foundation of the ecb,0.237884547300949
University Innovation and Local Economic Growth Replication Files,,NULL,,Political competition and economic growth: a nonlinear relationship?,10.1016/j.ejpoleco.2014.09.002,0.233078968223535,university innovation and local economic growth replication files,political competition and economic growth a nonlinear relationship?,0.228762316189587
06242: Introduction to Ecologies,doi:10.7910/DVN/27520,"Dandois, Jonathan",GSD Design Data Dataverse,Introduction,10.1016/j.ejpoleco.2015.10.006,0.208333333333333,06242 introduction to ecologies,introduction,0.204301075268817
The Kim-Fording Measure of Voter Ideology,doi:10.7910/DVN/LU3FZR,"c(""HeeMin Kim"", ""Richard C. Fording"")",HeeMin Kim Dataverse,On the measurement of voter ideology,10.1016/j.ejpoleco.2018.03.003,0.229182064547918,the kim-fording measure of voter ideology,on the measurement of voter ideology,0.229182064547918
"Elite Co-optation, Repression, and Coups in Autocracies",doi:10.7910/DVN/5B0JQQ,"Rivera, Mauricio",Harvard Dataverse,"Coups, revolutions and efficient policies in autocracies",10.1016/j.ejpoleco.2015.04.011,0.211571067821068,"elite co-optation, repression, and coups in autocracies","coups, revolutions and efficient policies in autocracies",0.211571067821068
The Political Economy of Power-Sharing,,NULL,,The political economy of the g20 agenda on financial regulation,10.1016/j.ejpoleco.2020.101941,0.237943343206501,the political economy of power-sharing,the political economy of the g20 agenda on financial regulation,0.237943343206501
The Political Economy of Power-Sharing,,NULL,,The political economy of the impossible trinity,10.1016/j.ejpoleco.2016.10.010,0.178503964618186,the political economy of power-sharing,the political economy of the impossible trinity,0.178503964618186
The Geography of Intergenerational Mobility - Danish Evidence,,NULL,,"The geography of natural resources, ethnic inequality and civil conflicts",10.1016/j.ejpoleco.2019.01.005,0.22686120883965,the geography of intergenerational mobility - danish evidence,"the geography of natural resources, ethnic inequality and civil conflicts",0.22686120883965
Replication material for: Understanding Segmentation in Rural Electricity Markets: Evidence from India,,NULL,,Bureaucratic discrimination in electoral authoritarian regimes: experimental evidence from russia,10.1016/j.ejpoleco.2020.101957,0.243189044178368,replication material for understanding segmentation in rural electricity markets evidence from india,bureaucratic discrimination in electoral authoritarian regimes experimental evidence from russia,0.237214052287582
Natural Climate Solutions for Canada,doi:10.7910/DVN/4S6SZU,"Drever, C. Ronnie",Natural Climate Solutions Data,Natural disasters and electoral outcomes,10.1016/j.ejpoleco.2020.101983,0.228823178016726,natural climate solutions for canada,natural disasters and electoral outcomes,0.228823178016726
Replication material for: Understanding Segmentation in Rural Electricity Markets: Evidence from India,,NULL,,The influence of political fragmentation on public enterprises: evidence from german municipalities,10.1016/j.ejpoleco.2020.101972,0.242680353228021,replication material for understanding segmentation in rural electricity markets evidence from india,the influence of political fragmentation on public enterprises evidence from german municipalities,0.234769814902705
The Political Economy of Power-Sharing,,NULL,,The political economy of fiscal procyclicality,10.1016/j.ejpoleco.2020.101930,0.202357225461972,the political economy of power-sharing,the political economy of fiscal procyclicality,0.202357225461972
"Replication Data for: ""Strategic Partisans: Electoral Motivations and Partisanship in Local Government Communication""",doi:10.7910/DVN/ECPBXD,"de Benedictis-Kessner, Justin",Journal of Political Institutions and Political Economy Dataverse,Strategic redistribution: the political economy of populism in latin america,10.1016/j.ejpoleco.2013.12.005,0.237595749938226,strategic partisans electoral motivations and partisanship in local government communication,strategic redistribution the political economy of populism in latin america,0.232884748102139
Perceptions of Electoral Integrity,doi:10.7910/DVN/24075,"c(""Pippa Norris"", ""Richard W. Frank"", ""Ferran Martinez i Coma"")",Perceptions of Electoral Integrity Dataverse,Perceptions of inequality,10.1016/j.ejpoleco.2020.101927,0.177988064791134,perceptions of electoral integrity,perceptions of inequality,0.177988064791134
Replication Data for: The Influence of Cause and Sectional Group Lobbying on Government Responsiveness,doi:10.7910/DVN/SEY6PL,"c(""Hopkins, Vincent"", ""Kl�ver, Heike"", ""Pickup, Mark"")",Replication Data for: The Influence of Cause and Sectional Group Lobbying on Government Responsiveness,The influence of group size on distributional fairness under voting by veto,10.1016/j.ejpoleco.2018.07.008,0.230138888888889,the influence of cause and sectional group lobbying on government responsiveness,the influence of group size on distributional fairness under voting by veto,0.230138888888889
"Replication Data for: ""Are there really two cultures? A pilot study on the application of qualitative and quantitative methods in political science""",doi:10.7910/DVN/ACUDFD,"c(""Kuehn, David"", ""Rohlfing, Ingo"")",Ingo Rohlfing Dataverse,Corrigendum are there really two cultures? A pilot study on the application of qualitative and quantitative methods in political science,10.1111/1475-6765.12184,0.189272662470006,are there really two cultures? a pilot study on the application of qualitative and quantitative methods in political science,corrigendum are there really two cultures? a pilot study on the application of qualitative and quantitative methods in political science,0.183981657179001
"Replication data for: ""Institutional constraints on cabinet formation: Veto points and party system dynamics"". European Journal of Political Research.",doi:10.7910/DVN/SRRXYX,"Hellström, Johan",Johan Hellstrom Dataverse,Institutional constraints on cabinet formation: veto points and party system dynamics,10.1111/1475-6765.12407,0.111979166666667,institutional constraints on cabinet formation veto points and party system dynamics. european journal of political research.,institutional constraints on cabinet formation veto points and party system dynamics,0.109333333333333
Replication Data for: “Nominating Women for EP Elections: Exploring the Role of Political Parties’ Recruitment Procedures.” European Journal of Political Research. Volume 54(4): 767-783.,doi:10.7910/DVN/9TTNL9,"c(""Fortin-Rittberger, Jessica "", ""Rittberger, Berthold"")",Jessica Fortin-Rittberger Dataverse,Nominating women for europe: exploring the role of political parties' recruitment procedures for european parliament elections,10.1111/1475-6765.12101,0.212580461995096,nominating women for ep elections exploring the role of political parties’ recruitment procedures.” european journal of political research. volume 54(4) 767-783.,nominating women for europe exploring the role of political parties' recruitment procedures for european parliament elections,0.209647565618113
"Reproduction file for: On the Relationship Between Strategic Cultures and Support for European Defence: A Comment on Irondelle, Mérand and Foucault",doi:10.7910/DVN/6JCLFU,"Mader, Matthias",Matthias Mader Dataverse,"On the relationship between strategic cultures and support for european defence: a comment on irondelle, mérand and foucault",10.1111/1475-6765.12109,0.204035915441445,"reproduction file for on the relationship between strategic cultures and support for european defence a comment on irondelle, mérand and foucault","on the relationship between strategic cultures and support for european defence a comment on irondelle, mérand and foucault",0.210466311559667
Replication Data for: Black knight as a strategic choice? Causes and modes of Russia’s support to the authoritarianism in Southern Caucasus,doi:10.7910/DVN/TDMMEX,"Natalizia, Gabriele",Italian Political Science Review (IPSR/RISP) Dataverse,Black knights and elections in authoritarian regimes: why and how russia supports authoritarian incumbents in post-soviet states,10.1111/1475-6765.12079,0.227417200854701,black knight as a strategic choice? causes and modes of russia’s support to the authoritarianism in southern caucasus,black knights and elections in authoritarian regimes why and how russia supports authoritarian incumbents in post-soviet states,0.207803832213281
Replication Data for: Do Terrorist Attacks Feed Populist Eurosceptics?,doi:10.7910/DVN/PITOXP,"Larsen, Erik Gahner",Harvard Dataverse,Do terrorist attacks feed populist eurosceptics? Evidence from two comparative quasi‐experiments,10.1111/1475-6765.12342,0.166666666666667,do terrorist attacks feed populist eurosceptics?,do terrorist attacks feed populist eurosceptics? evidence from two comparative quasi‐experiments,0.166666666666667
"Replication data for: 'Measuring and explaining regulatory reform in the EU: A time-series analysis of eight sectors, 1984-2012', European Journal of Political Research 53(4), 709-726",doi:10.7910/DVN/27551,"Citi, Manuele and Justesen, Mogens K.",MK Justesen Dataverse Dataverse,"Measuring and explaining regulatory reform in the eu: a time-series analysis of eight sectors, 1984-2012",10.1111/1475-6765.12061,0.118012422360249,"'measuring and explaining regulatory reform in the eu a time-series analysis of eight sectors, 1984-2012', european journal of political research 53(4), 709-726","measuring and explaining regulatory reform in the eu a time-series analysis of eight sectors, 1984-2012",0.11875
Economic Development and Cultural Change Dataverse,,NULL,,Economic development and democracy: an electoral connection,10.1111/1475-6765.12282,0.191325712784128,economic development and cultural change dataverse,economic development and democracy an electoral connection,0.187137129109864
"Making A Connection, replication data Dataverse",,NULL,,Making words count: coalition agreements and cabinet management,10.1111/1475-6765.12022,0.243017817485903,"making a connection, replication data dataverse",making words count coalition agreements and cabinet management,0.239262910505189
Spain  Dataverse,,NULL,,Spain,10.1111/j.1475-6765.2010.01973.x,0.229166666666667,spain  dataverse,spain,0.229166666666667
Japan Dataverse,,NULL,,Japan,10.1111/j.1475-6765.2011.02029.x,0.222222222222222,japan dataverse,japan,0.222222222222222
Spain  Dataverse,,NULL,,Spain,10.1111/j.1475-6765.2011.02042.x,0.229166666666667,spain  dataverse,spain,0.229166666666667
"Replication Data for: Model Specification in the Analysis of Spatial Dependence (with Thomas Plümper), European Journal of Political Research, 49 (3), 2010, pp. 418-442",doi:10.7910/DVN/0XOO1S,"Neumayer, Eric",Harvard Dataverse,Model specification in the analysis of spatial dependence,10.1111/j.1475-6765.2009.01900.x,0.203196347031964,"model specification in the analysis of spatial dependence (with thomas plümper), european journal of political research, 49 (3), 2010, pp. 418-442",model specification in the analysis of spatial dependence,0.203196347031964
Replication Data for: “Parliamentary  Questions  and  Oversight  in  the  European  Union”,doi:10.7910/DVN/WJOFJD,"c(""Slapin, Jonathan"", ""Proksch, Sven-Oliver"")",Jonathan Slapin Dataverse,Parliamentary questions and oversight in the european union,10.1111/j.1475-6765.2010.01919.x,0.151462279827185,parliamentary  questions  and  oversight  in  the  european  union”,parliamentary questions and oversight in the european union,0.147145627793237
MEDW Germany,,NULL,,Germany,10.1111/j.1475-6765.2010.01953.x,0.21031746031746,medw germany,germany,0.21031746031746
MEDW Switzerland,,NULL,,Switzerland,10.1111/j.1475-6765.2010.01975.x,0.179924242424243,medw switzerland,switzerland,0.179924242424243
United States Census Bureau,,NULL,,United states,10.1111/j.1475-6765.2010.01977.x,0.17283950617284,united states census bureau,united states,0.17283950617284
France Dataverse,,NULL,,France,10.1111/j.1475-6765.2010.01952.x,0.208333333333333,france dataverse,france,0.208333333333333
NSD Norway Dataverse,,NULL,,Norway,10.1111/j.1475-6765.2010.01967.x,0.233333333333333,nsd norway dataverse,norway,0.233333333333333
Cyprus Medieval Ports,doi:10.7910/DVN/JSGUAF,Unknown,Cyprus Ports Dataverse,Cyprus,10.1111/j.1475-6765.2010.01947.x,0.238095238095238,cyprus medieval ports,cyprus,0.238095238095238
Japan Dataverse,,NULL,,Japan,10.1111/j.1475-6765.2010.01960.x,0.222222222222222,japan dataverse,japan,0.222222222222222
Cyprus Medieval Ports,doi:10.7910/DVN/JSGUAF,Unknown,Cyprus Ports Dataverse,Cyprus,10.1111/j.1475-6765.2011.02016.x,0.238095238095238,cyprus medieval ports,cyprus,0.238095238095238
MEDW Germany,,NULL,,Germany,10.1111/j.1475-6765.2011.02022.x,0.21031746031746,medw germany,germany,0.21031746031746
France Dataverse,,NULL,,France,10.1111/j.1475-6765.2011.02021.x,0.208333333333333,france dataverse,france,0.208333333333333
NSD Norway Dataverse,,NULL,,Norway,10.1111/j.1475-6765.2011.02036.x,0.233333333333333,nsd norway dataverse,norway,0.233333333333333
United States Census Bureau,,NULL,,United states,10.1111/j.1475-6765.2011.02046.x,0.17283950617284,united states census bureau,united states,0.17283950617284
Ireland 8th Tweet Ids,doi:10.7910/DVN/PYCLPE,"Littman, Justin",GWU Libraries Dataverse,Ireland,10.1111/j.1475-6765.2010.01957.x,0.222222222222222,ireland 8th tweet ids,ireland,0.222222222222222
Ireland 8th Tweet Ids,doi:10.7910/DVN/PYCLPE,"Littman, Justin",GWU Libraries Dataverse,Ireland,10.1111/j.1475-6765.2011.02026.x,0.222222222222222,ireland 8th tweet ids,ireland,0.222222222222222
MEDW Switzerland,,NULL,,Switzerland,10.1111/j.1475-6765.2011.02044.x,0.179924242424243,medw switzerland,switzerland,0.179924242424243
Corruption corpus and analysis (Xinhua),,NULL,,Corruption and support for decentralisation,10.1111/1475-6765.12420,0.236668141394323,corruption corpus and analysis (xinhua),corruption and support for decentralisation,0.236668141394323
What Are The Headwaters of Formal Savings? Experimental Evidence from Sri Lanka Dataverse,,NULL,,How does staggered membership renewal affect parliamentary behaviour? Evidence from the french senate,10.1017/s1755773919000110,0.237944456118521,what are the headwaters of formal savings? experimental evidence from sri lanka dataverse,how does staggered membership renewal affect parliamentary behaviour? evidence from the french senate,0.237944456118521
Replication Data for: Ideas and Change in Foreign Policy Instruments: Soft Power and the Case of the Turkish International Cooperation and Development Agency (TIKA),doi:10.7910/DVN/4UZU8I,Pinar Ipek,Foreign Policy Analysis Dataverse,European union governance in the shadow of contradicting ideas: the decoupling of policy ideas and policy instruments,10.1017/s1755773912000069,0.224548501837234,ideas and change in foreign policy instruments soft power and the case of the turkish international cooperation and development agency (tika),european union governance in the shadow of contradicting ideas the decoupling of policy ideas and policy instruments,0.2279324445502
International Organizations' Deliberative Institutional Design,doi:10.7910/DVN/3ASANB,"Panke, Diana",International Organizations’ Diplomatic Deliberative Design Index (DDDI),International organizations and organizational fields: explaining policy change in the imf,10.1017/s175577391200029x,0.23696100792875,international organizations' deliberative institutional design,international organizations and organizational fields explaining policy change in the imf,0.234672202269158
Replication material for: Understanding Segmentation in Rural Electricity Markets: Evidence from India,,NULL,,Presidential power effects on government and ministerial durability: evidence from central and eastern europe,10.1017/s1755773921000059,0.240464607595465,replication material for understanding segmentation in rural electricity markets evidence from india,presidential power effects on government and ministerial durability evidence from central and eastern europe,0.238146791480125
Replication Data for: Ideas and Change in Foreign Policy Instruments: Soft Power and the Case of the Turkish International Cooperation and Development Agency (TIKA),doi:10.7910/DVN/4UZU8I,Pinar Ipek,Foreign Policy Analysis Dataverse,The impact of populist radical right parties on foreign policy: the northern league as a junior coalition partner in the berlusconi governments,10.1017/s1755773914000319,0.238917462551952,ideas and change in foreign policy instruments soft power and the case of the turkish international cooperation and development agency (tika),the impact of populist radical right parties on foreign policy the northern league as a junior coalition partner in the berlusconi governments,0.238040477878705
Replication material for: Understanding Segmentation in Rural Electricity Markets: Evidence from India,,NULL,,"New parties, information uncertainty, and government formation: evidence from central and eastern europe",10.1017/s1755773915000120,0.244760957996252,replication material for understanding segmentation in rural electricity markets evidence from india,"new parties, information uncertainty, and government formation evidence from central and eastern europe",0.233044303091173
The Political Economy of Power-Sharing,,NULL,,The political economy of european security,10.1080/09662839.2018.1502175,0.142697429849133,the political economy of power-sharing,the political economy of european security,0.142697429849133
06242: Introduction to Ecologies,doi:10.7910/DVN/27520,"Dandois, Jonathan",GSD Design Data Dataverse,Introduction,10.1080/09662839.2010.534136,0.208333333333333,06242 introduction to ecologies,introduction,0.204301075268817
International Organization (IO) Journal Dataverse,,NULL,,International organizations and military affairs,10.1080/09662839.2016.1244819,0.170946712018141,international organization (io) journal dataverse,international organizations and military affairs,0.170946712018141
EPO-ARP Knowledge Spillovers from Product and Process Inventions in Patents and their Impact on Firm Performance,,NULL,,Taking production relations seriously: the role of defence firms in armaments cooperation,10.1080/09662839.2018.1520699,0.237841713638683,epo-arp knowledge spillovers from product and process inventions in patents and their impact on firm performance,taking production relations seriously the role of defence firms in armaments cooperation,0.23418151615826
A Political Economy of Income Tax Policies: Replication Data Dataverse,,NULL,,Europeanization and the political economy of active labour market policies,10.1177/1465116511398740,0.236322036322036,a political economy of income tax policies replication data dataverse,europeanization and the political economy of active labour market policies,0.23197421023508
erratum.txt,,NULL,,Erratum,10.1177/1465116509362026,0.121212121212121,erratum.txt,erratum,0.121212121212121
erratum.txt,,NULL,,Erratum,10.1177/1465116510381301,0.121212121212121,erratum.txt,erratum,0.121212121212121
"Legislative Proposals in the European Union, 1965-2013",doi:10.7910/DVN/1GFLRM,"Warntjen, Andreas","Legislative Proposals in the European Union, 1965-2013 Dataverse",Legislative negotiations in the european parliament,10.1177/1465116511419982,0.239400033517681,"legislative proposals in the european union, 1965-2013",legislative negotiations in the european parliament,0.239400033517681
European Union Policy-Making (EUPOL) dataset,doi:10.7910/DVN/AZCAFA,"Häge, Frank M.",Frank M. Häge Dataverse,The european union policy-making dataset,10.1177/1465116511398739,0.189314194577353,european union policy-making (eupol) dataset,the european union policy-making dataset,0.189314194577353
"Research Compendium for ""Conditional Legitimacy: How turnout, majority size and outcome affect perceptions of legitimacy in EU membership referendums""",doi:10.7910/DVN/KOKLPH,"c(""Arnesen, Sveinung"", ""Broderstad, Troy Saghaug"", ""Johannesson, Mikael Poul"", ""Linde, Jonas"")",Harvard Dataverse,"Conditional legitimacy: how turnout, majority size, and outcome affect perceptions of legitimacy in european union membership referendums",10.1177/1465116518820163,0.202058805728051,"research compendium for conditional legitimacy how turnout, majority size and outcome affect perceptions of legitimacy in eu membership referendums","conditional legitimacy how turnout, majority size, and outcome affect perceptions of legitimacy in european union membership referendums",0.186968647107966
"Replication Data for: “Measurement,  Model  Testing,  and  Legislative  Influence  in  the  European  Union”",doi:10.7910/DVN/3JA2GK,"Slapin, Jonathan",Jonathan Slapin Dataverse,"Measurement, model testing, and legislative influence in the european union",10.1177/1465116513492896,0.164857881136951,"measurement,  model  testing,  and  legislative  influence  in  the  european  union”","measurement, model testing, and legislative influence in the european union",0.161437908496732
"""Access to Modern Fuels and Satisfaction with Cooking Arrangements: Survey Evidence from Rural India"" Dataverse",,NULL,,"Erratum to """"substate organizations as foreign policy agents: new evidence and theory from india, israel, and france",10.1093/fpa/orz009,0.225676711193953,access to modern fuels and satisfaction with cooking arrangements survey evidence from rural india dataverse,"erratum to substate organizations as foreign policy agents new evidence and theory from india, israel, and france",0.219669808270735
Replication Data for: Male vs. Female Career Ambassadors: Is the U.S. Foreign Service Still Biased?,doi:10.7910/DVN/VZBJUC,"c(""Calin, Costel"", ""Buterbaugh, Kevin"")",Foreign Policy Analysis Dataverse,Male versus female career ambassadors: is the us foreign service still biased?,10.1093/isafpa/ory005,0.171972921972922,male vs. female career ambassadors is the u.s. foreign service still biased?,male versus female career ambassadors is the us foreign service still biased?,0.174309528491216
Replication data for: Bombing to Bargain?,doi:10.7910/DVN/DFQZIZ,Susan Allen and Tiffiny Vincent,Foreign Policy Analysis Dataverse,Bombing to bargain? The air war for kosovo,10.1111/j.1743-8594.2010.00120.x,0.182539682539683,bombing to bargain?,bombing to bargain? the air war for kosovo,0.182539682539683
Replication Data for: Security Assistance for the Long Term: Economic Modernization and Institutionalized Military Professionalism,doi:10.7910/DVN/IHQMJP,Nathan Toronto,Foreign Policy Analysis Dataverse,Historical institutionalism and foreign policy analysis: the origins of the national security council revisited,10.1111/j.1743-8594.2010.00121.x,0.21860434317479,security assistance for the long term economic modernization and institutionalized military professionalism,historical institutionalism and foreign policy analysis the origins of the national security council revisited,0.232942155196828
"Replication Data for Figure 1 in ""Shadow Economies and the Success of Economic Sanctions:Explaining Why Democratic Targets are Disadvantaged""",doi:10.7910/DVN/SPDYRB,"Peksen, Dursun",Harvard Dataverse,Shadow economies and the success of economic sanctions: explaining why democratic targets are disadvantaged,10.1093/fpa/oraa005,0.243929652460176,figure 1 in shadow economies and the success of economic sanctionsexplaining why democratic targets are disadvantaged,shadow economies and the success of economic sanctions explaining why democratic targets are disadvantaged,0.191716389829598
"Replication Data for: ""Don’t mention the war vs escalating commitment: political party responses to military casualties""",doi:10.7910/DVN/67VN8O,"c(""Kuijpers, Dieuwertje"", ""Schumacher, Gijs"")",Foreign Policy Analysis Dataverse,Don't mention the war versus escalating commitment: political party responses to military casualties,10.1093/fpa/oraa003,0.149677765843179,don’t mention the war vs escalating commitment political party responses to military casualties,don't mention the war versus escalating commitment political party responses to military casualties,0.142684214296756
Leadership Dataverse,,NULL,,Leadership and military effectiveness,10.1093/fpa/orx003,0.203153153153153,leadership dataverse,leadership and military effectiveness,0.203153153153153
"""Access to Modern Fuels and Satisfaction with Cooking Arrangements: Survey Evidence from Rural India"" Dataverse",,NULL,,"Substate organizations as foreign policy agents: new evidence and theory from india, israel, and france",10.1093/fpa/ory009,0.22978568922822,access to modern fuels and satisfaction with cooking arrangements survey evidence from rural india dataverse,"substate organizations as foreign policy agents new evidence and theory from india, israel, and france",0.221555208234663
Presidential Cabinets Project,,NULL,,Presidential personality: not just a nuisance,10.1111/fpa.12006,0.236568752660707,presidential cabinets project,presidential personality not just a nuisance,0.232023298115252
Replication Data for: Party politics or (supra-)national interest?  External relations votes in the European Parliament,doi:10.7910/DVN/T8DAS1,"Wagner, Wolfgang",Foreign Policy Analysis Dataverse,Corrigendum to: party politics or (supra-)national interest? External relations votes in the european parliament,10.1093/fpa/orab020,0.194127393225331,party politics or (supra-)national interest?  external relations votes in the european parliament,corrigendum to party politics or (supra-)national interest? external relations votes in the european parliament,0.191526578124516
Mapping Test,,NULL,,Mapping border studies,10.1080/14650045.2014.985172,0.23989898989899,mapping test,mapping border studies,0.23989898989899
SAGE/HFC Geopolitical Forecasting Dataverse,,NULL,,Hotel geopolitics: a research agenda,10.1080/14650045.2015.1062755,0.211357763683345,sage/hfc geopolitical forecasting dataverse,hotel geopolitics a research agenda,0.202627604953186
"International student evaluations, policy recommendations, and the teaching profession: Does context matter? [DATA]",doi:10.7910/DVN/PMKK9S,"Campbell, Janine","International student evaluations, policy recommendations, and the teaching profession: Does context matter?","International boundaries and borderlands in the middle east: balancing context, exceptionalism and representation",10.1080/14650045.2017.1374246,0.244108845282374,"international student evaluations, policy recommendations, and the teaching profession does context matter? [data]","international boundaries and borderlands in the middle east balancing context, exceptionalism and representation",0.235975355054302
Environmental Protection Agency,,NULL,,Environmental geopolitics and outer space,10.1080/14650045.2019.1590340,0.188031869195222,environmental protection agency,environmental geopolitics and outer space,0.188031869195222
06242: Introduction to Ecologies,doi:10.7910/DVN/27520,"Dandois, Jonathan",GSD Design Data Dataverse,Introduction,10.1080/09644008.2019.1627332,0.208333333333333,06242 introduction to ecologies,introduction,0.204301075268817
erratum.txt,,NULL,,Erratum,10.1080/09644008.2012.730230,0.121212121212121,erratum.txt,erratum,0.121212121212121
Replication Data for: International Contributions to Nicaraguan Democracy: The Role of Foreign Municipal Donations for Social Development,doi:10.7910/DVN/H1B3TJ,"c(""Leslie E. Anderson"", ""Won-ho Park "")",Foreign Policy Analysis Dataverse,"National role conceptions, domestic constraints and the new 'normalcy' in german foreign policy: the eurozone crisis, libya and beyond",10.1080/09644008.2012.748268,0.235675804733511,international contributions to nicaraguan democracy the role of foreign municipal donations for social development,"national role conceptions, domestic constraints and the new 'normalcy' in german foreign policy the eurozone crisis, libya and beyond",0.228237259816207
Excise Duty Receipts For Alcoholic Beverages in the European Union,doi:10.7910/DVN/HGB7BY,"Antal, Daniel",European Commission Excise Duty Tables,European elections in germany: legitimacy for the european union?,10.1080/09644008.2015.1009044,0.24017094017094,excise duty receipts for alcoholic beverages in the european union,european elections in germany legitimacy for the european union?,0.235763888888889
foreword.pdf,,NULL,,Foreword,10.1080/09644008.2018.1439559,0.111111111111111,foreword.pdf,foreword,0.111111111111111
Reproduction files for: National Identities and Mass Belief Systems on Foreign and Security Policy in Germany,doi:10.7910/DVN/5TH3XY,"c(""Mader, Matthias"", ""P�tzschke, Jana"")",Matthias Mader Dataverse,National identities and mass belief systems on foreign and security policy in germany,10.1080/09644008.2014.898269,0.226335671883432,reproduction files for national identities and mass belief systems on foreign and security policy in germany,national identities and mass belief systems on foreign and security policy in germany,0.223928830791576
Perspectives on Politics,,NULL,,Perspectives on water governance,10.1162/glep_r_00019,0.222404970760234,perspectives on politics,perspectives on water governance,0.222404970760234
The Political Economy of Power-Sharing,,NULL,,The political economy of sustainable energy transitions,10.1162/glep_r_00344,0.201576132845483,the political economy of power-sharing,the political economy of sustainable energy transitions,0.201576132845483
06242: Introduction to Ecologies,doi:10.7910/DVN/27520,"Dandois, Jonathan",GSD Design Data Dataverse,Introduction,10.1162/glep_a_00465,0.208333333333333,06242 introduction to ecologies,introduction,0.204301075268817
06242: Introduction to Ecologies,doi:10.7910/DVN/27520,"Dandois, Jonathan",GSD Design Data Dataverse,Introduction,10.1162/glep_e_00483,0.208333333333333,06242 introduction to ecologies,introduction,0.204301075268817
06242: Introduction to Ecologies,doi:10.7910/DVN/27520,"Dandois, Jonathan",GSD Design Data Dataverse,Introduction,10.1162/glep_e_00497,0.208333333333333,06242 introduction to ecologies,introduction,0.204301075268817
06242: Introduction to Ecologies,doi:10.7910/DVN/27520,"Dandois, Jonathan",GSD Design Data Dataverse,Introduction,10.1162/glep_a_00508,0.208333333333333,06242 introduction to ecologies,introduction,0.204301075268817
The Political Economy of Power-Sharing,,NULL,,The political economy of carbon capture and storage technology adoption,10.1162/glep_a_00502,0.23278903440134,the political economy of power-sharing,the political economy of carbon capture and storage technology adoption,0.23278903440134
06242: Introduction to Ecologies,doi:10.7910/DVN/27520,"Dandois, Jonathan",GSD Design Data Dataverse,Introduction,10.1162/glep_e_00534,0.208333333333333,06242 introduction to ecologies,introduction,0.204301075268817
06242: Introduction to Ecologies,doi:10.7910/DVN/27520,"Dandois, Jonathan",GSD Design Data Dataverse,Introduction,10.1162/glep_e_00545,0.208333333333333,06242 introduction to ecologies,introduction,0.204301075268817
06242: Introduction to Ecologies,doi:10.7910/DVN/27520,"Dandois, Jonathan",GSD Design Data Dataverse,Introduction,10.1162/glep_e_00558,0.208333333333333,06242 introduction to ecologies,introduction,0.204301075268817
06242: Introduction to Ecologies,doi:10.7910/DVN/27520,"Dandois, Jonathan",GSD Design Data Dataverse,Introduction,10.1162/glep_e_00580,0.208333333333333,06242 introduction to ecologies,introduction,0.204301075268817
06242: Introduction to Ecologies,doi:10.7910/DVN/27520,"Dandois, Jonathan",GSD Design Data Dataverse,Introduction,10.1162/glep_e_00597,0.208333333333333,06242 introduction to ecologies,introduction,0.204301075268817
06242: Introduction to Ecologies,doi:10.7910/DVN/27520,"Dandois, Jonathan",GSD Design Data Dataverse,Introduction,10.1162/glep_x_00608,0.208333333333333,06242 introduction to ecologies,introduction,0.204301075268817
